,cat,id
0,0,214762
1,0,214878
2,1,215318
3,2,485382
4,2,633659
5,2,1455786
6,1,1692270
7,1,1692277
8,1,1881590
9,0,2436403
10,1,2717222
11,1,2717965
12,1,2717985
13,0,2719183
14,1,2719476
15,2,2909963
16,2,3613037
17,0,3884926
18,0,5242606
19,2,5278388
20,2,5610500
21,0,5869890
22,0,5870545
23,1,6051078
24,1,6382209
25,0,6614131
26,0,6614193
27,0,6781895
28,0,6782324
29,2,6959957
30,0,7287367
31,0,8259466
32,0,8259672
33,0,8322210
34,2,8355119
35,2,8355143
36,0,9841705
37,1,10478251
38,1,10482075
39,2,10482611
40,0,11283375
41,0,11283457
42,0,11283502
43,0,11283549
44,0,11283554
45,0,11379008
46,0,11641940
47,0,12303129
48,2,12611896
49,2,12684249
50,1,13017719
51,1,13854329
52,0,14057853
53,0,14889846
54,2,15279939
55,1,16871645
56,1,17595129
57,0,17973448
58,2,21817151
59,2,21817568
60,1,23003581
61,1,23003761
62,1,23133299
63,0,23133662
64,0,24452984
65,1,24453045
66,0,24453063
67,1,24816050
68,0,24912773
69,1,25893189
70,2,25893362
71,2,25900950
72,0,25939709
73,0,27255167
74,0,27255350
75,0,27257364
76,0,27725125
77,0,28211434
78,2,28512267
79,2,29299506
80,2,30131649
81,1,30782210
82,2,30797085
83,1,31574872
84,2,33265810
85,0,33266197
86,2,33267700
87,1,34939667
88,2,35156331
89,1,37153441
90,1,37232732
91,0,38349891
92,1,38449761
93,1,38449788
94,1,39209284
95,1,39260716
96,1,40485032
97,0,40920691
98,2,41226234
99,1,41569469
100,1,42184437
101,2,42392065
102,2,44310262
103,2,45485451
104,2,45512620
105,1,46054184
106,0,46233841
107,0,46556691
108,0,47108672
109,0,47966153
110,0,47966248
111,0,48760188
112,0,48833008
113,1,48918986
114,2,48919319
115,2,48919480
116,1,48919508
117,1,48921001
118,0,49259512
119,0,49270725
120,2,49364296
121,1,50944523
122,0,51182342
123,0,51182349
124,0,51785925
125,0,52829672
126,0,52829877
127,0,52831823
128,0,53158640
129,0,53159527
130,2,53663883
131,1,54010861
132,2,54168031
133,1,54499126
134,0,55457494
135,2,55494820
136,1,56403601
137,1,56403763
138,2,56422275
139,2,57342916
140,2,57436726
141,0,57450661
142,2,57699816
143,2,58636064
144,0,59361186
145,0,59636457
146,1,59912101
147,1,59912137
148,0,59988684
149,0,62091855
150,0,62094970
151,1,62288011
152,0,62288033
153,0,62288114
154,2,62288157
155,0,62613871
156,0,62613958
157,0,63864593
158,2,64652506
159,1,65480268
160,1,65483583
161,2,65483630
162,2,65749703
163,1,65992596
164,2,66053869
165,2,66418427
166,2,66812526
167,2,66812786
168,0,66848614
169,1,67123158
170,1,67715582
171,2,67728386
172,1,67730413
173,0,67730625
174,1,67812900
175,0,69309704
176,1,69309755
177,0,69462033
178,1,69463186
179,0,70303384
180,0,70303398
181,0,70303413
182,2,70406838
183,2,70471334
184,1,70839956
185,1,72006057
186,0,72067284
187,0,74005794
188,0,74016379
189,0,74016841
190,0,74017600
191,0,74018371
192,1,75409374
193,2,75523347
194,1,76282469
195,2,76715317
196,0,77213191
197,1,78344521
198,0,78346740
199,0,81445334
200,0,81445427
201,0,82305969
202,2,83246167
203,1,86902711
204,1,87084981
205,2,88380585
206,2,88384094
207,0,88488010
208,0,88851243
209,2,89177193
210,2,89177639
211,2,89177709
212,2,89177952
213,2,89717635
214,2,90410373
215,2,91140297
216,1,92158718
217,1,92400653
218,2,92400831
219,0,92400862
220,1,93224782
221,1,93225093
222,1,93239030
223,1,93242377
224,1,93242415
225,0,93770652
226,0,94435239
227,0,94435863
228,0,94443505
229,1,94468563
230,1,95651902
231,2,95652859
232,2,95653242
233,1,95653340
234,2,96092274
235,1,96577592
236,2,96894675
237,2,97320991
238,2,97400570
239,1,97770888
240,1,98198333
241,1,98754190
242,1,99109936
243,1,99946085
244,0,99947246
245,1,99948754
246,0,100269303
247,0,100269504
248,0,101457677
249,0,102293323
250,2,102293376
251,0,102310772
252,0,103412848
253,0,103412999
254,0,103469907
255,2,104712975
256,0,105889897
257,1,106144698
258,2,106762102
259,2,106856519
260,0,106902102
261,0,106904005
262,1,107314559
263,0,108301096
264,1,108503295
265,2,109497372
266,1,109766119
267,2,110333133
268,1,111721768
269,2,111929326
270,2,112480992
271,0,112574100
272,0,113105612
273,2,113542662
274,1,114081191
275,0,114419666
276,2,114753720
277,0,115261511
278,1,115263971
279,2,115699916
280,0,115977948
281,0,116377653
282,2,116683656
283,2,117202933
284,2,117464175
285,2,118866779
286,2,119473689
287,0,119473708
288,2,123325115
289,1,123983706
290,2,124002675
291,2,124939711
292,1,125146960
293,0,125147007
294,1,125147063
295,2,125147272
296,0,125147608
297,2,125207886
298,2,126050042
299,1,126512984
300,2,126815473
301,1,126815489
302,0,127406521
303,0,127406588
304,0,127406996
305,1,127515990
306,0,128576217
307,0,129251531
308,0,130186378
309,2,130653761
310,1,130653780
311,0,130922771
312,2,131256370
313,2,131780216
314,1,133107432
315,1,134262392
316,0,134629165
317,0,135223958
318,1,135324948
319,0,136066385
320,2,136156067
321,1,136159633
322,2,136551229
323,2,136551562
324,1,137175486
325,2,137346183
326,0,137352104
327,1,138375507
328,1,139023010
329,2,139618055
330,1,139889356
331,0,139932980
332,0,141685253
333,1,143203023
334,0,143525756
335,0,143525770
336,0,143526000
337,0,143526115
338,0,143978233
339,0,146106670
340,2,146181411
341,0,146181601
342,0,146181628
343,0,146643710
344,2,146643908
345,2,146643915
346,2,146644000
347,0,146644319
348,2,146644715
349,2,146644722
350,2,146644960
351,2,147580174
352,2,148351929
353,0,149324667
354,0,149578760
355,0,150665401
356,1,153026476
357,1,153230308
358,2,153511237
359,1,154062357
360,1,154524636
361,1,154619358
362,1,154762839
363,0,154857646
364,0,155689363
365,2,155761787
366,0,159130060
367,2,160190310
368,1,165124490
369,0,165760388
370,0,165904052
371,0,165904104
372,2,165996609
373,2,166867324
374,2,167750394
375,2,167930836
376,2,169269995
377,0,169344646
378,2,169344922
379,1,169345129
380,1,169753180
381,2,170209895
382,2,170358063
383,0,171466103
384,2,171466751
385,0,171472924
386,0,171475378
387,0,171475389
388,0,171475394
389,0,171475480
390,0,171478905
391,0,171481931
392,0,171485311
393,0,171511800
394,1,171511874
395,1,171521280
396,0,171521391
397,1,171537211
398,2,171541227
399,0,171565664
400,0,171574327
401,0,171586383
