,cat,id
0,3,2643377
1,1,2888805
2,2,3341019
3,0,3957905
4,0,5469129
5,0,6262560
6,3,7918120
7,3,8545884
8,1,8576681
9,3,8789671
10,2,9140519
11,0,9491450
12,3,10020091
13,0,11985956
14,3,12438005
15,0,12452534
16,1,12493541
17,3,13056659
18,3,13205505
19,3,14106934
20,2,14478724
21,0,14807418
22,0,18296810
23,1,20555479
24,0,22034890
25,1,22908290
26,0,24029104
27,0,24403763
28,0,24404318
29,0,24404836
30,0,24405659
31,1,24405893
32,0,24406448
33,0,24408682
34,0,24409290
35,0,24409750
36,1,24412782
37,0,24414971
38,0,24416608
39,0,24417250
40,1,24418505
41,0,24419894
42,0,24420738
43,1,24420884
44,0,24421572
45,0,24421629
46,0,24421848
47,0,24422109
48,0,25056881
49,1,26319949
50,2,27108638
51,0,27143686
52,2,27364493
53,0,27696460
54,1,28265402
55,3,28265912
56,0,29761078
57,0,29893824
58,3,32456961
59,3,32565174
60,0,34626592
61,0,34677593
62,3,41776946
63,0,42728407
64,3,45373985
65,3,45807621
66,0,49142152
67,2,54420229
68,3,54649238
69,3,54774933
70,0,54983966
71,3,56621885
72,0,57201299
73,0,57820641
74,0,58674969
75,0,58677049
76,0,59074828
77,0,59077285
78,1,59370729
79,0,59504823
80,1,60953798
81,1,60953801
82,0,60954259
83,0,60954524
84,2,61348461
85,3,61560490
86,2,63318686
87,1,64108195
88,2,65016119
89,3,67906894
90,1,69320578
91,3,70047594
92,2,70432624
93,1,70505414
94,0,70505538
95,0,70505916
96,2,70747991
97,2,70999098
98,0,71706059
99,2,73867281
100,3,73961941
101,3,74868235
102,3,74956059
103,3,75284617
104,2,76013348
105,3,76360111
106,3,76890721
107,2,76934183
108,2,77460505
109,0,77719689
110,0,80343832
111,1,81789747
112,1,82342153
113,0,82933688
114,0,82934101
115,0,82934803
116,0,82935410
117,3,83773216
118,0,86412750
119,0,87500823
120,3,88427607
121,1,88472317
122,1,90457530
123,0,91536736
124,3,91830759
125,2,91972453
126,0,91979924
127,1,92277884
128,1,92745430
129,3,92807671
