,cat,id
0,1,2289704
1,0,2405686
2,1,3623730
3,2,5403658
4,0,5590786
5,0,8152293
6,0,9320484
7,2,9424581
8,1,9577860
9,0,9945031
10,1,10663980
11,2,11772591
12,0,11890145
13,1,12893160
14,0,14768312
15,2,15983919
16,2,16356351
17,0,17112518
18,0,17712223
19,1,18159283
20,2,18530385
21,0,18849561
22,2,19063003
23,2,19882237
24,0,20528848
25,2,20882924
26,1,21422769
27,1,23524492
28,0,24073245
29,2,25774033
30,0,27425342
31,0,28109676
32,1,28425014
33,1,28619726
34,0,28678675
35,1,28766660
36,2,28941671
37,2,30224426
38,2,31875706
39,0,32505511
40,0,33065731
41,1,34750489
42,1,37259568
43,2,37338051
44,2,37970199
45,2,41133216
46,0,41773527
47,2,47863378
48,2,50867520
49,2,51733749
50,1,51862331
51,0,51894952
52,1,52970032
53,1,53112759
54,2,54048802
55,1,54528638
56,2,54596858
57,0,56459790
58,0,56468351
59,1,56948620
60,1,58051191
61,2,60481607
62,1,60994981
63,0,61854154
64,1,64243464
65,0,64589487
66,0,64597009
67,1,65245048
68,0,65365321
69,1,67156235
70,2,67674965
71,1,68654375
72,0,68871155
73,0,69705183
74,1,69908498
75,1,69908584
76,1,70590378
77,0,70786849
78,1,71476498
79,1,72038633
80,0,72631570
81,1,72992029
82,2,74809816
83,1,75981713
84,2,77448728
85,1,77463610
86,2,77859926
87,0,77952218
88,1,79328681
89,0,80648219
90,1,80727167
91,1,81650505
92,2,81731331
93,2,81732200
94,1,86454219
95,1,86602819
96,1,87563945
97,0,88753568
98,0,90183168
99,2,90736567
100,1,91956171
101,2,94198821
102,2,97835409
103,0,98148884
104,1,98864694
105,2,99801247
106,0,100338276
107,0,100423706
108,2,100682902
109,2,101144932
110,1,105278100
111,2,107856109
112,0,108205905
113,2,108249560
114,0,108927401
115,0,110355187
116,0,110832680
117,1,111567879
118,0,112009764
119,0,112057271
120,1,112231272
121,0,112306299
122,1,112818738
123,2,113148477
124,1,113450695
125,0,114441505
126,1,115348058
127,0,116226175
128,1,116458520
129,0,116755739
130,2,117461800
131,2,117987530
132,2,121015709
