,cat,id
0,1,362476
1,0,852572
2,0,2255317
3,0,2500830
4,2,2775817
5,0,3036140
6,1,5005118
7,0,5390471
8,0,5509383
9,0,6234739
10,2,9050664
11,1,9217423
12,1,9417838
13,2,10050223
14,0,10689148
15,0,10877087
16,0,11371268
17,0,11753965
18,0,12726773
19,1,12786970
20,0,12963817
21,1,13850524
22,2,14351390
23,0,15687520
24,0,16439662
25,0,17446623
26,0,17458048
27,1,17462275
28,0,17822604
29,0,18154773
30,0,19182006
31,0,19278609
32,0,19517167
33,2,21065596
34,0,21069491
35,0,21553009
36,1,22120709
37,0,22241022
38,2,22536259
39,0,24223646
40,0,26593342
41,1,26716423
42,0,26724926
43,0,27025076
44,0,27049187
45,1,27116046
46,2,28415482
47,0,28497316
48,2,28698803
49,0,31331872
50,1,31831775
51,1,32127971
52,1,33216368
53,2,33309044
54,2,33914180
55,0,34053046
56,0,34341035
57,0,35420865
58,0,35421426
59,1,35981040
60,1,36235216
61,1,36611799
62,1,37037644
63,0,38749539
64,2,38773942
65,2,39051258
66,1,39466994
67,1,39505239
68,2,39677741
69,0,39719710
70,0,40424620
71,1,40800920
72,1,40922406
73,1,42570940
74,1,43025510
75,0,43274713
76,0,43305294
77,0,45575979
78,0,45588423
79,2,45750140
80,0,45876525
81,0,47509177
82,1,48640972
83,0,49070600
84,0,49559510
85,1,49560306
86,2,50496541
87,0,50760483
88,2,50950046
89,0,51235801
90,1,51274024
91,1,51459626
92,0,51537043
93,0,51783807
94,0,53429338
95,2,54465033
96,1,54646766
97,1,54929444
98,1,54958910
99,0,55510199
100,2,55554310
101,1,55642577
102,1,55696304
103,1,56474532
104,1,56482383
105,1,56719472
106,0,57207861
107,1,58156295
108,2,58195030
109,1,58332635
110,0,58420444
111,1,59095251
112,0,60098345
113,1,60384072
114,0,60883023
115,0,61376243
116,2,62473836
117,2,63400962
118,0,63949700
119,1,64744991
120,0,65803486
121,0,66002326
122,0,66048905
123,0,66273615
124,0,66675957
125,0,67098453
126,0,67320032
127,2,68794091
128,0,69317032
129,0,69363573
130,2,70742253
131,1,71423632
132,0,71955220
133,1,72584714
134,2,72614696
135,0,72728898
136,0,74018564
137,2,75516923
138,0,75546446
139,1,75591396
140,1,76373331
141,1,78016032
142,1,78584397
143,0,79563696
144,0,81768347
145,0,82232576
146,0,82267231
147,0,83003267
148,2,83325335
149,1,83499049
150,0,83821844
151,0,83882593
152,2,84383252
153,1,85176485
154,1,85274118
155,1,85289414
156,0,85750058
157,1,85890389
158,0,86210151
159,0,86230507
160,0,86323373
161,1,86395776
162,1,87875455
163,0,88681205
164,0,88958086
165,0,90607854
166,0,91316501
167,0,91623865
168,1,92095752
169,0,95134408
170,0,95857330
171,0,95956457
172,1,96815479
173,2,96820901
174,0,97407781
175,1,97890640
176,1,98386124
177,1,98845548
178,0,99099464
179,0,99414423
180,1,99456091
181,0,99504852
182,0,99817917
183,2,102110290
184,1,102335539
185,2,102855563
186,1,103087096
187,0,103630393
188,1,103692408
189,1,104182504
190,0,107541689
191,0,108847129
192,2,109235005
193,1,109563443
194,0,110066637
195,1,110847821
196,2,111058212
197,0,111348838
198,0,112510294
199,1,113836392
200,0,114382478
201,0,114426402
202,0,115319662
203,0,117878026
204,1,118264287
205,0,118374442
206,1,118440497
207,1,118471539
208,1,118832331
209,0,119352349
210,0,120834811
211,0,121709577
212,0,122343740
213,0,122521597
214,1,125046124
215,0,125938820
216,0,127360291
217,1,129420303
218,0,129674340
219,0,130006589
220,1,130006605
221,0,130927167
222,0,131282389
223,2,131511686
224,2,131832395
225,2,132536618
226,0,132780672
227,1,134757925
228,1,135455861
229,0,136496204
230,0,137149475
231,0,137484039
232,0,137964381
233,0,137997776
234,2,139407009
235,1,140117029
236,2,140152627
237,1,140375764
238,0,140413063
239,0,140535603
240,2,140687973
241,0,141253203
242,0,141593743
243,0,141731398
244,1,142048334
245,1,142286509
246,1,142845390
247,1,144378507
248,0,146425811
249,1,147071363
250,1,147513308
251,0,149691730
252,1,149874382
253,0,150003228
254,0,150022709
255,0,150695592
256,1,151014172
257,0,151559810
258,0,152284470
259,0,152357937
260,0,153011552
261,1,153080928
262,2,153304563
263,2,153340834
264,0,153663556
265,0,155090465
266,0,155237584
267,0,155921348
268,1,156476837
269,0,157375505
270,1,157770270
271,0,158153663
272,0,158228582
273,1,158254216
274,0,158662182
275,0,158924669
276,0,160488107
277,0,161097683
278,0,161314700
279,1,166661056
280,1,166814782
281,1,166901884
282,0,167001489
283,0,167403520
284,0,168432648
285,1,169405634
286,1,169837812
287,0,170277637
288,0,170767131
289,0,171731056
290,2,171893485
291,1,172298609
292,0,173900732
293,1,173933172
294,2,174062766
295,1,174770551
296,1,176206890
297,1,177931633
298,0,178965209
299,1,179308336
300,0,181011455
301,0,181553663
302,0,182757809
303,1,183713237
304,0,183862314
305,0,185652814
306,0,186008623
307,0,186783280
308,1,187032879
309,2,187943552
310,0,188486110
311,0,188728082
312,0,188728332
313,0,188729026
314,2,189102685
315,0,190334965
316,0,190378995
317,0,190568471
318,1,191554290
319,1,191675686
320,2,192252482
321,1,193582451
322,1,193977650
323,2,194587818
324,1,194908097
325,0,196127499
326,1,196272085
327,0,196296252
328,0,196380655
329,0,196542008
330,0,197842811
331,0,198555766
332,0,199449885
333,0,199702137
334,2,200000910
335,0,200231822
336,0,202575846
337,2,203581710
338,1,204648322
339,0,205069710
340,2,206694539
341,1,206773785
342,0,206949355
343,2,207587262
344,0,210017436
345,1,210277861
346,0,210400532
347,0,210447290
348,1,211459255
349,1,211773755
350,1,212132874
351,1,212662751
352,1,213216015
353,1,213239549
354,1,214017781
355,1,214018780
356,0,214358792
357,2,214931816
358,2,214931876
359,0,215630975
360,2,217231810
361,0,217900448
362,0,218967054
363,0,219745354
364,0,220135228
365,0,220461381
366,0,220484643
367,0,220934978
368,0,221746268
369,0,222346080
370,1,222524506
371,1,222625877
372,1,223740604
373,0,223992390
374,1,224192464
375,0,224639405
376,1,224766119
377,1,225759688
378,0,226253006
379,0,226465344
380,1,226949844
381,0,227953794
382,1,228425047
383,1,229853137
384,0,230366212
385,0,230656453
386,1,230667799
387,1,230878545
388,1,232397213
389,0,233068076
390,0,233128539
391,1,233871493
392,1,234589835
393,0,235381213
394,1,235976059
395,1,236412790
396,0,239173747
397,0,239252768
398,0,239619097
399,0,242417402
400,0,243515883
401,0,244520150
402,2,245196237
403,0,245273670
404,0,246788389
405,0,248594032
406,0,248969477
407,2,249003582
408,1,249635762
409,0,249967660
410,1,250245925
411,2,250853005
412,2,250950956
413,0,251124027
414,0,251577358
415,2,253637121
416,0,254439614
417,1,255250953
418,1,255333481
419,2,256981678
420,1,257414315
421,0,257769721
422,0,258004162
423,0,258594563
424,1,258820833
425,1,258914617
426,0,259009901
427,1,259257757
428,1,260240268
429,0,260264360
430,0,260676069
431,0,260937034
432,1,261082610
433,1,261203666
434,1,261203715
435,2,261227632
436,0,261346033
437,1,261358218
438,2,262421249
439,0,262445591
440,0,262664204
441,2,262702631
442,0,265713217
443,1,265715474
444,1,265758236
445,0,266376156
446,1,266862233
447,1,268466956
448,2,269302461
449,2,269786707
450,2,269793566
451,0,270558797
452,0,270930214
453,1,271417811
454,1,272726549
455,0,273908350
456,0,274752264
457,2,275523395
458,2,275563329
459,1,276588342
460,2,277070886
461,0,277502632
462,0,278062320
463,0,278068963
464,0,278141280
465,0,278263315
466,1,279515710
467,1,279615992
468,0,280045350
469,0,280064427
470,0,280150249
471,2,280503387
472,2,281208410
473,0,281293334
474,0,282562497
475,1,282577209
476,2,283156627
477,1,283852107
478,0,284101253
479,1,284515186
480,0,285579588
481,1,285953366
482,2,286040930
483,0,287161745
484,1,287284825
485,0,287372673
486,0,287628730
487,1,288166099
488,1,289468876
489,0,290773213
490,0,291347046
491,0,291592402
492,1,292222230
493,0,292261770
