,cat,id
0,1,1511
1,1,7638
2,2,1331348
3,0,1461326
4,0,2068679
5,1,2435619
6,2,2435827
7,2,2908276
8,0,3164472
9,2,4054895
10,1,5403716
11,0,6036477
12,2,6036771
13,0,6565775
14,0,8475058
15,1,9653486
16,1,9851989
17,0,11793732
18,1,12700633
19,1,12978343
20,2,15330778
21,1,15955300
22,2,16707619
23,0,16724187
24,0,16864249
25,1,17030512
26,1,18722802
27,2,18886093
28,2,19104628
29,0,20373562
30,1,21448265
31,1,22647378
32,2,22827659
33,1,23805924
34,1,23964415
35,0,25168632
36,0,27783121
37,1,27936910
38,1,29983602
39,1,30188793
40,2,30716232
41,1,31306423
42,1,31674536
43,0,31806307
44,1,32890733
45,1,33723792
46,1,34771905
47,2,34849041
48,0,35411898
49,0,35950145
50,0,36164159
51,1,36694170
52,0,37108082
53,0,37124865
54,1,37269930
55,1,38735526
56,0,40557351
57,2,42777089
58,1,42941729
59,1,43439504
60,1,43866848
61,1,44224161
62,0,44393931
63,0,44781058
64,1,46278991
65,2,46803202
66,1,47257990
67,0,48386989
68,2,49774202
69,0,49857081
70,1,52002465
71,0,52121740
72,0,52750399
73,2,53052224
74,2,53393214
75,0,53444155
76,1,55261128
77,2,55842642
78,2,56429065
79,0,56928591
80,0,57491326
81,2,59142175
82,0,59503925
83,1,59663611
84,0,60576175
85,2,60945629
86,2,62926238
87,0,63267469
88,1,63842827
89,0,64835071
90,1,65311939
91,0,66175705
92,2,66361166
93,2,66900385
94,2,67039932
95,2,69325586
96,2,70710200
97,1,71483005
98,2,71748055
99,0,72055339
100,0,72183057
101,0,73373151
102,2,73460250
103,0,74664159
104,1,76868859
105,0,76896050
106,2,79798078
107,1,80074091
108,0,81247921
109,1,84013948
110,2,84278662
111,0,87822231
112,1,90452945
113,1,91235910
114,0,91898062
115,1,92254955
116,1,92255015
117,2,95042609
118,1,95982951
119,1,96711533
120,1,96812605
121,1,97212782
122,2,100032734
123,1,100531098
124,1,100561636
125,1,100620563
126,2,100686996
127,0,101150762
128,1,101551194
129,1,105559021
130,1,106324293
131,1,106324315
132,0,106694362
133,1,107221615
134,0,108290025
135,1,108426937
136,0,108493691
137,0,109068753
138,2,109356941
139,1,111206091
140,2,111837962
141,2,111837989
142,2,112320359
143,0,112334618
144,0,112785607
145,1,112814457
146,1,114469912
147,1,115346773
148,1,115606627
149,1,115606855
150,0,115607185
151,0,115807947
152,1,116695733
153,0,116975202
154,0,117507510
155,0,117608226
156,1,119460361
157,0,119948298
158,0,120000484
159,1,120427763
160,0,120449494
161,0,121259055
162,0,121480640
163,0,121591126
164,0,123916700
165,0,124521278
166,0,124545300
167,0,124959427
168,0,125349247
169,0,125538517
170,1,127282187
171,1,127546693
172,1,127713510
173,1,129649212
174,0,129968948
175,1,131755585
176,1,132495501
177,1,133036644
178,1,133036751
179,1,133166923
180,0,133632407
181,1,134051115
182,2,135854189
183,2,136731872
184,1,137168186
185,1,137906598
186,1,138745885
187,2,138824437
188,2,139372578
189,0,139673483
190,2,141886998
191,0,143485341
192,1,144652102
193,1,144912226
194,0,145324227
195,0,147779262
196,1,149478468
197,0,150416325
198,1,150674835
199,0,151374825
200,2,152397986
201,1,152624477
202,2,152706650
203,2,152852983
204,2,153556833
205,1,154540622
206,0,154780729
207,1,154943317
208,0,157822001
209,1,157910928
210,1,158822062
211,1,161564329
212,0,162492607
213,0,163563642
214,1,165433218
215,0,165768388
216,1,167038224
217,2,167081249
218,1,167806953
219,0,167829395
220,1,168543208
221,0,168674241
222,0,169111805
223,0,169825334
224,2,171541309
225,0,171565942
226,0,173914773
227,1,176843790
228,1,178297948
229,2,178617199
230,0,179265194
231,1,180149570
232,1,182110076
233,2,182261220
234,2,182285419
235,2,183252020
236,1,183282432
237,2,183627287
238,0,184127979
239,1,184246150
240,1,185207017
241,0,186022071
242,1,187386453
243,1,188041442
244,1,188041683
245,2,188717426
246,2,189628885
247,0,189708296
248,0,191203801
249,0,192156383
250,0,192212627
251,0,192252210
252,1,192766890
253,1,194946036
254,1,195826308
255,0,196096811
256,1,196164776
257,1,196909729
258,0,197144928
259,0,197392375
260,1,198710332
261,1,199109406
262,0,199408752
263,1,199475028
264,1,199543050
265,1,200245118
266,1,201459726
267,1,202196062
268,1,203387893
269,1,203685542
270,1,207625412
271,1,208411983
272,1,210272694
273,0,210380091
274,0,211192477
275,1,212309204
276,2,214782887
277,1,216287729
278,1,218233122
279,1,219970124
280,1,220095086
281,1,221015902
282,1,221859387
283,1,222168776
284,1,222304058
285,1,222414524
286,2,224231223
287,1,224541494
288,2,224926754
289,1,225131019
290,1,225541696
291,0,226376964
292,0,226945002
293,1,226945213
294,2,227918009
295,0,229181454
296,1,229306335
297,0,229383031
298,1,229632488
299,2,231280397
300,2,231729834
301,1,232559618
302,1,232706806
303,0,232777717
304,2,233226146
305,2,233253417
306,0,233639172
307,2,237776548
308,1,238675265
309,1,238676288
310,2,243914249
311,1,250092376
312,0,250644966
313,1,252066208
314,0,252067453
315,1,252073338
316,0,254705650
317,0,254834205
318,0,257189107
319,1,260144881
320,2,260244136
321,0,260254877
322,1,262091472
323,2,262281932
324,0,262349168
325,0,262489635
326,0,263087984
327,2,264806285
328,0,264913279
329,1,265393339
330,0,267047211
331,1,267936795
332,1,268460423
333,1,268746338
334,0,269578797
335,1,269843453
336,0,269909530
337,2,269996761
338,1,270265376
339,1,270361123
340,2,272253116
341,2,272343528
342,1,272347368
343,1,273320851
344,1,273925825
345,0,274656857
346,2,275807312
347,2,276149415
348,1,276571115
349,0,276845964
350,1,277188672
351,0,277313924
352,0,277696222
353,1,277782850
354,1,278062403
355,1,278197470
356,1,279002824
357,0,280251490
358,1,281834886
359,1,281999919
360,1,282638669
361,2,282834733
362,0,283567197
363,1,283769903
364,1,283974475
365,2,284660066
366,1,285242393
367,2,285692563
368,0,286358091
369,1,286825747
370,1,288338211
371,0,289238828
372,0,289287710
373,2,290600297
374,0,290903270
375,0,291333242
376,0,291358527
377,0,291359063
378,0,291472164
379,1,292568605
380,1,293309652
381,0,293333259
382,0,293425995
383,1,294643231
384,1,295187102
385,2,296593437
386,0,297339415
387,1,297339605
388,0,298417179
389,0,299505289
390,0,299912733
391,2,300162716
392,2,300527520
393,0,302740670
394,0,303512528
395,2,304322086
396,2,305900109
397,1,306648896
398,1,307524618
399,0,309197225
400,1,312087116
401,1,312295441
402,1,312924599
403,1,313342084
404,0,313468649
405,0,313620581
406,1,314545923
407,2,315765809
408,2,315774685
409,1,316931417
410,0,317776934
411,1,317857384
412,1,320914849
413,1,321959694
414,1,322085359
415,1,323344613
416,2,323479943
417,1,323978318
418,1,324481808
419,2,324654557
420,1,325605937
421,0,325605961
422,0,325867903
423,1,327495821
424,1,327496126
425,1,327754532
426,2,327900074
427,2,328195306
428,0,328450588
429,1,328809856
430,2,329282853
431,0,329388208
432,2,331072048
433,0,331257923
434,0,331659438
435,0,332140643
436,1,333776129
437,1,333780565
438,1,336703942
439,1,339816952
440,2,339899792
441,2,340743694
442,0,340897081
443,1,341089017
444,1,341538903
445,0,342787149
446,1,343601592
447,2,343679248
448,0,344559904
449,0,345610239
450,0,345865359
451,1,346005019
452,1,346005539
453,2,348406402
454,1,349151535
455,1,349151549
456,0,349468434
457,1,350799848
458,1,351654546
459,0,351947363
460,1,352308871
461,1,352750951
462,0,353886050
463,2,353948797
464,0,354098220
465,0,355668102
466,2,356214019
467,1,356512846
468,2,357450430
469,1,358111347
470,1,358486022
471,1,358689684
472,0,358751885
473,0,358994906
474,1,360353575
475,0,361256187
476,2,361949554
477,2,362295256
478,1,362622184
479,1,364570632
480,0,365851703
481,1,366404279
482,0,366899090
483,2,367442194
484,1,369318152
485,2,372270486
486,2,372476387
487,1,372555955
488,0,372615313
489,2,373090461
490,1,374174166
491,0,374174537
492,1,374905407
493,1,376688822
494,0,377349782
495,1,377626855
496,0,378075600
497,1,379846205
498,2,380401362
499,0,380401636
500,0,380401949
501,1,381544517
502,0,382757387
503,1,383378133
504,2,383536424
505,2,383747779
506,1,384986684
507,0,385909440
508,1,386972782
509,2,388132959
510,1,388251274
511,1,388580287
512,1,389093211
513,0,390760028
514,0,391483727
515,0,391667245
516,2,391681699
517,0,392050634
518,0,392070498
519,1,392257641
520,0,393095525
521,0,393179124
522,1,393311345
523,0,395390908
524,1,396005284
525,2,396443804
526,2,399174774
527,1,401242886
528,2,401512969
529,2,401954718
530,1,403002103
531,1,403306869
532,2,404235431
533,1,406870569
534,0,409121478
535,2,410982289
536,2,411134347
537,1,412234091
538,1,413618512
539,0,413897154
540,0,414622570
541,0,415309641
542,1,416002116
543,2,417239651
544,1,417276102
545,1,418592369
546,1,419396365
547,1,419564422
548,1,419865608
549,0,420303790
550,2,426751299
551,1,429954203
552,2,432322981
553,1,432347100
554,2,433592518
555,0,438614230
556,1,439467550
557,2,440162413
558,0,441703404
559,1,444858060
560,0,450024789
561,0,450976542
562,2,451027986
563,1,452916377
564,1,453133453
565,1,453698464
566,1,453769873
567,0,455281820
568,2,455535308
569,2,457155790
570,2,457681425
571,0,457684708
572,0,457797981
573,0,458098195
574,0,458113217
575,2,459297729
576,2,459620361
577,1,459789290
578,2,460279619
579,1,461509831
580,1,461511743
581,2,461925442
582,1,462240817
583,1,462925315
584,2,463926914
585,2,463926997
586,2,463927057
587,2,463927150
588,0,466770581
589,2,467180609
590,2,467671564
591,2,467739588
592,1,468509711
593,2,469527908
594,1,469542880
595,2,469682891
596,2,470071524
597,2,470103720
598,1,470292100
599,2,470560487
600,2,470627509
601,2,472583584
602,2,474824124
603,1,475613234
604,1,475906253
605,0,475962093
606,2,476888906
607,1,477912324
608,1,478624392
609,1,479087377
610,1,481262610
611,1,483156001
612,0,485320760
613,1,485374455
614,2,485515580
615,2,485517654
616,2,487436307
617,1,487897550
618,0,488250754
619,1,492657596
620,0,492672742
621,1,492788828
622,0,493739000
623,1,493746747
624,0,496435711
625,0,497640307
626,0,497869934
627,0,498885697
628,1,499685793
629,1,499835167
630,0,503055701
631,0,503056716
632,1,503751999
633,1,503820779
634,2,503826684
635,2,505802068
636,1,505871548
637,1,505939448
638,1,506077372
639,0,506155920
640,1,508054650
641,1,508054662
642,0,508242663
643,1,509117733
644,1,510357969
645,1,510416074
646,0,510902642
647,2,510987157
648,2,510987324
649,1,512489697
650,2,513496352
651,0,513871231
652,1,516079004
653,2,516087003
654,1,516350347
655,2,517194605
656,0,518111994
657,0,518300835
658,0,518808645
659,1,518946843
660,2,519338998
661,1,519634036
662,1,519639004
663,1,519891057
664,1,519891945
665,1,520274238
666,2,520559338
667,2,521288143
668,2,521589193
669,2,521856712
670,1,521918145
671,2,522223865
672,0,522464043
673,2,522956656
674,0,523227810
675,1,523341337
676,1,524538749
677,1,527126204
678,2,529929327
679,1,530112831
680,1,530797750
681,1,530879951
682,0,531535397
683,0,531596223
684,0,531643580
685,2,531719917
686,0,531724270
687,0,531736228
688,0,531739201
689,1,533267392
690,2,533287475
691,1,533345574
692,1,533429578
693,1,533536638
694,2,535865545
695,1,536226597
696,0,539572793
697,1,540360429
698,1,541108889
699,1,541292880
700,1,541648251
701,0,542360948
702,0,542361186
703,2,542388145
704,1,542405935
705,2,542938908
706,2,543376954
707,1,545053418
708,0,545870107
709,0,546833540
710,2,547755173
711,1,551630325
712,0,553323460
713,0,555107572
714,0,555874772
715,2,555954634
716,1,556780497
717,2,558703030
718,2,558982685
719,2,559146286
720,1,559582445
721,2,561112888
722,1,561383159
723,1,562682537
724,1,562922319
725,2,563150944
726,0,563228881
