,cat,id
0,3,317897
1,1,943578
2,1,1370894
3,1,2556505
4,1,2846085
5,0,4773445
6,0,5532188
7,2,5929666
8,0,6555532
9,0,6917322
10,2,7012909
11,2,7511161
12,1,7831995
13,0,12313485
14,3,13097695
15,0,13288672
16,1,14267079
17,3,14270487
18,3,15242344
19,0,15282127
20,2,15510586
21,0,17096292
22,1,17551209
23,1,18696235
24,2,19021983
25,0,19166860
26,1,19645037
27,2,25345525
28,1,25852699
29,0,26721508
30,2,27263768
31,2,27321840
32,2,28185244
33,3,29814603
34,1,29845059
35,3,30015007
36,1,30081599
37,2,30121167
38,1,30151738
39,1,31316557
40,1,31460680
41,2,31516498
42,1,32947479
43,2,32955204
44,1,33369540
45,0,34483746
46,0,35297717
47,2,35346482
48,3,35663620
49,1,36806249
50,1,39040375
51,2,40348617
52,1,40878655
53,0,41309334
54,1,41607534
55,2,41903113
56,2,42139222
57,1,42253880
58,1,42997594
59,2,43019191
60,3,44160461
61,1,44416230
62,0,45847925
63,2,48422839
64,1,48422917
65,2,49793824
66,1,50795366
67,1,51526206
68,2,52457385
69,1,53054798
70,0,53624270
71,1,54129108
72,1,54139332
73,2,54221607
74,0,54636495
75,1,55345854
76,1,55551500
77,1,56035772
78,0,56813517
79,1,57135913
80,2,57356439
81,1,57390210
82,1,57954326
83,1,58283496
84,2,59158997
85,3,61497799
86,2,63572803
87,2,63600184
88,2,63721797
89,0,64815809
90,0,66035140
91,0,66741408
92,2,68723567
93,1,69209455
94,0,69221573
95,1,69942556
96,1,69942563
97,1,69976111
98,1,70607457
99,1,71224230
100,0,71435208
101,2,72104279
102,1,72517819
103,0,72630090
104,1,72711746
105,0,72864759
106,1,73325291
107,1,74289970
108,0,76789008
109,1,78040951
110,1,78686890
111,1,78789511
112,0,79306893
113,1,80491254
114,0,83651872
115,2,86568974
116,0,87102460
117,0,87137811
118,0,88358838
119,2,88448516
120,0,88454024
121,0,88900160
122,1,89560431
123,1,89622636
124,1,90238896
125,2,91793355
126,0,91869884
127,1,91943899
128,0,92168042
129,1,92543097
130,2,92834898
131,1,93030901
132,1,93045320
133,0,93376159
134,1,96048921
135,0,96371537
136,3,98682815
137,2,99854381
138,3,100791127
139,1,102384794
140,2,102930525
141,3,105663275
142,0,105789877
143,2,106939882
144,1,108204360
145,0,108419280
146,2,108560978
147,1,109186904
148,1,109335742
149,3,110010345
150,2,110952873
151,0,113502248
