,cat,id
0,2,156595
1,2,967515
2,2,1479126
3,2,1499493
4,0,2180627
5,0,2247666
6,2,2337119
7,0,3420182
8,0,3424889
9,2,3973609
10,2,4961441
11,1,5448818
12,0,5991321
13,1,6965223
14,0,9444334
15,1,9505341
16,2,9724913
17,1,10618932
18,2,11163902
19,0,11343567
20,0,12372434
21,0,12908597
22,0,13338516
23,1,14339697
24,0,15275014
25,0,15275142
26,0,15404713
27,2,15444911
28,0,16462923
29,2,16814907
30,1,17566256
31,1,17944312
32,1,18184692
33,0,18929900
34,2,20911940
35,2,21750736
36,1,22054412
37,2,24600064
38,2,25969957
39,2,26389738
40,0,27246781
41,0,27841285
42,1,28085146
43,2,28597526
44,0,29792446
45,0,29798669
46,1,30095249
47,0,31322486
48,0,31441655
49,1,31676994
50,0,32322870
51,1,33609853
52,1,33830983
53,1,34530923
54,0,37880713
55,1,39939158
56,0,39940393
57,0,40344514
58,0,41264638
59,0,41277023
60,2,41424469
61,2,41800461
62,2,42923525
63,0,43596636
64,2,45336309
65,0,45552743
66,1,46258990
67,0,46913950
68,0,46914045
69,0,46918361
70,1,47497953
71,0,47499886
72,0,49372879
73,1,50958720
74,0,51276610
75,1,51902123
76,1,51947372
77,1,52231370
78,2,52616460
79,0,52711807
80,0,53838457
81,0,54391061
82,1,55888764
83,0,56294372
84,2,56357417
85,0,56496147
86,1,56497199
87,2,56767702
88,1,57400249
89,1,57495970
90,0,59678673
91,1,60935568
92,0,62384748
93,2,62979551
94,0,63013044
95,0,63100655
96,2,64755739
97,1,65539659
98,1,68074335
99,1,68969608
100,2,69379488
101,2,70168811
102,2,70805662
103,0,70839849
104,0,72421795
105,0,73638444
106,1,75191621
107,2,75406341
108,1,76047227
109,0,76257670
110,2,77060512
111,2,78979654
112,0,80357010
113,1,80433018
114,2,80743199
115,0,82197709
116,2,82960740
117,1,82960827
118,0,83260563
119,0,83447520
120,0,84643536
121,0,84945125
122,1,88054827
123,0,88671184
124,1,89052974
125,0,89129347
126,2,90037379
127,2,90037399
128,1,90833594
129,1,91637205
130,0,92563019
131,2,93293462
132,0,95313090
133,0,95350645
134,1,95394366
135,0,95794554
136,2,96440448
137,1,96555764
138,1,99606627
139,1,100710349
140,2,100927712
141,0,101333971
142,0,101373354
143,2,101557519
144,0,102312582
145,0,102622623
146,0,103412075
147,0,103413017
148,0,104070961
149,1,104236098
150,1,104236133
151,0,104236294
152,1,104236318
153,0,104236416
154,1,104236555
155,1,104236617
156,1,104236640
157,0,104236801
158,2,104236853
159,0,104236967
160,1,104236990
161,0,104237009
162,0,104237122
163,0,104237145
164,0,104237410
165,0,104237502
166,0,104237505
167,0,104237516
168,1,104237527
169,1,104237601
170,2,104237657
171,2,104237716
172,0,104237949
173,2,104238110
174,0,104238271
175,0,104238324
176,0,104238449
177,0,104238535
178,1,106562490
179,2,107399148
180,2,108777568
181,2,108777587
182,0,110917729
183,0,112051174
184,2,112722387
185,2,112862430
186,2,112982067
187,0,114396674
188,1,115160435
189,1,115501027
190,0,115775736
191,2,117882881
192,0,118015585
193,1,120301684
194,1,120889074
195,2,121587483
196,0,122315980
197,1,122318650
198,1,122602157
199,0,123877947
200,2,124822366
201,2,125874208
202,0,126005700
203,1,126663178
204,0,126735092
205,2,127159124
206,2,127345873
207,0,127675016
208,0,128749946
209,1,129492879
210,0,131260613
211,0,131816667
212,1,132565679
213,1,132642129
214,2,132764957
215,2,134050739
216,0,136122265
217,1,136271898
218,1,136329745
219,1,137037875
220,2,137071300
221,0,137385632
222,0,137836403
223,0,137838895
224,1,138793477
225,1,138946279
226,0,139269826
227,0,139421773
228,2,139530438
229,0,141829792
230,0,141863440
231,1,142066779
232,0,144438107
233,1,144749897
234,0,144752800
235,0,145232532
236,1,145260816
237,0,147497628
238,0,147780584
239,2,148078485
240,1,148080409
241,0,148087012
242,0,148087610
243,1,148454048
244,0,149066459
245,2,149102708
246,0,149201056
247,1,149277738
248,1,149893577
249,1,150087618
250,2,150405242
251,2,151341127
252,0,151853307
253,0,154835287
254,0,156495596
255,2,157579783
256,0,157634483
257,2,158373860
258,2,158847522
259,0,160625977
260,0,160696778
261,0,162014790
262,1,162178645
263,0,162531934
264,2,162554160
265,2,163261381
266,0,163424622
267,2,163546420
268,2,163676084
269,1,166358212
270,0,168618464
271,0,169106073
272,1,170217228
273,0,170535208
274,0,170538419
275,2,171272660
276,2,171272786
277,0,171902963
278,0,173005808
279,2,174608808
280,2,174624281
281,2,174624952
282,1,175110979
283,0,175516079
284,0,175916943
285,0,178788981
286,2,178955825
287,0,179127527
288,0,186009380
289,1,188722136
290,2,188855739
291,2,191266102
292,1,191564628
293,1,191972312
294,2,192898081
295,0,192970297
296,0,194529534
297,0,196338583
298,0,196803904
299,2,199478506
300,2,200128182
301,0,200462149
302,0,201018423
303,2,202279617
304,0,203382083
305,2,203689548
306,1,203852267
307,0,205219267
308,1,206306210
309,0,206485562
310,0,206697757
311,1,206789364
312,2,207069878
313,1,209485406
314,1,210185738
315,1,210275427
316,1,210275553
317,1,210275927
318,0,211255720
319,2,212379727
320,0,212644604
321,0,212910644
322,2,213149296
323,1,214197801
324,1,214197948
325,1,214372503
326,1,215032365
327,0,215682894
328,2,215854171
329,0,216778867
330,2,217637063
331,2,219484110
332,0,219606256
333,2,220091625
334,2,220370302
335,0,221802569
336,0,222175381
337,1,222423362
338,1,222515798
339,1,222875518
340,0,223354421
341,2,223576257
342,1,223621634
343,0,223627821
344,2,223669157
345,1,224384866
346,2,225381937
347,2,226001288
348,1,226353791
349,0,226489879
350,1,226590669
351,2,227205678
352,1,227219892
353,1,227450336
354,0,228832320
355,0,229525999
356,1,230089668
357,0,230287329
358,0,230989808
359,2,233210495
360,0,234163973
361,1,235168039
362,2,236537220
363,0,237625970
364,1,237805218
365,0,237837444
366,0,238406577
367,0,239601662
368,0,240330223
369,1,240805507
370,0,241428469
371,2,241568435
372,0,242111182
373,2,242680560
374,1,243315149
375,0,243903897
376,1,244539328
377,0,245406288
378,0,245504776
379,2,246225969
380,2,246227908
381,2,246371227
382,0,246609715
383,0,246795826
384,2,249930810
385,2,252161366
386,1,252877870
387,2,253450338
388,1,253812402
389,0,254160307
390,2,254509282
391,0,255058509
392,0,256353008
393,1,256564525
394,2,256602792
395,2,256677297
396,1,257857139
397,0,257857143
398,2,257885044
399,0,257995390
400,1,258841896
401,1,260613288
402,0,260778689
403,2,261427489
404,2,262099007
405,0,263289042
406,1,263438113
407,2,265646530
408,0,266664374
409,0,267082447
410,1,267667559
411,2,267785798
412,0,268244143
413,1,269166327
414,0,270554035
415,2,270823533
416,2,270824773
417,0,272179861
418,0,273071539
419,0,273359695
420,0,273944420
421,1,274041331
422,0,274423074
423,0,275008915
424,2,275043303
425,1,275431022
426,0,275605714
427,0,275848156
428,2,276026410
429,0,276225988
430,0,276760355
431,1,278282495
432,0,278329870
433,0,278414923
434,0,281242528
435,0,281358087
436,1,281725208
437,2,282842363
438,1,283134605
439,0,283386563
440,0,284124252
441,2,284183193
442,1,284424870
443,1,284987673
444,2,285745242
445,1,286563381
446,2,286836857
447,2,287023516
448,2,288701811
449,1,289262000
450,1,289547377
451,0,290352361
452,1,290880617
453,1,292411439
454,0,292476555
455,1,292527160
456,1,292769095
457,2,293146700
458,2,294648312
459,1,294729931
460,0,294966627
461,0,295570233
462,0,295597413
463,0,295629591
464,0,295774721
465,0,298149874
466,1,299234692
467,2,300177306
468,0,301384925
469,2,303774653
470,1,305009968
471,2,305900726
472,2,306053729
473,0,307924618
474,1,308316533
475,1,309215775
476,2,309709783
477,0,309858497
478,2,310155072
479,0,310478824
480,1,312203727
481,0,312347494
482,1,312545077
483,1,314208278
484,2,314441836
485,0,314485742
486,0,314883724
487,2,315593163
488,2,316256346
489,0,316588534
490,0,318189322
491,2,318729692
492,1,319806590
493,2,320994864
494,2,321352538
495,0,321839235
496,0,322378594
497,0,322547092
498,2,323850625
499,0,326073247
500,1,326538332
501,0,328373879
502,0,328378071
503,0,328781351
504,2,330712294
505,0,330892262
506,0,332383647
507,0,333457809
508,0,333457919
509,2,335026253
510,0,335088379
511,2,335422933
512,0,335813998
513,1,336114914
514,0,336172765
515,1,336840123
516,0,338993194
517,2,339794458
518,0,340328648
519,1,340405550
520,0,341510376
521,1,341997998
522,1,343621168
523,1,343842756
524,0,346260041
525,2,348718541
526,2,348999564
527,0,349414237
528,1,351419453
529,2,351639529
530,1,352178186
531,1,352989929
532,1,353059878
533,2,354404051
534,1,354907622
535,0,355075604
536,0,355393974
537,0,355422871
538,0,355593192
539,1,355708821
540,2,355866689
541,2,355866690
542,1,356336939
543,2,357627660
544,1,357869188
545,1,358038922
546,0,359665652
547,1,360270586
548,0,360356924
549,2,360368903
550,2,360369040
551,0,361498384
552,0,361887889
553,0,362781884
554,0,362782587
555,0,364829700
556,2,365756663
557,1,366068655
558,1,367293047
559,0,367363531
560,1,368076287
561,2,368472129
562,1,368529938
563,0,369337556
564,1,370106753
565,1,370371842
566,0,370419649
567,0,372915380
568,1,372917440
569,1,373256093
570,2,373397145
571,0,375096812
572,0,375244545
573,0,375405038
574,2,375406828
575,2,375421149
576,0,375518523
577,1,376264789
578,0,377052793
579,1,381876794
580,2,381877046
581,1,381897556
582,2,382025045
583,1,382084490
584,2,384851720
585,0,387374327
586,0,387544336
587,1,387794014
588,1,387921608
589,0,388950152
590,0,390982653
591,0,390999986
592,0,391035458
593,1,391515784
594,0,392201938
595,1,393235511
596,1,393818382
597,2,394368914
598,2,394553934
599,1,395266438
600,0,396243521
601,0,396251420
602,2,396495987
603,0,397603393
604,1,398563907
605,1,398989570
606,1,399509021
607,1,399516673
608,1,399572631
609,1,400862712
610,0,402301126
611,1,403298640
612,0,405469143
613,0,405477039
614,1,405763972
615,0,406620964
616,0,406647410
617,0,407081713
618,1,408362786
619,2,408362807
620,2,408362811
621,0,408834085
622,2,409398478
623,1,409484379
624,1,409945751
625,1,410685021
626,0,412905075
627,0,414011256
628,0,414434323
629,2,414715231
630,0,414996644
631,0,415748047
632,0,416388845
633,0,416858334
634,1,417065100
635,0,418984970
636,1,419546771
637,2,419900781
638,2,420791501
639,2,420792466
640,1,422152995
641,0,422342836
642,0,422558070
643,0,423453305
644,1,429305740
645,1,429713872
646,0,429791362
647,1,432271173
648,1,432300399
649,2,433914919
650,0,434303058
651,1,435931697
652,1,445637551
653,2,447624354
654,1,448784647
655,1,451509194
656,0,456771945
657,1,457537554
658,1,460152877
659,1,460153567
660,1,460154155
661,1,460155354
662,1,460156862
663,0,460265087
664,1,466032976
665,1,467941101
666,1,468522349
667,0,470953520
668,1,482854385
669,0,485762435
670,1,486826213
671,0,489007996
672,2,489333348
673,0,498808631
674,0,503006924
675,0,503237381
676,1,504369255
677,0,505607384
678,1,510839575
679,2,511541572
680,0,511814398
681,2,512278222
682,2,512407160
683,1,514176280
684,0,516800310
685,2,520989268
686,1,521030556
687,0,528592801
688,1,531525077
689,1,533379083
690,1,534317506
691,0,535262687
692,2,536993823
693,1,538509289
694,0,542194804
695,0,542797723
696,1,543271323
697,1,543353026
698,1,543591662
699,2,546422222
700,1,552741214
701,1,553930026
702,2,557542716
703,2,560643032
704,2,560643061
705,1,565926001
706,1,569248668
707,0,572715428
708,2,573874618
709,2,573995291
710,2,574432454
711,1,583654937
712,0,588087496
713,1,592800817
714,2,595932025
715,2,596240377
716,0,599216499
717,0,599227986
718,0,602007400
719,0,606483687
720,0,608148378
721,1,610241290
722,1,617562442
723,1,617940472
724,0,618485226
725,0,618775106
726,1,633678678
727,2,637150829
728,1,646571331
729,0,649908272
730,0,653568019
731,0,660162208
732,2,660179012
733,1,660185542
734,2,660206848
735,1,660220887
736,2,660295295
737,1,660352222
738,1,660715504
739,1,662558527
740,2,663117975
741,2,664447937
742,2,665381404
743,1,665544255
744,0,670682480
745,0,672845728
746,2,678034210
747,0,680438236
748,1,680910216
749,1,680918058
750,2,681016521
751,1,682856263
752,0,687276067
753,0,687705002
754,1,697119129
755,2,701797981
756,1,701798137
757,1,707003203
758,1,707505741
759,2,709282618
760,2,721670043
761,0,722600492
762,2,723802042
763,1,726129586
764,1,730830291
765,0,731328213
766,1,732439253
767,2,733564132
