,cat,id
0,2,1099467
1,1,1291544
2,1,2832933
3,0,3854152
4,1,4017522
5,3,4236926
6,3,4766512
7,3,5158959
8,3,6305570
9,0,8103586
10,3,8117929
11,0,8129233
12,1,8523531
13,0,9342733
14,0,10131975
15,3,10519233
16,1,10684705
17,3,12785362
18,1,13446819
19,2,15730169
20,2,15730432
21,3,16267114
22,0,16702784
23,3,16702790
24,0,17173817
25,3,18135679
26,0,18881126
27,0,19862868
28,1,20575973
29,1,20961815
30,3,22837665
31,0,23791697
32,0,24256426
33,0,24980669
34,0,24988964
35,0,25039224
36,0,26085660
37,0,27015447
38,1,27116100
39,1,27134947
40,1,27415658
41,1,27421769
42,3,28304980
43,3,31403566
44,1,32269697
45,1,32271682
46,0,32433244
47,3,32628277
48,0,32794675
49,1,34741120
50,1,34977620
51,1,34978549
52,0,34988416
53,0,35559881
54,1,36295002
55,1,37720591
56,0,39226803
57,0,40627375
58,3,40641905
59,3,40949540
60,0,41180295
61,2,41354537
62,0,42464173
63,0,42648493
64,1,43292503
65,3,43938890
66,1,45161078
67,0,45511635
68,3,47241458
69,3,47252486
70,0,48476852
71,3,48829176
72,3,48918383
73,1,49045718
74,0,49052431
75,0,51512929
76,3,52331278
77,0,52967818
78,0,55681283
79,1,57236061
80,3,59061584
81,0,59412177
82,3,60098459
83,0,61020479
84,1,61661350
85,1,61713829
86,1,62967226
87,0,63167400
88,0,64439368
89,1,64688903
90,0,65971765
91,0,66053845
92,0,66778947
93,0,67054093
94,3,68668229
95,0,70104534
96,2,70581425
97,1,70953591
98,3,71489003
99,0,71640459
100,1,72548321
101,3,72557210
102,0,72859001
103,0,75051809
104,0,76928383
105,0,78178371
106,1,78813732
107,0,79358209
108,0,79369226
109,0,81498715
110,3,82277387
111,0,83451998
112,1,84189582
113,0,84260764
114,3,84994473
115,0,85769254
116,0,85856385
117,3,85922897
118,0,87817388
119,3,88763938
120,0,89783656
121,0,90305597
122,3,92814459
123,0,92931781
124,0,93073631
125,1,94296513
126,2,94759935
