,cat,id
0,1,607544
1,0,862131
2,2,1716273
3,0,2212096
4,1,3941999
5,0,4351690
6,0,4782522
7,1,5313761
8,1,5606088
9,0,5721514
10,0,5909938
11,0,6024314
12,0,8334144
13,2,9496147
14,2,10194306
15,0,10277554
16,1,11221607
17,0,11369915
18,0,12457580
19,0,13125209
20,1,13330488
21,1,13956068
22,1,18902596
23,1,19807649
24,2,20309441
25,0,21522309
26,0,21638501
27,1,21751817
28,2,21906253
29,0,21999107
30,2,22056004
31,0,22430626
32,2,23262826
33,1,23751109
34,0,24942353
35,1,25194999
36,2,25841438
37,1,26321149
38,0,28344657
39,2,29383743
40,0,29986209
41,1,30470076
42,0,31013639
43,2,31239741
44,0,31380957
45,1,31931250
46,0,32830204
47,0,34143714
48,2,38307693
49,0,40015137
50,2,40647768
51,0,41208175
52,1,42104829
53,0,43005120
54,0,43238672
55,0,43261120
56,0,43595732
57,2,43823629
58,0,44460768
59,0,48328458
60,2,48436424
61,0,49207445
62,2,51831844
63,0,51973555
64,0,51997664
65,1,52620060
66,0,52631850
67,0,52671065
68,0,53826740
69,0,54777241
70,0,54934153
71,2,55031679
72,0,55416552
73,1,56729080
74,1,59082120
75,2,59987336
76,0,60581753
77,2,61128859
78,1,61962306
79,2,65052670
80,0,67099169
81,0,67396778
82,0,67466805
83,0,68378020
84,2,68383228
85,2,68693361
86,0,68938759
87,1,69298939
88,0,69299965
89,0,69743568
90,0,70852998
91,0,71010470
92,0,71064743
93,1,71244293
94,0,71560010
95,0,71893341
96,2,72222121
97,1,74556048
98,2,74842624
99,1,76968580
100,0,79126539
101,2,80299145
102,0,80852721
103,0,82985481
104,0,83130483
105,0,85017401
106,0,85397665
107,1,85764939
108,2,86283435
109,2,86516109
110,0,87110216
111,0,89588244
112,0,89588278
113,0,89603042
114,0,89702319
115,0,91070392
116,2,91190528
117,1,91515996
118,0,92373933
119,1,92532784
120,2,92948724
121,2,93301296
122,2,94014798
123,0,94122237
124,1,94242985
125,0,94708332
126,0,95021070
127,0,95021648
128,1,95610162
129,1,97865903
130,0,98163990
131,0,98164597
132,0,99231546
133,0,100443380
134,0,100549687
135,0,100638188
136,0,100772747
137,0,101024966
138,0,101146489
139,2,102417673
140,2,103215691
141,0,103302702
142,0,103612254
143,2,103747546
144,0,103761110
145,0,105273061
146,1,107483349
147,0,107725974
148,1,107866268
149,2,107892075
150,0,108839655
151,2,109298761
152,0,109406003
153,0,109752982
154,2,110616867
155,1,110692869
156,0,112387141
157,2,113896583
158,1,114108257
159,1,114372571
160,0,114467672
161,0,114672748
162,0,115061132
163,0,115777755
164,0,115892626
165,2,116011932
166,2,116048753
167,0,116450232
168,0,117405806
169,1,117818038
170,0,118010584
171,2,118459643
172,0,119401209
173,0,119750323
174,1,120319322
175,0,121033975
176,1,121833528
177,0,121897847
178,0,123101440
179,1,123197371
180,1,123302337
181,0,124905045
182,0,125086731
183,0,125934116
184,1,126180281
185,0,126682007
186,0,126682076
187,0,127458751
188,0,127970141
189,0,128607744
190,1,128680379
191,2,129608274
192,2,129746381
193,0,131801187
194,0,132147050
195,0,132629977
196,2,133456322
197,0,134122923
198,0,135568765
199,0,135958220
200,2,136515271
201,2,136574001
202,0,138153228
203,1,138258877
204,2,138400287
205,0,138602719
206,0,139149791
207,0,139233018
208,0,139369382
209,0,139413570
210,1,141195352
211,1,141196321
212,1,141434032
213,0,142372692
214,0,143465100
215,0,144603778
216,0,145589693
217,2,145761805
218,2,146409929
219,2,146780770
220,2,149342967
221,1,150214791
222,1,150993033
223,0,151233991
224,0,151458450
225,0,151564708
226,1,151738808
227,2,152164477
228,0,152680312
229,2,152796352
230,0,153790793
231,2,153857047
232,1,154545818
233,0,155107080
234,1,155273312
235,0,156211762
236,0,157045127
237,2,157319713
238,0,157983190
239,0,158570118
240,1,159209906
241,1,159351965
242,0,160156258
243,0,160555593
244,1,160696435
245,1,162244349
246,0,163213977
247,1,163962191
248,0,164006310
249,2,164384781
250,0,164480634
251,1,164991413
252,0,165089822
253,1,165545898
254,0,166328930
255,0,166704145
256,1,167697015
257,0,167913469
258,0,168155803
259,0,168529510
260,0,170411725
261,2,171374218
262,0,172867260
263,1,172928671
264,0,173149586
265,0,174707506
266,0,175542485
267,1,176469461
268,0,176770375
269,0,177270592
270,0,178275475
271,1,178549625
272,0,179508969
273,0,179552474
274,1,179668815
275,0,179685919
276,0,179756920
277,0,180540852
278,1,180828428
279,1,182860573
280,0,184946602
281,0,186364622
282,0,186527140
283,2,186966895
284,2,189342133
285,2,189598406
286,1,189798953
287,0,190528717
288,2,191917492
289,1,192190635
290,0,192501095
291,2,192627810
292,1,193039082
293,0,193914009
294,0,194235246
295,1,194326358
296,2,195437695
297,1,196506387
298,2,197804966
299,0,200084808
300,0,201324400
301,0,201347335
302,0,201523317
303,0,201546810
304,0,202904258
305,0,203455546
306,1,203964496
307,0,204050305
308,0,204198174
309,0,204893999
310,0,205176363
311,0,206765892
312,2,207008070
313,0,207294739
314,2,207749957
315,0,208305643
316,0,208329075
317,1,208418332
318,1,208481308
319,2,209170072
320,0,209473532
321,0,209998599
322,2,210008494
323,1,210236833
324,2,210653849
325,2,211690827
326,0,212527853
327,0,212528368
328,2,212713079
329,0,213748779
330,2,214240475
331,0,214589165
332,2,215955409
333,1,216318773
334,2,216561878
335,1,216800015
336,1,216938100
337,0,217707252
338,0,218466643
339,0,219676130
340,2,219782994
341,2,220452341
342,1,220634243
343,1,221017926
344,0,221330701
345,0,222023951
346,0,222917979
347,0,222990387
348,0,223354239
349,0,224453582
350,0,224458609
351,2,225348439
352,2,225602353
353,2,227200423
354,1,228742823
355,2,229541535
356,0,230964288
357,0,231190087
358,2,231590721
359,0,233191701
360,0,233607696
361,0,234050226
362,0,234162584
363,0,234738543
364,1,235239564
365,1,236290682
366,2,236335007
367,0,237616560
368,2,237796319
369,1,238349331
370,1,238702175
371,1,238762267
372,2,239857520
373,2,239946689
374,0,240375186
375,1,240900546
376,0,241090057
377,0,241116727
378,1,241194096
379,1,241905738
380,0,242072853
381,0,242098197
382,0,245850438
383,0,246049252
384,1,246800674
385,0,246853078
386,2,246878161
387,1,247430216
388,1,248181710
389,0,248324949
390,2,248817183
391,0,249500897
392,0,249723880
393,1,249761930
394,1,250791597
395,0,251331963
396,1,251655735
397,1,252890696
398,1,257682533
399,1,258217653
400,2,259549146
401,0,261249198
402,0,261249826
403,2,261366325
404,2,261388600
405,1,263320782
406,1,263707018
407,0,263763553
408,0,263984677
409,0,264620871
410,2,264671835
411,2,264844788
412,1,265150474
413,0,265447127
414,0,265886510
415,0,266482036
416,1,266679456
417,1,266856581
418,0,266897690
419,0,267521283
420,0,268030297
421,0,268590442
422,2,269226048
423,0,271291556
424,0,271818273
425,0,271848777
426,0,271875640
427,0,275019093
428,2,275099001
429,1,275583107
430,1,276476944
431,0,276770721
432,0,278650013
433,2,278891428
434,2,278958081
435,2,280706106
436,0,283624085
437,0,284538760
438,0,284806301
439,0,285408747
440,1,285642571
441,2,285787827
442,1,286140944
443,0,287064359
444,2,287598089
445,1,287818304
446,0,288561393
447,0,288566350
448,0,289319791
449,2,291001197
450,0,291341990
451,2,291470749
452,0,291599110
453,2,292082440
454,0,292913030
455,2,293558787
456,0,293656048
457,0,293668410
458,1,293690625
459,1,295387829
460,0,296211429
461,1,296442636
462,0,297059423
463,1,297226568
464,0,297741113
465,2,299409400
466,0,299700341
467,0,299841471
468,1,300260539
469,2,301775531
470,1,302077655
471,2,302734139
472,2,303527667
473,0,304180989
474,0,304554793
475,2,305004186
