,cat,id
0,2,1137698
1,0,1554963
2,1,2913643
3,0,4368906
4,0,5845052
5,0,6476360
6,2,8401414
7,0,8699926
8,3,9455441
9,1,9742334
10,3,10314301
11,1,10396088
12,3,10989041
13,0,12293568
14,0,12361411
15,3,13157892
16,0,13645219
17,1,13763454
18,0,13817517
19,1,13974072
20,0,14222032
21,2,14650058
22,1,15698183
23,1,16406838
24,0,17626454
25,1,19283225
26,3,21624304
27,0,22871568
28,1,23128204
29,1,23130840
30,2,24220195
31,2,24817675
32,0,25610425
33,1,25782459
34,2,28179027
35,0,28184891
36,0,28311378
37,0,28694057
38,0,30926306
39,2,31106971
40,2,31231772
41,0,32019877
42,2,32686858
43,0,33003967
44,1,33434532
45,2,33647124
46,0,33852496
47,1,33996135
48,0,35788285
49,0,36991799
50,3,37398012
51,3,37603296
52,3,38107581
53,3,38922307
54,2,39027512
55,0,39233696
56,1,39731073
57,0,39795541
58,2,39805183
59,0,41455764
60,3,42280579
61,2,43277386
62,1,44452902
63,0,44614955
64,0,45780282
65,1,47071791
66,2,47182709
67,2,47706403
68,2,47890250
69,1,47989236
70,0,48013340
71,1,48292148
72,1,49220430
73,0,50072467
74,0,50989077
75,0,51492832
76,0,51763483
77,0,52169226
78,1,52625015
79,0,52985032
80,0,53334406
81,0,54120813
82,0,54821571
83,0,55318116
84,1,55558007
85,0,56962137
86,1,57131491
87,1,57479720
88,1,57487888
89,1,58043372
90,1,58335942
91,3,59807292
92,1,59959660
93,2,60892670
94,1,60922159
95,2,62240904
96,0,66977319
97,1,67391297
98,1,68020421
99,0,68081320
100,0,68222410
101,0,68245946
102,3,69467433
103,0,69915531
104,2,70676792
105,3,70814807
106,1,70840660
107,0,71468153
108,3,72003079
109,1,72128713
110,1,72672558
111,1,72829492
112,0,73065918
113,0,73066026
114,0,73066427
115,0,73941547
116,2,74917497
117,1,75153378
118,0,75220270
119,0,75382828
120,0,76220422
121,1,76595321
122,3,77183150
123,1,77330199
124,1,77736132
125,1,78074597
126,3,79035413
127,2,80322809
128,1,80817040
129,0,81354148
130,0,81389617
131,0,82333271
132,0,82846698
133,0,83408575
134,1,83467172
135,1,84529961
136,0,84665439
137,2,84766033
138,1,84806438
139,0,85736456
140,0,86281032
141,1,86925567
142,0,87108008
143,0,87177770
144,0,87312515
145,1,87741233
146,3,88752801
147,0,88901132
148,0,89797675
149,1,90401585
150,2,91357700
151,3,92215342
152,2,92704769
153,1,92924358
154,0,93118260
155,0,93829184
156,0,94616498
157,3,94725156
158,1,95023611
159,1,95820175
160,1,95872457
161,0,96265285
162,0,96426890
163,0,96966255
164,1,98121790
165,1,99826488
166,2,99994311
167,0,100495918
168,0,101068874
169,0,101167951
170,3,102876079
171,1,103638218
172,1,104224498
173,1,104739003
174,0,108199913
175,0,108255202
176,1,108484188
177,0,108720992
178,0,108814927
179,2,109407607
180,1,110768278
181,1,111725142
182,0,113718892
183,0,113813786
184,0,113975717
185,1,114682795
186,0,115513267
187,1,117155230
188,0,117994840
189,1,119066494
190,1,119984797
191,2,120362555
192,3,120828472
193,2,124178597
194,2,124222086
195,0,124823785
196,0,125985371
197,1,126084844
198,3,126286400
199,3,128225878
200,2,128228597
201,3,128238021
202,1,128898043
203,3,129169503
204,1,129279050
205,1,129711354
206,1,130479295
207,1,130873795
208,2,131472764
209,2,133051783
210,0,133818657
211,1,133926753
212,1,134128778
213,0,134322816
214,0,134966278
215,0,135128442
216,2,136132969
217,1,136777796
218,0,137734506
219,3,138174749
220,3,138767548
221,0,141421475
222,1,143187649
223,1,143195429
224,0,143196943
225,0,144034320
226,3,144794124
227,1,145623359
228,0,145701891
229,1,146156177
230,2,146448429
231,0,146669414
232,1,147132150
233,0,147724395
234,3,148888289
235,1,149579956
236,1,149647387
237,0,150638659
238,2,151052427
239,1,151186585
240,1,151527086
241,0,151778141
242,3,152279384
243,0,152565663
244,0,155356429
245,0,155502773
246,2,156468701
247,0,157938902
248,0,159350732
249,1,160496837
250,2,161256525
251,0,161815301
252,0,162087509
253,2,162205909
254,0,163643300
255,1,163716010
256,1,164458974
257,1,164978098
258,0,165552970
259,1,166371078
260,0,166396049
261,0,167063601
262,0,167304392
263,1,169791606
264,0,169798412
265,2,169914169
266,2,170003696
267,0,170183550
268,0,170397654
269,2,170448612
270,0,170905824
271,1,171568826
272,3,172049940
273,1,172941550
274,0,173046655
275,1,173615924
276,2,174039982
277,0,177199025
278,0,178654497
279,0,178823291
280,0,179408795
281,3,179415707
282,1,180205123
283,0,181948824
284,2,182199578
285,1,184265622
286,0,186364644
287,1,186605822
288,2,188190082
289,3,188530084
290,0,188631618
291,0,188640531
292,1,190727128
293,0,190895067
294,2,191978393
295,2,192478441
296,3,192934194
297,0,195825733
298,0,195986003
299,0,196254652
300,2,196811817
301,1,198196793
302,0,199964026
303,3,200663008
304,2,200760187
305,1,201335992
306,2,201896780
307,3,202350540
308,2,202476885
309,2,203195616
310,0,203801660
311,0,204442093
312,0,206825724
313,0,207637066
314,0,209750082
315,0,209759571
316,2,210204682
317,2,210515916
318,0,210522132
319,0,210590663
320,1,210857381
321,1,212990216
322,1,213335253
323,2,213962254
324,0,215321123
325,0,215544695
326,0,216018504
327,0,216617691
328,1,217105797
329,1,217174520
330,1,217556427
331,0,217889783
332,0,218257495
333,1,220085923
334,1,220837570
335,2,221248990
336,1,221340303
337,2,221747203
338,1,222642812
339,3,222756076
340,0,223395688
341,0,223396407
342,0,224941132
343,0,225143904
344,0,225552851
345,0,225979260
346,0,226694512
347,2,226786693
348,1,227162385
349,1,229552344
350,0,231594901
351,3,231860540
352,3,231910703
353,1,231977044
354,1,233119585
355,0,233653777
356,1,234212942
357,0,234718256
358,0,235548301
359,1,236713089
360,1,236751637
361,3,236753224
362,1,236930601
363,2,237414661
364,0,238476673
365,1,239229013
