,cat,id
0,0,36437
1,2,90238
2,0,874708
3,0,1590731
4,2,3101895
5,0,3192239
6,0,3404324
7,0,3404465
8,0,3699400
9,2,3705131
10,0,3913227
11,2,4490793
12,2,4490877
13,2,6288821
14,2,9099734
15,0,9354257
16,2,9443619
17,2,9714088
18,2,10644142
19,2,11162496
20,2,13401691
21,2,13401718
22,2,13435934
23,2,14028794
24,0,15256310
25,2,15428014
26,2,15670160
27,0,15763502
28,0,17370677
29,0,18770708
30,2,20427457
31,0,20941813
32,0,21889860
33,0,21964378
34,2,22941258
35,2,23952324
36,0,23960770
37,0,24829751
38,0,25732161
39,0,27166723
40,2,29318965
41,2,29587389
42,2,29794831
43,2,29794847
44,0,30426257
45,0,31683085
46,0,31716426
47,2,32643938
48,0,33540543
49,2,34192650
50,2,34727844
51,0,34992134
52,2,35382392
53,0,35530505
54,2,37062937
55,0,39111869
56,2,41727859
57,2,42142191
58,2,42356223
59,2,43532620
60,0,45479804
61,2,45805822
62,2,46755569
63,2,47690936
64,2,47879451
65,0,48282290
66,0,49041032
67,2,52645521
68,2,52645569
69,2,52645891
70,2,52984820
71,0,55656949
72,0,56408668
73,0,56807897
74,2,57735158
75,2,60301100
76,2,65047164
77,0,65476210
78,2,66390656
79,0,66639785
80,0,66669301
81,2,67200797
82,0,67315403
83,0,67349385
84,0,69226064
85,2,71075374
86,0,71811164
87,0,71825740
88,2,73008469
89,2,74140525
90,0,75751516
91,2,76992168
92,0,77515776
93,2,77542670
94,2,82820165
95,0,83776009
96,0,87173960
97,2,87182529
98,0,87661306
99,0,88606207
100,2,93630111
101,2,93630134
102,2,93630184
103,0,96911491
104,2,97030868
105,0,100272006
106,2,101127296
107,2,102805695
108,0,107587815
109,0,107918864
110,0,110266177
111,0,112289069
112,2,113124706
113,2,113849586
114,2,114209328
115,0,114501247
116,2,116603168
117,0,118850286
118,0,119190360
119,0,119190865
120,2,119825483
121,0,121177480
122,2,123501465
123,0,124040778
124,2,124487225
125,2,124852070
126,0,126452743
127,2,126698780
128,0,134624123
129,2,135661882
130,2,135818381
131,2,136676989
132,2,137150226
133,0,137543548
134,2,137817625
135,0,139419333
136,0,140395033
137,2,141612239
138,2,142556407
139,2,142557088
140,2,142557339
141,2,143188075
142,2,143188139
143,2,143857242
144,2,143986823
145,2,145013888
146,2,146426950
147,0,147301338
148,0,147718821
149,2,147990199
150,0,148316283
151,0,148317952
152,0,149917992
153,2,150529825
154,2,150587576
155,0,151895762
156,2,152969426
157,0,154000466
158,0,156309313
159,2,157226859
160,2,160260548
161,0,160276595
162,2,161160481
163,2,163424899
164,0,163993147
165,0,164013281
166,2,164948783
167,2,164948892
168,2,165186949
169,2,166177926
170,0,166392025
171,0,166742433
172,0,169502901
173,2,169686726
174,0,173509658
175,2,177395641
176,2,177395879
177,2,177395949
178,2,177395981
179,2,177495187
180,0,177906897
181,0,178470465
182,2,180056415
183,0,180773999
184,2,181555017
185,0,183298817
186,2,183650045
187,0,184340221
188,2,184912073
189,0,187747997
190,0,187889494
191,2,188707845
192,2,188709962
193,2,188710369
194,2,189418493
195,2,190468850
196,2,192099169
197,0,192432141
198,0,192639075
199,0,194664271
200,2,195636987
201,2,195638405
202,2,195839341
203,0,196564067
204,0,196722598
205,2,197321212
206,0,198891527
207,0,201761929
208,0,201772405
209,0,203396509
210,0,206206661
211,0,207032642
212,2,207922434
213,0,210480784
214,2,211729017
215,2,215567070
216,2,215567452
217,2,215599655
218,2,215599722
219,2,215732419
220,2,215732818
221,2,215849842
222,0,215929235
223,2,216150381
224,2,216151293
225,0,219422651
226,2,219460491
227,2,219595805
228,0,220738228
229,0,221837135
230,0,223438817
231,2,224778882
232,0,225060146
233,2,225137532
234,0,225670695
235,2,225752895
236,2,226501389
237,2,227104685
238,2,227517500
239,2,228469059
240,0,228591429
241,2,228659102
242,0,229599924
243,0,231577613
244,0,233980852
245,0,236860911
246,0,237194836
247,2,244066411
248,2,246282838
249,2,246283040
250,2,246348803
251,2,246349473
252,2,246725815
253,0,248115375
254,0,248243493
255,0,248373346
256,0,248373995
257,0,248374170
258,0,249874464
259,0,250280590
260,0,250683545
261,2,250972990
262,2,251006399
263,2,252705571
264,0,252979895
265,0,253196917
266,2,253435230
267,0,254026182
268,2,257538557
269,2,260794064
270,2,263787383
271,2,263787397
272,0,264415850
273,0,265300657
274,2,267439603
275,2,269235538
276,0,271983036
277,2,274908894
278,0,277250928
279,0,279713071
280,2,280121326
281,0,280659350
282,2,280709297
283,2,280904608
284,0,283018094
285,0,284565552
