,cat,id
0,1,291598
1,3,1274190
2,1,1999396
3,2,2703242
4,0,2967565
5,1,4043646
6,1,4336159
7,1,5032788
8,1,5562573
9,2,5905510
10,1,5955620
11,3,6298363
12,1,6839696
13,1,7610175
14,1,9054813
15,1,9818880
16,3,9960506
17,1,10567668
18,1,10589043
19,2,11087747
20,1,11239890
21,1,11283873
22,1,12067114
23,1,12210187
24,0,12688099
25,2,12900745
26,2,13075959
27,2,13561672
28,1,18387775
29,0,18930809
30,0,19575439
31,1,19940335
32,1,20079005
33,1,20256103
34,0,21035761
35,0,21053703
36,1,21252599
37,2,21299558
38,1,21367802
39,1,21421302
40,1,22218819
41,2,22525152
42,1,22777192
43,2,23616603
44,1,23819510
45,0,24020350
46,1,24631222
47,1,25650334
48,2,25681572
49,2,25900825
50,3,26454927
51,0,28764100
52,1,29504129
53,1,30140452
54,0,30751536
55,1,31311701
56,1,31537130
57,0,32005662
58,1,32465736
59,2,33165120
60,1,33600038
61,1,34559586
62,2,34828247
63,1,36179008
64,1,37691816
65,1,37691937
66,2,38504465
67,1,39257776
68,1,39947104
69,1,40884556
70,0,41177679
71,2,41928797
72,0,42539257
73,1,42590223
74,2,42677229
75,2,42931934
76,2,43165302
77,1,43722970
78,1,43861944
79,1,44538358
80,0,44641998
81,2,44849243
82,0,44862469
83,1,45170295
84,0,45428277
85,1,46330069
86,1,48748856
87,2,50684771
88,1,50708577
89,2,50797324
90,1,51457366
91,1,52848528
92,0,53175760
93,0,54640065
94,1,54805329
95,0,54857196
96,1,55903632
97,1,55996118
98,1,56078596
99,1,56356304
100,0,56634094
101,3,56758099
102,2,57721394
103,0,58131680
104,3,58205903
105,3,58210091
106,2,58352411
107,1,58592605
108,1,59616489
109,1,61376260
110,0,61384883
111,1,61862879
112,1,61867832
113,2,62026779
114,2,63053245
115,1,65152789
116,1,67056296
117,0,67387978
118,1,67529109
119,2,68097667
120,2,68448259
121,0,68899701
122,0,69138277
123,1,69942318
124,1,69942351
125,2,70637973
126,2,71460257
127,2,71820412
128,1,71936853
129,2,72115606
130,2,72222690
131,1,72721845
132,2,72833917
133,0,73071498
134,0,73111361
135,1,73283822
136,1,74975362
137,1,75138774
138,1,76796122
139,1,77693624
140,1,78639326
141,2,79839050
142,1,80419870
143,1,82770890
144,1,82771096
145,0,83759125
146,1,84259479
147,1,84858789
148,1,85112054
149,1,85702187
150,1,86062684
151,1,86389766
152,1,87077363
153,1,88328812
154,2,88328824
155,2,88356096
156,1,88622508
157,1,89833509
158,0,89936138
159,2,90293302
160,0,90877652
161,2,91077443
162,0,91439482
163,2,91714865
164,0,92526934
165,1,92775797
166,1,92832853
167,1,92833581
168,2,93298664
169,3,93479655
170,1,93705777
171,0,94733862
172,1,95184645
173,1,97242970
174,1,97283809
175,1,97375902
176,1,98361715
177,1,99377890
178,1,99406493
179,3,99655165
180,0,99811871
181,1,100542639
182,3,100875679
183,0,101007890
184,2,101914357
185,0,102506079
186,2,102614332
187,1,102855582
188,2,102888540
189,1,103309512
190,1,103560785
191,0,103707093
192,0,104249406
193,1,104353647
194,2,104486738
195,0,104491715
196,1,106800127
197,3,107300484
198,2,107327031
199,1,107459982
200,1,108297588
201,3,108947710
202,3,108947741
203,2,110078006
204,0,110930943
205,1,111058064
206,2,112617235
207,2,113780835
208,2,114278551
209,1,114717649
210,0,114905538
211,1,115048487
212,2,115207603
213,2,115467355
214,3,115808576
215,3,116378501
216,0,116587378
217,2,116765117
218,1,116782238
219,0,116822523
220,2,117429931
221,0,118173897
222,1,118287184
223,2,118343607
224,1,118916991
225,1,119098663
226,1,120385966
227,1,121185847
228,1,121192918
229,2,121540890
