,cat,id
0,0,158235
1,2,1023747
2,1,1889109
3,1,1889157
4,1,1889471
5,1,1889477
6,1,1890023
7,1,1890232
8,1,1890673
9,1,1890932
10,1,1891991
11,1,1892429
12,1,1892737
13,1,1893008
14,1,1893066
15,1,1893148
16,1,1893559
17,1,1894063
18,1,1894137
19,1,1894226
20,1,1894785
21,1,1895611
22,1,1895665
23,1,1895694
24,1,1895742
25,1,1896088
26,1,1896294
27,1,1896555
28,1,1896744
29,1,1897915
30,1,1897962
31,1,1898211
32,1,1898258
33,0,1898672
34,1,1899414
35,1,1916125
36,1,1916635
37,1,2411180
38,1,2489695
39,0,2493524
40,1,2788513
41,1,3814679
42,2,3864353
43,1,4282941
44,2,5186654
45,1,5675887
46,0,6162831
47,2,7975165
48,1,9149160
49,1,9303968
50,0,9454061
51,1,10399506
52,0,10733219
53,1,11227844
54,0,12670842
55,1,15764585
56,0,15773815
57,1,17304389
58,2,17769915
59,2,17769998
60,1,17862233
61,0,19103749
62,1,19178257
63,0,19863715
64,2,20197907
65,0,20282936
66,1,22564136
67,0,22722621
68,2,22735551
69,2,22735588
70,1,22967601
71,0,22968420
72,0,24534618
73,1,29035723
74,1,29035737
75,0,29315062
76,2,29577344
77,0,30776606
78,0,32251226
79,1,33613894
80,0,37326431
81,1,38245334
82,1,38343520
83,2,39485347
84,1,41247381
85,1,41253301
86,1,41281396
87,1,41292286
88,1,41297405
89,1,41299345
90,2,41423083
91,1,42019044
92,1,42019084
93,0,43549236
94,1,43593373
95,0,43593638
96,1,45198555
97,1,45198815
98,1,45200950
99,0,45202586
100,0,45203462
101,0,45204881
102,1,45205012
103,1,45205279
104,0,45208464
105,1,45209433
106,1,45209582
107,1,45211256
108,0,45212142
109,0,45212947
110,1,45214013
111,0,45214601
112,1,45214628
113,1,45214750
114,1,45214958
115,1,45216260
116,1,45216774
117,2,48291051
118,1,51873801
119,1,51875061
120,0,52798460
121,1,53865459
122,1,53866738
123,1,53868191
124,1,56228678
125,0,56337172
126,1,58551803
127,1,58551945
128,1,60845755
129,1,62598131
130,1,62598149
131,1,62798255
132,2,62947358
133,2,63247274
134,0,64094558
135,0,64254706
136,2,65111952
137,0,70983864
138,0,72964829
139,0,74155624
140,1,75273038
141,0,76292144
142,0,76359062
143,2,80259123
144,1,80757449
145,2,82129522
146,1,82405249
147,1,82610004
148,1,82942681
149,0,84065437
150,1,84507443
151,1,84518546
152,0,86612112
153,0,87144367
154,0,87151124
155,1,90328236
156,1,91389443
157,0,93057177
158,0,93075354
159,0,93084212
160,0,93092538
161,0,94302869
162,0,94302881
163,1,95286098
164,1,95286663
