,cat,id
0,1,968787
1,1,1150714
2,1,1206125
3,0,2164547
4,0,3169531
5,2,4263937
6,1,4418557
7,2,4796764
8,1,6372251
9,0,7219473
10,0,7554666
11,2,7697146
12,2,7963950
13,2,8331790
14,1,9879957
15,0,9946979
16,2,10397662
17,0,11559882
18,0,12501375
19,0,12882268
20,0,13064206
21,0,13426993
22,1,13534900
23,0,14011382
24,0,14445469
25,1,14468926
26,0,15404686
27,1,15643589
28,2,16155526
29,0,16217895
30,2,17852834
31,0,19000135
32,0,20525215
33,1,21405493
34,0,22757628
35,0,24135018
36,1,24695725
37,1,25477437
38,0,25653100
39,1,25888803
40,2,26142035
41,1,26268019
42,2,27040650
43,1,27961260
44,1,28189874
45,1,28453446
46,1,28927351
47,0,29960569
48,1,30221235
49,1,31273983
50,0,35491185
51,0,35761614
52,2,38047135
53,1,41771352
54,0,43877989
55,1,44130801
56,1,44373025
57,2,45162696
58,1,46208799
59,2,48199557
60,2,49376166
61,0,49696293
62,0,50019809
63,0,52022275
64,1,52094115
65,1,52461147
66,1,53650341
67,2,55641074
68,2,55796623
69,2,56238439
70,2,57883588
71,2,57958007
72,1,58105195
73,1,58402323
74,2,58939638
75,0,60571540
76,1,60842597
77,1,61699692
78,0,62233465
79,1,63325973
80,1,63327509
81,1,63328399
82,0,63823182
83,1,63918473
84,1,64770163
85,1,65423702
86,1,66829781
87,2,67581112
88,1,68500239
89,1,70013247
90,0,71156903
91,0,71785432
92,0,72298868
93,0,72399224
94,2,73251187
95,1,74163741
96,1,74423619
97,0,74443338
98,1,74925871
99,0,75133456
100,1,75221936
101,1,78545787
102,1,78933819
103,0,80251077
104,2,82008219
105,2,82096919
106,1,83058293
107,0,83402102
108,1,84537374
109,0,84727157
110,2,86238491
111,2,88172170
112,0,88238376
113,2,88313242
114,0,88757070
115,0,89304940
116,1,89356051
117,2,89365507
118,1,89528992
119,1,90948025
120,2,91196249
121,1,91772697
122,1,94178642
123,1,95026172
124,0,95304673
125,1,96950498
126,0,97630945
127,1,97765513
128,0,98573997
129,1,98834290
130,0,98914150
131,1,99131717
132,0,99264581
133,1,99501148
134,1,99978720
135,1,100341585
136,1,102402039
137,1,102822274
138,0,104707683
139,1,104760605
140,1,105007621
141,0,105642442
142,0,106331962
143,0,107500051
144,2,108475178
145,0,108948788
146,1,109400710
147,1,109548217
148,1,109587531
149,1,111084801
150,2,111131355
151,2,111423898
152,1,111649158
153,0,115328449
154,0,115657308
155,2,115919745
156,2,117568415
157,1,117745681
158,1,117834830
159,0,120009560
160,1,122029688
161,0,124118309
162,1,124387668
163,1,126429019
164,0,126646660
165,0,126944594
166,0,127568263
167,0,129517844
168,0,129892118
169,0,130258273
170,0,130363693
171,2,131807757
172,2,132085455
173,0,132173176
174,0,132801299
175,1,133173406
176,1,133636703
177,1,134324370
178,0,134448864
179,0,134802712
180,1,135468504
181,2,135678986
182,0,135900301
183,2,136298097
184,1,136797496
185,0,137275300
186,0,137374134
187,1,138205628
188,0,138647879
189,1,138692393
190,1,139001281
191,1,139563479
192,1,140834538
193,0,140968086
194,1,141426491
195,0,141494406
196,1,141710140
197,1,141793873
198,1,142645205
199,2,143384825
200,0,143417309
201,1,143663612
202,2,144526647
203,1,145175673
204,0,145386599
205,1,145702990
206,1,146192165
207,1,147218580
208,0,148555208
209,0,150031143
210,0,150654475
211,0,150816858
212,0,151120196
213,0,151216231
214,2,151471552
215,1,153905871
216,1,155370902
217,2,155438243
218,1,156288036
219,1,156638804
220,0,157513373
221,0,159473224
222,1,159546253
223,1,159909178
224,0,160148546
225,1,160545975
226,2,160910226
227,0,161554334
228,1,161595966
229,2,162364357
230,2,163193282
231,1,163612766
232,2,164043733
233,1,164113386
234,0,164139862
235,0,164521201
236,0,165272742
237,0,165762088
238,2,166178482
239,2,166540735
240,2,166651605
241,2,167247941
242,1,168319900
243,1,168587151
244,1,168852245
245,1,169336489
246,0,169571770
247,1,170804757
248,2,172875914
249,2,172938906
250,1,173870986
251,1,173978433
252,1,174344789
253,0,174607880
254,2,175583263
255,1,175715532
256,0,176013049
257,0,176221927
258,0,176861542
259,0,177854736
260,1,178005036
261,2,178804721
262,0,179631121
263,0,179676212
264,1,180309600
265,1,180583965
266,0,181593217
267,1,182298867
268,2,185149685
269,0,185410940
270,0,186119065
271,2,186983737
272,0,187002679
273,1,187246204
274,1,188668889
275,0,189126459
276,1,189383313
277,1,189842509
278,2,189968737
279,2,190940773
280,1,192163666
281,1,192308229
282,0,192486930
283,2,193730925
284,1,194476028
285,1,200034438
286,0,200115142
287,1,200944482
288,0,201124099
289,2,201599668
290,0,201664853
291,1,202505933
292,2,205212773
293,2,206178132
294,1,206501470
295,1,210048651
296,2,210599148
297,2,211512426
298,1,212056939
299,0,212474217
300,0,212849768
301,1,213247129
302,2,213314495
303,1,214439001
304,2,214530734
305,2,215748490
306,2,216430116
307,1,218075245
308,0,218231231
309,0,218340001
310,2,218406845
311,1,218559397
312,1,219278148
313,1,219802295
314,1,220602256
315,0,221395391
316,1,221561971
317,1,222121752
318,0,222407007
319,2,223360517
320,1,223966031
321,0,224172845
322,1,225605531
323,0,228526798
324,1,228819874
325,1,228867623
326,0,228872857
327,1,230824096
328,0,231006865
329,1,231839262
330,1,232886681
331,2,232968062
332,0,232993297
333,0,233035661
334,1,233206754
335,1,233769825
336,2,233948954
337,0,234051280
338,2,234076262
339,1,235137140
340,1,235731244
341,0,236092569
342,0,237122170
343,2,238595208
344,1,240310597
345,1,241513445
346,0,241829934
347,1,241927742
348,0,242394833
349,0,244321940
350,2,244412251
351,1,246616305
352,0,246797044
353,1,249849129
354,2,249975201
355,0,250480607
356,2,250952287
357,0,251408398
358,1,253666847
359,1,255325778
360,2,255860791
361,1,257418650
362,0,257451078
363,1,259144375
364,2,259279947
365,1,259552690
366,1,261841764
367,2,262734340
368,1,264378673
369,2,264674814
370,1,264906134
371,0,265889537
372,0,266124632
373,1,266481385
374,0,267638490
375,0,268215453
376,2,268922997
377,2,269687629
378,1,273067329
379,1,274912227
380,1,275287101
381,2,276806014
382,0,277922728
383,0,278046577
384,0,278801726
385,1,279084277
386,1,279152579
387,1,279232375
388,0,279838225
389,1,280487158
390,1,281374318
391,1,282158097
392,1,282987893
393,1,283850617
394,2,285686827
395,0,285776240
396,1,286734585
397,0,288199429
398,1,288645014
399,1,289442248
400,1,289505825
401,1,293061234
402,2,293924263
403,0,294997168
404,1,295556288
405,1,295592298
406,1,297094141
407,0,297157818
408,0,297901591
409,0,298466292
410,0,300202923
411,2,300459167
412,0,300690444
413,2,300887139
414,0,301321109
415,0,301909885
416,0,304301234
417,1,304797743
418,0,305088477
419,2,305397743
420,1,306966858
421,2,308497073
422,0,308515602
423,2,308586884
424,0,310142246
425,1,310192979
426,1,311109583
427,1,311857862
428,0,311872254
429,0,311947475
430,1,312144005
431,1,312704381
432,1,313606686
433,0,313976942
434,0,314980733
435,2,315812357
436,1,316024094
437,1,316145438
438,1,317262022
439,2,317396255
440,1,317665578
441,1,318657794
442,0,318741841
443,2,319001743
444,1,319058266
445,1,319060020
