,cat,id
0,1,733011
1,0,1344515
2,3,2800616
3,1,3006064
4,0,3579486
5,0,4155712
6,1,4544890
7,1,4688213
8,1,4934974
9,2,8543380
10,2,8993304
11,1,9155907
12,1,10862782
13,1,11482381
14,1,13922475
15,1,14460127
16,1,14713174
17,1,15746614
18,1,15746768
19,2,16954749
20,3,17202848
21,1,18363088
22,1,19099937
23,1,21064030
24,0,21377060
25,1,21809936
26,1,21810917
27,1,21955419
28,2,23832999
29,0,25090695
30,0,28359072
31,1,29278815
32,0,31037519
33,0,31137187
34,3,31138975
35,3,31423849
36,1,31461628
37,1,31982595
38,1,34305574
39,1,34395609
40,1,34944400
41,2,36942650
42,3,37310651
43,2,38054145
44,2,38108362
45,1,38931423
46,0,39929300
47,1,39955653
48,2,40017377
49,1,41073427
50,0,42350925
51,1,44302911
52,1,47740272
53,1,47955908
54,1,47956059
55,3,48012862
56,0,48024200
57,3,48128580
58,1,48263472
59,3,48513750
60,0,49834769
61,0,50060476
62,0,50413010
63,0,52143992
64,2,52413519
65,1,54696883
66,3,55137431
67,2,55429961
68,1,57077945
69,2,57141638
70,1,58421237
71,3,58826130
72,0,59214098
73,2,59566774
74,2,61150439
75,3,61165411
76,2,62595655
77,1,63006582
78,3,63258578
79,1,63910875
80,3,64599714
81,1,65188287
82,2,65758763
83,0,67013603
84,1,67075898
85,0,67096090
86,1,67652064
87,0,68559707
88,1,68831667
89,1,69161445
90,3,69443513
91,0,69472407
92,3,70391128
93,2,71077082
94,3,71089936
95,2,71432809
96,1,71540240
97,1,73769203
98,0,73916563
99,2,74059334
100,2,74138264
101,2,75006198
102,3,75705539
103,3,75708635
104,3,78197474
105,2,80205521
106,1,80239554
107,1,80478102
108,0,80769366
109,0,83864765
110,3,84061575
111,1,84974350
112,0,85519338
113,0,86292627
114,2,86309224
115,3,87146708
116,3,87670503
117,2,88032712
118,0,88411846
119,2,88707870
120,1,88963862
121,3,89173107
122,0,89228205
123,2,89710893
124,1,91875073
125,2,92170377
126,2,93727725
127,1,93899939
128,1,94255779
129,0,94302588
130,1,95591660
131,1,95751622
132,1,96049325
133,2,96055254
134,1,96078632
135,3,98053197
136,2,98263802
137,0,98857408
138,0,100049287
139,2,102049731
140,0,102173580
141,0,102632007
142,0,102799966
143,1,104006576
144,1,104744667
145,1,104747628
146,2,105415451
147,0,106349296
148,0,107958825
149,1,109004702
150,1,109796794
151,3,110340042
152,2,111131705
153,2,111776988
154,0,112639326
155,2,113107296
156,2,113455041
157,1,113923773
158,1,114002349
159,1,114301886
160,0,114810727
161,0,115442968
162,1,116117196
163,1,118680547
164,1,119494293
165,3,119803711
166,1,122449592
167,0,123590658
168,3,124431327
169,1,124652782
170,0,125626841
171,1,125658075
172,2,125915555
173,3,128740189
174,3,129984215
175,1,130672651
176,0,130712259
177,1,130988583
178,0,132765015
179,0,134015371
180,0,135431556
181,0,136974736
182,0,139105427
183,0,140892898
184,2,142381472
185,0,142892348
186,0,142999244
187,1,143062750
188,2,144443767
189,0,145240151
190,2,145526188
191,1,146281554
192,2,146455375
193,0,147773352
194,0,147977060
195,0,149280352
196,1,149669351
197,1,149669389
198,2,150524974
199,1,150725405
200,2,151253594
201,1,151260739
202,1,151366140
203,2,151758498
204,3,152561059
205,1,154016674
206,3,154997035
207,2,155296943
208,2,156215364
