,cat,id
0,1,598695
1,0,1202028
2,0,1974334
3,1,3164391
4,2,4351490
5,0,4379704
6,3,5803280
7,0,5920479
8,2,7165283
9,1,7241165
10,0,7406986
11,3,8005723
12,1,9034964
13,0,9084702
14,0,9791137
15,0,10074299
16,0,10148000
17,0,10324523
18,1,10645204
19,3,11408819
20,0,11934723
21,0,12637486
22,0,13604945
23,0,16026341
24,2,17505957
25,2,18936526
26,2,19295994
27,2,19297251
28,1,20731926
29,0,21747531
30,2,22288449
31,0,23681241
32,1,23696846
33,2,24215857
34,0,24297057
35,0,26050692
36,0,26133290
37,0,26243391
38,0,27116884
39,0,27673742
40,0,28177421
41,2,28307183
42,1,28374323
43,3,28448486
44,1,28813284
45,2,30191578
46,0,30403904
47,2,30665576
48,0,30867344
49,1,31470810
50,0,32312061
51,0,32312131
52,1,32423254
53,0,32425489
54,0,32426404
55,1,34181403
56,0,34904620
57,0,35569313
58,0,35880735
59,2,36901122
60,0,37813024
61,0,37947942
62,0,38388363
63,2,38553550
64,0,38672286
65,0,38699554
66,0,38731745
67,0,39951843
68,0,40691188
69,0,41527059
70,1,41763925
71,0,41838070
72,1,42159140
73,0,42415631
74,0,42468149
75,2,42811167
76,0,43255585
77,1,43473945
78,0,43765707
79,0,45157663
80,0,45560087
81,1,46232901
82,0,46599339
83,0,47480221
84,0,48238617
85,0,48284290
86,0,48961821
87,0,48976244
88,0,49420570
89,0,53941408
90,3,55553779
91,1,55664153
92,0,55713445
93,2,55724813
94,1,56900001
95,1,57440437
96,1,57988446
97,3,58342213
98,0,58356037
99,0,59017394
100,0,59270258
101,0,59284220
102,0,59502182
103,0,59639929
104,1,59703984
105,1,59753698
106,2,59791999
107,1,59907256
108,3,60956632
109,3,60989120
110,3,60991752
111,3,61062444
112,0,61841675
113,1,62323794
114,0,62574753
115,1,63001120
116,1,63480083
117,2,63864420
118,1,64688070
119,0,64971000
120,1,65465974
121,0,65469760
122,0,66972931
123,0,67340373
124,3,67650900
125,1,67736675
126,1,68256328
127,1,68287338
128,1,68330913
129,0,68460512
130,1,68847031
131,0,69386306
132,1,69465933
133,1,69749469
134,0,69749779
135,2,70190318
136,1,70648306
137,3,70990172
138,0,71128314
139,2,71663196
140,1,72871131
141,0,73615224
142,1,74067412
143,2,74164702
144,3,75154591
145,3,75675236
146,3,75675478
147,3,76112867
148,0,76233033
149,0,77200316
150,1,77757501
151,1,78504808
152,0,79583847
153,0,79690049
154,2,80062834
155,0,80480137
156,0,80515698
157,1,81153772
158,1,81423544
159,1,83502946
160,0,86096503
161,2,86199193
162,0,86276090
163,2,86513065
164,1,86611321
165,0,87098384
166,0,88410363
167,2,89507879
168,1,89557270
169,2,90162778
170,0,90537149
171,0,90974638
172,2,91839328
173,0,92319649
174,0,93465526
175,2,94571269
176,0,96712173
177,0,96744734
178,2,97042434
179,1,97672824
180,2,97684626
181,3,97692629
182,0,98734918
183,1,98778965
184,0,99096635
185,1,99874772
186,2,99984040
187,3,100056908
188,1,100337593
189,0,100906379
190,0,101318666
191,1,101919225
192,1,102754010
193,0,103159623
194,0,103182755
195,0,103325843
196,0,103405841
197,0,103981852
198,1,104766754
199,1,104947443
200,3,106088157
201,0,106221188
202,1,106707764
203,1,109564129
204,0,110417083
205,0,110528477
206,0,110550506
207,2,111743156
208,0,112368016
209,1,112686783
210,1,112826133
211,1,112945620
212,0,113675570
213,3,114017006
214,3,114838259
215,0,115616745
216,0,115671313
217,0,116181822
218,0,116197156
219,1,116197845
220,3,116641019
221,0,117444541
222,0,117614797
223,0,120560227
224,0,120561319
225,0,120690491
226,1,121585308
227,0,122827849
228,1,123903204
229,2,124368615
230,1,124435200
231,1,124440275
232,0,126203047
233,1,126272645
234,0,126366674
235,1,127334406
236,1,128246673
237,1,128255774
238,0,128479189
239,0,129866978
240,0,129948363
241,3,129989707
242,3,130212761
243,2,130448753
244,0,130588515
245,1,130690282
246,2,130829902
247,0,131113425
248,0,131534991
249,0,132237334
250,1,132294636
251,1,132579817
252,3,132667105
253,3,134098051
254,0,135291645
255,0,135707022
256,2,135720074
257,1,136170743
258,1,137169167
259,2,139573691
260,1,141167866
261,0,141377900
262,1,142480956
263,2,143430029
264,0,143482870
265,0,143561019
266,1,145925318
267,0,146009866
268,0,146645562
269,2,146782733
270,0,147607603
271,0,149941025
272,1,150037936
273,0,150241583
274,1,151917673
275,0,152751008
276,3,153068408
277,2,153299179
278,1,153315668
279,2,153841259
280,1,154199259
281,0,154248965
282,0,154654333
283,0,155053328
284,1,157158649
285,2,157450250
286,2,158557008
287,2,158640757
288,1,159371969
289,2,159429428
290,0,159445315
291,1,159769355
292,0,161584594
293,2,161656824
294,2,162038714
295,0,163535047
296,0,163676934
297,1,164141814
298,1,164669726
299,2,164804331
300,1,164951522
301,0,165422631
302,3,165542639
303,0,165951221
304,0,167055514
305,1,167516492
306,3,167598687
307,1,167727755
308,0,167938150
309,1,168051071
310,0,168051660
311,0,168067201
312,0,168067434
313,0,169109479
314,0,169143375
315,0,169660572
316,0,170390604
317,1,170471298
318,3,170591074
319,0,172036984
320,0,173101764
321,0,173284907
322,2,173310420
323,3,173542564
324,1,175671578
325,0,176101278
326,0,176693202
327,1,177410943
328,0,177583945
329,0,177584282
330,2,177655597
331,0,177808167
332,2,178072020
333,0,178847684
334,0,179190001
335,1,179427655
336,1,180251770
337,0,180365425
338,0,180825359
339,1,181933235
340,2,182247842
341,2,182946336
342,1,183032311
343,0,183366600
344,1,183416859
345,1,183756165
346,0,183768810
347,0,183770402
348,0,184578267
349,0,184728880
350,1,186004796
351,0,186119734
352,0,186616767
353,0,186658362
354,0,188508168
355,2,189785224
356,2,189787443
357,2,190087752
358,1,190179819
359,0,190588906
360,1,190665780
361,0,190727918
362,0,192650172
363,1,193553082
364,2,193602167
365,2,195087526
366,1,196317052
367,0,196638929
368,0,197508416
369,0,200937474
370,3,201160705
371,1,202434221
372,1,203566555
373,0,204290483
374,0,205240785
375,1,205364441
376,2,205748132
377,0,205863008
378,0,206333795
379,0,206404600
380,1,207301157
381,1,208023191
382,1,208341967
383,2,208914509
384,3,209431202
385,0,209451435
386,0,209691695
387,1,209943510
388,0,210321455
389,1,210544971
390,0,211144608
391,0,211165402
392,1,211245594
393,2,211529145
394,1,211902661
395,1,211933757
396,0,213753034
397,0,214163194
398,0,214226853
399,0,214921642
400,0,215004863
401,0,215191805
402,0,215318776
403,0,215864109
404,0,217025219
405,0,219255829
406,1,219799787
407,0,219989303
408,2,220306053
409,1,221471772
410,0,223009723
411,1,223198228
412,3,223539055
413,1,223960291
414,3,224166951
415,0,224909140
416,2,226831575
417,0,226934593
418,0,226945553
419,1,228539602
420,0,228660553
421,0,229785003
422,1,230158160
423,0,232358859
424,1,233308912
425,1,233780243
426,2,233993515
427,1,234091349
428,2,234202677
429,0,234660891
430,0,234677607
431,2,234859027
432,2,234969356
433,1,235537133
434,1,235837984
435,1,236048664
436,1,236260686
437,2,236968244
438,0,236973961
439,3,237047224
440,0,237427301
441,1,237434544
442,0,237594214
443,1,237669159
444,0,237983166
445,3,237989322
446,0,238094078
447,1,238382519
448,0,238383037
449,0,239455638
450,2,239583014
451,2,239901917
452,0,240267459
453,3,241111623
454,0,242022710
455,0,242622855
456,0,242989027
457,1,243018142
458,0,244127123
459,1,244233424
460,0,244350022
461,2,245410341
462,0,245437084
463,0,246189644
464,2,246243239
465,0,247343369
466,0,247872990
467,2,249594979
468,0,249604482
469,0,249933672
470,0,250039052
471,0,250070324
472,2,250284955
473,0,250693604
474,2,250861818
475,0,251896248
476,3,252092327
477,3,252148763
478,0,252324668
479,0,252495131
480,1,252787615
481,2,252928256
482,0,253059023
483,1,253232047
484,0,253357770
485,2,253534753
486,0,253883364
487,1,254917492
488,2,255165576
489,3,255178521
490,0,255301683
491,1,255448363
492,3,255828232
493,0,256317312
494,3,256844493
495,1,256951766
496,0,256990544
497,1,257048104
498,2,258419255
499,0,258499000
500,0,259226674
501,2,259727115
502,0,259783022
503,0,259792656
504,0,260129965
505,0,260261009
506,0,262255637
507,0,262370280
508,2,262442291
509,2,263535990
510,1,264058846
511,1,264867398
512,0,265511477
513,1,265704203
514,0,266698580
515,0,267471738
516,0,268867382
517,2,268876545
518,0,269329364
519,2,270718133
520,0,270896130
521,0,271757835
522,0,272730079
523,2,273392149
524,0,273453317
525,2,274327412
526,3,275769320
527,1,276157977
528,3,276310053
529,2,276489884
530,0,277242624
531,1,277554839
532,0,277784569
533,0,278827148
534,1,278848790
535,1,279714084
536,3,279747223
537,0,279784298
538,0,280104219
539,0,280153078
540,0,280153110
541,3,280655375
542,0,281006216
543,1,281596223
544,1,281787316
545,1,282194534
546,1,282199187
547,0,282905312
548,1,283279350
549,2,283344395
550,2,283344588
551,2,283344600
552,0,284910209
553,0,284944248
554,0,285193351
555,1,286559153
556,3,286604051
557,1,288102492
558,0,288416639
559,2,288594590
560,0,288819634
561,0,290058120
562,1,290368159
563,1,290506673
564,1,292062339
565,2,292718587
566,2,292942316
567,0,293355280
568,1,293360563
569,1,294075301
570,2,294906963
571,2,295123580
572,0,295480877
573,0,296503536
574,1,296749442
575,2,296962762
576,0,297103527
577,1,298212313
578,0,298658859
579,1,298927212
580,1,299649446
581,1,299901378
582,0,300133738
583,0,302400543
584,0,302504511
585,2,303842424
586,3,304808109
587,1,304843649
588,0,305277934
589,0,305453596
