,cat,id
0,0,63674
1,0,69350
2,0,80963
3,0,1652079
4,1,2210668
5,1,3613376
6,1,4430760
7,1,4518678
8,1,5068569
9,0,5451707
10,0,5521225
11,1,7114965
12,0,7557460
13,1,8469163
14,1,9433648
15,1,9433703
16,1,9608698
17,1,10659252
18,1,12037741
19,1,12037784
20,0,12661448
21,0,14916373
22,1,15428002
23,0,15843035
24,1,16034881
25,0,16250516
26,1,16433243
27,1,16942129
28,1,16956279
29,0,18470224
30,1,18594037
31,1,20050635
32,0,20438657
33,0,20438744
34,0,20438775
35,1,20832636
36,0,21132523
37,1,21196735
38,0,22367457
39,1,22534720
40,1,22745972
41,0,23269275
42,0,23300167
43,0,23491197
44,1,23951937
45,1,24103846
46,0,25096166
47,1,25239292
48,1,25239333
49,1,27004447
50,0,27426775
51,1,29794880
52,1,29795196
53,1,30034322
54,0,30876761
55,0,31233442
56,0,31276635
57,0,32057108
58,0,33780694
59,1,34191612
60,1,34191684
61,1,34962286
62,1,35382397
63,1,35905530
64,0,35965437
65,1,36569055
66,0,37296689
67,1,37593227
68,1,38000763
69,0,38867936
70,0,38867995
71,0,40280038
72,1,41126206
73,0,41304131
74,0,41496369
75,0,42187017
76,1,42471425
77,0,42578195
78,0,43320446
79,0,44371807
80,1,45024467
81,1,45482053
82,0,45874077
83,1,47571747
84,1,47690708
85,1,47690762
86,1,48459946
87,0,51611099
88,1,51800041
89,1,51800053
90,1,51800199
91,1,51904974
92,1,52124404
93,1,53389213
94,0,56469265
95,1,57167367
96,0,57706642
97,0,57941578
98,1,58654996
99,0,58920953
100,1,59112068
101,0,59641557
102,0,59669432
103,0,59995584
104,1,60301032
105,1,60410730
106,1,60625724
107,1,60626121
108,0,60866823
109,0,61101118
110,0,61370496
111,0,61372641
112,0,61372715
113,0,61372757
114,0,61385978
115,1,61394227
116,1,62308717
117,0,63354324
118,0,63571240
119,1,64630025
120,0,65512480
121,0,66345969
122,0,67293957
123,0,67489355
124,0,67906832
125,0,69935807
126,1,70886292
127,0,72215708
128,0,72291076
129,0,76339513
130,1,76488283
131,0,77041191
132,0,77943723
133,1,78743837
134,1,78743911
135,1,78744212
136,1,79069410
137,0,79768820
138,0,80420249
139,1,81523430
140,1,83688170
141,0,83765712
142,0,83795170
143,0,83919588
144,1,84254172
145,1,84255374
146,1,85686770
147,1,87607703
148,0,87828368
149,1,89432282
150,1,89432425
151,1,89432468
152,0,90403317
