,cat,id
0,2,2095684
1,2,2096817
2,0,3041756
3,2,3343605
4,0,3932430
5,0,4062273
6,0,4492264
7,0,5335890
8,2,6034573
9,1,6300029
10,2,6328858
11,0,6619146
12,2,6914486
13,2,7769456
14,0,7966056
15,2,8600431
16,0,9666012
17,2,10940862
18,2,11252695
19,0,11476295
20,1,11922371
21,0,12015878
22,2,12474476
23,0,12875904
24,2,12909437
25,2,12909716
26,0,13597273
27,0,13656475
28,0,14034222
29,2,15415080
30,2,16826709
31,2,17889451
32,0,18459279
33,1,19060440
34,0,19701034
35,0,20190467
36,1,20201665
37,1,20765223
38,0,20813144
39,2,21169361
40,2,21170982
41,2,22706149
42,2,24120101
43,2,25011282
44,1,25172071
45,0,25985101
46,0,28447401
47,0,28503983
48,1,29768346
49,2,31918568
50,2,32329635
51,0,33565629
52,0,36706631
53,0,40006007
54,2,40336831
55,2,40492110
56,2,40662895
57,0,41014581
58,2,41739276
59,0,43035844
60,2,43604551
61,2,44042035
62,0,46338830
63,1,46588596
64,0,46729668
65,2,47806114
66,2,50075857
67,1,50357859
68,2,51589548
69,2,52622490
70,1,53565498
71,1,53728450
72,1,54138753
73,2,54378808
74,2,55205528
75,2,55553883
76,0,56959801
77,0,57179077
78,2,58137438
79,1,58160802
80,2,58411932
81,2,58695759
82,1,58703747
83,0,59332963
84,2,60170239
85,2,62816585
86,2,63441191
87,2,65318844
88,2,67094998
89,2,68328479
90,0,68743478
91,0,69428223
92,0,69507785
93,2,70015190
94,2,70502936
95,1,71047296
96,2,71203123
97,1,71467620
98,1,71935466
99,2,71938326
100,1,74755835
101,2,74972323
102,0,76740660
103,2,78957041
104,2,78988376
105,1,80158480
106,1,80485249
107,2,81592608
108,0,81646748
109,0,83299428
110,2,86755241
111,2,86801800
112,1,87439673
113,1,87963729
114,0,88436259
115,2,88535078
116,2,88764741
117,1,88863158
118,0,90758298
119,2,91545656
120,0,91719485
121,0,92510643
122,1,93176587
123,2,93437373
124,1,95009897
125,0,96253731
126,0,96546018
127,2,96945610
128,2,97142861
129,2,97177573
130,2,97503862
131,0,97786363
132,1,97829843
133,1,97831779
134,2,98983029
135,0,100130379
136,1,100870859
137,0,101445986
138,0,101674079
139,2,102007966
140,2,102737161
141,1,103427061
142,1,104812708
143,2,105325852
144,1,105725218
145,2,107173026
146,1,107354437
147,0,107729536
148,1,110239474
149,0,110478062
150,0,110939312
151,2,111042958
152,0,113458087
153,2,113560173
154,2,113862652
155,0,115425813
156,2,115712820
157,0,115721987
158,0,118703084
159,0,119642554
160,1,122612577
161,1,123735533
162,1,125240238
163,2,125486171
164,0,125921465
165,1,126173355
166,0,128103837
167,0,128186631
168,2,128392971
169,1,128416736
170,1,129675004
171,0,129748524
172,2,129797760
173,2,130587694
174,2,130893922
175,0,131654911
176,0,132294795
177,1,132355067
178,1,132552234
179,0,132843753
180,0,133172313
181,2,133458218
182,0,134231858
183,2,134409628
184,1,135257662
185,2,135539478
186,0,135918921
187,0,136270975
188,2,136303867
189,1,136463597
190,1,136769088
191,1,138455227
192,0,138541756
193,1,138736017
194,0,138908306
195,2,139423353
196,1,139501174
197,1,140063823
198,2,140468724
199,2,140829259
200,0,141061672
201,1,143049591
202,0,143897902
203,2,144076563
204,2,144242689
205,2,144947930
206,1,145867759
207,0,147801196
208,0,149057233
209,2,149272022
210,1,149284504
211,1,150000620
212,0,150026238
213,1,150438948
214,0,153265787
215,2,154941662
216,0,155002547
217,1,155642293
218,2,155642812
219,2,155662115
220,2,157004991
221,2,157030820
222,2,157203187
223,1,157263744
224,0,157368268
225,1,158401710
226,1,158479134
227,1,159630515
228,0,160438254
229,2,162249930
230,2,162766883
231,1,162894061
232,2,162980675
233,0,163395113
234,1,164214057
235,0,164383706
236,0,164799779
237,1,164912929
238,2,164914911
239,0,165620062
240,0,166358760
241,2,166571612
242,2,166591577
243,0,167588119
244,1,167998181
245,0,169429404
246,0,171982192
247,0,172145871
248,1,172648176
249,2,172842034
250,0,173150122
251,2,173512856
252,0,174687947
253,2,175293393
254,2,175930529
255,2,175930974
256,1,176156527
257,0,176685430
258,0,176925106
259,2,177030456
260,1,178070975
261,0,178306682
262,0,179075129
263,2,179271671
264,0,180966539
265,0,181768851
266,0,183853429
267,1,184076035
268,0,185392917
269,2,186517610
270,2,186555526
271,2,186995804
272,1,188428768
273,2,188856324
274,2,189766717
275,2,190373896
276,0,190373996
277,2,191357619
278,0,192117095
279,2,192555008
280,0,192921930
281,2,193266418
282,1,193555698
283,2,199664477
284,0,200117003
285,0,200469883
286,2,201243240
287,2,201275512
288,0,201343000
289,0,201808064
290,1,203975305
291,2,205060226
292,0,205804461
293,1,209442689
294,1,209794864
295,0,210577219
296,2,211808982
297,0,212092476
298,0,212096908
299,2,212358614
300,0,212528422
301,0,213309846
302,0,214617010
303,0,215205531
304,0,216537610
305,2,216689868
306,2,217137475
307,0,217999123
308,0,218749809
309,1,219224047
310,2,219931105
311,0,220756894
312,0,220805050
313,0,221710861
314,2,221714725
315,1,223414509
316,0,224105113
317,0,224312240
318,0,224963662
319,2,226563823
320,1,226589491
321,0,226795402
322,1,226951475
323,0,229149158
324,2,229163050
325,0,229650468
326,2,231383695
327,1,231428336
328,0,231504311
329,0,231510213
330,2,231773594
331,0,232687880
332,0,232815470
333,2,233711945
334,2,233835922
335,1,234404332
336,2,235095729
337,0,235594834
338,0,236508652
339,0,237378156
340,0,239161395
341,2,239925240
342,1,240002903
343,0,240292121
344,0,240977431
345,1,241729728
346,1,241734576
347,2,243061481
348,1,243177121
349,2,244619107
350,1,244765450
351,1,245069189
352,1,246059288
353,2,246248694
354,1,249354353
355,0,250672370
356,1,251060311
357,0,251236763
358,1,251252421
359,0,252686143
360,1,253240219
361,2,253447381
362,0,256206904
363,2,257309887
364,2,258055938
365,0,258579492
366,0,258580016
367,1,259222012
368,2,259356177
369,2,259564058
370,2,259830827
371,1,260204099
372,2,260495716
373,0,261180768
374,1,262744664
375,2,265086160
376,1,265176791
377,0,267740848
378,1,267802974
379,1,268495826
380,0,268940472
381,0,269163153
382,0,269424331
383,0,269764596
384,2,270247648
385,2,270845176
386,2,271652245
387,0,272054398
388,0,275450332
389,2,275540108
390,2,275603087
391,0,275703694
392,1,276745274
393,2,276864549
394,0,279092988
395,2,279435034
396,0,279546422
397,2,279895155
398,1,279933957
399,0,282298635
400,2,282334133
401,0,283159567
402,0,283938189
403,2,284578908
404,0,284687873
405,1,284845439
406,0,284922285
407,1,285083979
408,0,286155396
409,0,287820303
410,1,287896616
411,2,287977494
412,0,288387490
413,2,289426551
414,1,290591145
415,0,290689377
416,2,290698536
417,2,292106986
418,2,292185061
419,0,293253632
420,0,294425208
421,0,294489727
422,2,294777995
423,2,294871601
424,0,295684642
425,2,297057615
426,0,297467105
427,2,297851940
428,0,298450989
429,0,298693297
430,1,299115601
431,0,299462291
432,2,299524602
433,2,299581381
434,1,299835130
435,0,299909412
436,0,300258579
437,1,300296623
438,2,300565013
439,1,301185042
440,0,302045950
441,0,302070441
442,2,302582944
443,2,303058833
444,0,303178266
445,1,304447070
446,2,306142167
447,2,307199905
448,1,307400480
449,0,309057926
450,2,309625115
451,1,310155986
452,2,310633724
453,0,310967349
454,1,311061902
455,2,311305130
456,2,312774968
457,2,313128161
458,0,313826746
459,1,313882325
460,0,314215094
461,0,314484432
462,1,316231062
463,2,318735384
464,1,318747313
465,0,319176494
466,2,319644218
467,1,319658878
468,2,321237282
469,2,321843982
470,0,322308445
471,0,322577218
472,0,323284682
473,0,323741551
474,1,325021377
475,0,325571152
476,0,326273813
477,2,328041113
478,2,329236662
479,0,329790296
480,0,330120424
481,1,332945244
482,2,333103231
483,2,333834835
484,0,333990170
485,0,334086101
486,0,335674031
487,2,336559052
488,1,336559100
489,2,336559112
490,2,336559170
491,1,337619773
492,2,340742942
493,2,341511997
494,2,342569652
495,0,343683622
496,1,344401112
497,2,345770881
498,0,345993728
499,0,346428339
500,2,347047146
501,2,347132050
502,2,348465100
503,0,348639927
504,1,348769214
505,1,349210596
506,2,349222673
507,2,349540902
508,2,351448137
509,2,352461625
510,2,352985672
511,0,354029229
512,0,354444924
513,0,355662189
514,2,355749815
515,2,356584434
516,1,358058892
517,1,358206084
518,0,358949394
519,0,359286491
520,2,359347235
521,0,360776618
522,1,361212387
523,2,362841417
524,2,364194377
525,0,366265764
526,1,367517011
527,1,367597973
528,1,368621278
529,0,368659793
530,1,368800920
531,2,369151109
532,2,369207468
533,1,369208245
534,2,369901623
535,2,373613818
536,2,374092715
537,2,374441265
538,2,374621591
539,2,376302823
540,0,376624802
541,0,378745811
542,1,379059289
543,2,379451155
544,2,380081312
545,1,380123390
546,2,381110698
547,0,381497050
548,1,381888927
549,1,381940504
550,2,382107908
551,0,382228206
552,2,383594008
553,2,384160165
554,2,385781448
555,0,386114878
556,1,387142726
557,2,387149445
558,2,387149990
559,0,387647584
560,1,388969588
561,0,389081410
562,2,390863413
563,2,391131096
564,2,392514557
565,0,392830435
566,2,394534753
567,2,394905177
568,2,395297785
569,0,395612872
570,2,395614090
571,1,396192786
572,2,396317024
573,2,397708293
574,2,398010594
575,0,398328089
576,0,398866589
577,2,401800685
578,0,402328768
579,0,405023683
580,0,405594439
581,0,405701699
582,1,405864930
583,1,406700137
584,2,408652468
585,1,409028837
586,0,409253971
587,1,409662504
588,0,410061315
589,0,410579491
590,2,410747681
591,1,410763452
592,0,410839397
593,1,411659953
594,0,412760532
595,1,413929664
596,1,414964377
597,1,414975366
598,1,414976306
599,1,415005050
600,1,415509539
601,2,416336657
602,2,416608315
603,2,416724209
604,2,417006693
605,2,417097619
606,0,417142304
607,2,417389400
608,0,417996261
609,1,418376519
610,2,419028115
611,1,420352572
612,2,420796989
613,1,422054802
614,0,422427812
615,2,422471360
616,0,423459755
617,1,429016239
618,1,430644569
619,2,435056372
620,0,436955937
621,0,437974670
622,2,438759413
623,1,438792196
624,0,438914455
625,2,440327299
626,2,440574235
627,2,443173235
628,2,443414810
629,1,443417241
630,2,445631520
631,2,446501061
632,2,446754513
633,1,448116634
