,cat,id
0,1,2165803
1,1,2928250
2,3,4017916
3,0,4041008
4,1,5493608
5,1,6562346
6,1,7177249
7,1,7177999
8,0,8239392
9,3,9148810
10,0,9713109
11,0,10830829
12,3,11339908
13,3,12754011
14,1,13343874
15,1,13477674
16,1,14323215
17,1,17115603
18,0,17462477
19,3,19345425
20,1,19716934
21,0,20141491
22,0,20173092
23,3,20383328
24,0,20525888
25,0,21270064
26,1,21747565
27,1,22348151
28,2,23342827
29,0,24675531
30,1,24723389
31,0,27159020
32,3,27484012
33,1,31366000
34,1,35395553
35,3,35851185
36,1,35917099
37,1,36467203
38,1,37687242
39,0,38373022
40,3,38662731
41,3,40750932
42,3,40751185
43,1,40805897
44,1,41156387
45,0,42435676
46,1,45468397
47,0,45991564
48,2,46110368
49,3,46769295
50,2,47609460
51,0,48279443
52,3,48944128
53,3,49222996
54,1,49346315
55,0,50000061
56,3,50316649
57,1,51213571
58,3,51487130
59,3,53169213
60,3,53757595
61,0,54687287
62,3,55480887
63,3,56103133
64,0,56229380
65,3,56541278
66,3,57722685
67,3,58542257
68,0,58677487
69,0,60124010
70,3,60644262
71,3,60845622
72,0,62953406
73,3,63564322
74,1,64432013
75,0,65263005
76,1,65802541
77,0,66252431
78,3,67468135
79,3,68855529
80,3,68901880
81,3,68938314
82,2,69337626
83,2,69695186
84,2,69696424
85,2,69697101
86,0,70207678
87,1,71260089
88,0,71947739
89,3,72242127
90,0,72307351
91,3,73679280
92,1,74535609
93,1,74991258
94,3,75610907
95,3,75698358
96,0,75860619
97,0,76088294
98,1,76748335
99,0,77836877
100,2,77837374
101,0,78057155
102,0,78342920
103,1,78391113
104,0,79300529
105,0,79375088
106,0,79375143
107,2,80492477
108,1,80567837
109,3,80960113
110,0,81304181
111,2,81556044
112,0,84273705
113,0,84361565
114,0,84622671
115,1,84670161
116,1,84919983
117,2,86631465
118,3,88349334
119,0,90340302
120,3,91611242
121,0,91769782
122,3,92751380
123,1,93780303
124,2,93878900
125,0,94390125
126,0,94747872
127,0,96949747
128,3,97088522
129,0,97286124
130,3,97534974
131,3,97826656
132,1,97859519
133,0,97899523
134,0,98332835
135,0,98336625
136,2,98336664
137,2,98336910
138,1,98666328
139,1,99042345
140,0,99055701
141,0,99117763
142,0,99596277
143,1,100589894
144,1,100674717
145,0,100760919
146,3,101390870
147,1,102936107
148,1,103000657
149,2,103695030
150,1,104051626
151,1,104070587
152,2,104855286
153,0,105781667
154,2,106937126
155,1,107230606
