,cat,id
0,1,1275665
1,0,1715800
2,1,2014639
3,1,4657791
4,0,5138788
5,1,6815322
6,1,6956659
7,1,7643118
8,0,7693947
9,1,8190476
10,0,8244588
11,1,9042088
12,1,9985151
13,1,10877184
14,1,11410078
15,0,11763742
16,0,11764203
17,1,12469820
18,0,14093041
19,0,14818261
20,1,15358283
21,1,15930556
22,1,17038027
23,1,18916987
24,0,19507261
25,0,20090786
26,1,21901234
27,1,22768940
28,1,22791126
29,1,23311321
30,1,23399135
31,1,23417588
32,1,24483598
33,0,25615570
34,0,26623826
35,1,26705009
36,1,28029215
37,1,29093211
38,1,29499859
39,1,30060089
40,1,30450401
41,0,30839732
42,0,32631696
43,0,33639527
44,1,35351262
45,1,35351988
46,1,35852715
47,1,35852812
48,0,37972045
49,0,38484901
50,1,40424083
51,1,41339040
52,1,41412075
53,0,42217430
54,1,42716404
55,0,42857817
56,0,42857965
57,1,43175955
58,1,43580241
59,1,43978624
60,1,44510928
61,1,48396551
62,0,48807582
63,1,49347474
64,1,49606871
65,0,50656641
66,1,50880087
67,1,50933999
68,1,51481161
69,0,52738337
70,1,52766299
71,1,53544743
72,0,53575439
73,0,53730439
74,1,53749671
75,0,54495649
76,1,55275045
77,1,56561467
78,1,56630732
79,1,58003243
80,0,58034822
81,1,60772793
82,0,62625726
83,1,62880881
84,0,64341886
85,1,64731422
86,0,66332768
87,1,66409389
88,0,67953162
89,0,68721954
90,0,70404825
91,0,70407934
92,0,70408007
93,1,70606973
94,0,70889041
95,0,71605238
96,0,72963118
97,0,74629089
98,0,75743679
99,1,76401711
100,0,79037696
101,0,79419893
102,1,79970711
103,1,81277883
104,1,81514423
105,1,81534201
106,1,81829478
107,0,81837586
108,1,81917471
109,0,85343656
110,1,85843493
111,0,86322344
112,1,88066379
113,1,88741343
114,0,89219638
115,1,89643510
116,0,90131135
117,1,90286045
118,0,90525190
119,1,91117116
120,0,91422647
121,1,92872476
122,1,93565600
123,1,93921963
124,0,94292140
125,1,95903547
126,1,96366464
127,1,97705251
128,0,98018875
129,1,98157251
130,1,98210172
131,1,98840859
132,1,99306290
133,0,100765541
134,1,100863860
135,0,101403525
136,0,104055264
137,0,104326972
138,1,104423933
139,1,104866408
140,0,105281463
141,0,105281489
142,1,105417994
143,0,105597903
144,1,109141150
145,1,110041336
146,1,110618418
147,0,110784503
148,0,110784646
149,1,111169149
150,1,112412092
151,0,113036586
152,1,117273751
153,1,117745286
154,1,118145172
155,1,118792331
156,0,118919551
157,0,119076730
158,1,119411349
159,0,119465388
160,0,119710916
161,1,120398191
162,0,120832669
163,1,121282933
164,1,122123943
165,1,122499793
166,0,123622009
167,0,125056942
168,1,125057776
169,1,125897567
170,0,125910017
171,0,128166305
172,0,128769426
173,1,129719811
174,0,131274447
175,1,131493021
176,1,131775121
177,0,132137283
178,1,132888879
179,1,134206225
180,0,134283526
181,0,134493998
182,1,135091105
183,0,135658463
184,0,135659575
185,0,136119541
186,0,136422687
187,1,136499396
188,1,136956595
189,1,136993234
190,1,137737919
191,0,138148650
192,0,138897754
193,0,139187956
194,1,139356166
195,1,140277313
196,1,141411240
197,1,141596210
198,1,142723621
199,1,144141487
200,0,144367390
201,1,144591555
202,1,144591566
203,1,145773487
204,0,145773733
205,1,146167569
206,1,147997250
207,1,148609478
208,1,149065808
209,1,150184120
210,1,151111467
211,1,151170323
212,1,151430020
213,1,152062119
214,1,152145840
215,0,153373366
216,1,154690331
217,0,154816606
218,0,154984045
219,1,155164087
220,0,155452442
221,0,155453161
222,0,156686368
223,1,156875037
224,1,157779092
225,1,157898320
226,0,158469619
227,0,159242509
228,0,159248013
