,cat,id
0,0,1008603
1,3,1679440
2,2,1984791
3,0,3652362
4,1,4039636
5,2,4565992
6,1,5025839
7,2,5208165
8,2,5362005
9,3,5572440
10,3,9278565
11,2,9883900
12,0,10051880
13,3,11137538
14,3,11710396
15,1,12213206
16,2,15884371
17,0,16452421
18,3,16789849
19,2,18086226
20,3,18133606
21,2,18401965
22,1,18529775
23,1,19097968
24,0,19635138
25,0,19969681
26,2,20843686
27,2,21715954
28,2,23952790
29,0,24404098
30,2,24709619
31,2,25576431
32,3,26040072
33,0,27974702
34,3,29215239
35,2,32390605
36,0,33965150
37,1,34143378
38,0,34918802
39,1,35531663
40,1,35733396
41,0,35783608
42,3,36208633
43,2,36514495
44,3,37268001
45,0,40398928
46,3,40549695
47,0,41108411
48,1,43904725
49,0,44349521
50,0,44359823
51,3,45019113
52,3,45019293
53,0,45929741
54,0,46381434
55,1,46570247
56,1,46628353
57,2,46995223
58,1,47823423
59,2,49630904
60,3,50839518
61,3,52061755
62,2,54497554
63,0,56193179
64,1,56416788
65,3,56592404
66,2,57196944
67,2,57213584
68,0,57287902
69,2,57454645
70,0,58017364
71,0,59504292
72,3,59563244
73,2,59667722
74,2,59985310
75,3,60393908
76,3,62248026
77,3,62488046
78,3,65158411
79,3,65650423
80,1,66194750
81,2,67788252
82,3,67947775
83,0,69997833
84,0,70296415
85,2,70601860
86,3,70732070
87,1,71063852
88,2,73034984
89,2,73086559
90,2,73211572
91,2,74583039
92,2,75388572
93,2,75596927
94,2,75607917
95,2,75613402
96,2,76552213
97,2,77328815
98,3,77798583
99,2,79844903
100,3,80003791
101,2,80031983
102,0,80873785
103,3,82338215
104,0,82526514
105,2,82974997
106,0,83089108
107,2,83206687
108,2,84075327
109,2,84840210
110,2,84858894
111,0,85154853
112,0,85423046
113,1,87790133
114,1,88090343
115,3,88203078
116,2,88307829
117,1,89184051
118,2,89517895
119,3,89528948
120,2,90773128
121,2,92007945
122,0,93746276
123,0,94083650
124,1,94117307
125,3,94130293
126,0,94224051
127,2,94641959
128,1,95937837
129,0,97707329
130,1,98368616
131,2,98844635
132,1,99948378
133,0,100285376
134,1,101647803
135,1,102411012
136,2,103335087
137,3,103364151
138,0,104714553
139,0,105605060
140,2,106443280
