,cat,id
0,0,1114456
1,1,1152547
2,0,2373493
3,1,3990959
4,0,4297204
5,1,6161977
6,1,6606598
7,0,6953762
8,0,7021247
9,2,7058734
10,1,7634436
11,1,8508360
12,1,8509244
13,1,8601049
14,1,10425516
15,1,11324539
16,0,11772155
17,2,12174359
18,1,12438745
19,1,13237320
20,1,13554319
21,1,14111208
22,2,14621869
23,0,14877972
24,0,14878565
25,1,15735569
26,1,18313129
27,1,18343575
28,2,19539839
29,2,20213578
30,1,20632852
31,0,20762100
32,1,21039988
33,2,21040387
34,2,21119195
35,2,21120056
36,1,21775896
37,1,22682748
38,1,22813024
39,0,23397649
40,0,24504712
41,2,24601910
42,1,25532794
43,1,28308277
44,1,28354663
45,1,31483268
46,1,33793873
47,2,34426741
48,1,34697322
49,1,34715933
50,0,35930646
51,0,38013174
52,0,38676098
53,1,38994791
54,1,39027142
55,1,41162130
56,1,41173865
57,0,41446669
58,1,41629398
59,1,42945978
60,1,43413839
61,0,44371766
62,0,45401148
63,0,45907604
64,2,46051092
65,0,46474203
66,1,47026260
67,0,47543606
68,1,47610202
69,0,48385782
70,2,48482876
71,0,49533279
72,1,49554745
73,2,50201577
74,0,50419293
75,1,50841068
76,0,51740914
77,0,52696838
78,2,53522854
79,1,54717246
80,0,55289218
81,0,56020783
82,1,56270617
83,2,57167021
84,2,58024161
85,0,58416329
86,1,58473016
87,2,58890957
88,1,59031009
89,1,59065706
90,2,62996857
91,2,63435878
92,1,64792476
93,0,65448485
94,1,66555788
95,1,67292923
96,1,68035333
97,2,69546400
98,2,71733180
99,1,71757394
100,0,71924560
101,0,72723363
102,1,72934582
103,1,72934714
104,1,72935203
105,1,72935335
106,2,75019129
107,1,76248820
108,1,76820741
109,1,77129841
110,0,77404086
111,1,77823541
112,2,78245669
113,1,79147874
114,1,79570778
115,1,79619090
116,0,79820990
117,0,79904423
118,2,80268318
119,1,80354812
120,1,80443136
121,2,81317702
122,0,81956387
123,0,82862368
124,1,82924145
125,0,83255072
126,1,83376911
127,0,83711903
128,0,84605729
129,0,85768416
130,0,85939070
131,0,86543334
132,0,86565852
133,1,88481223
134,2,89502421
135,0,89982327
136,1,91937509
137,1,92217140
138,0,92284056
139,1,93512714
140,1,93541401
141,0,93957737
142,1,96457449
143,0,97735650
144,1,100656665
145,1,101685568
146,1,101685858
147,0,102600833
148,0,104516532
149,1,104954692
150,1,104966663
151,1,105097311
152,2,106607775
153,0,106744112
154,2,106800360
155,0,107375429
156,2,107855659
157,1,109679370
158,1,109838302
159,1,109946359
160,1,110858092
161,2,112292125
162,1,112380037
163,1,113019135
164,2,113735735
165,1,113844873
166,1,113860565
167,1,113937440
168,2,114549160
169,0,115560467
170,2,116100198
171,2,116131945
172,0,116269910
173,2,117044227
174,2,117733211
175,2,117733394
176,0,118024673
177,0,119551642
178,0,119792819
179,0,120138101
180,1,120509420
181,1,121198345
182,1,121662030
183,1,123005430
184,1,124571480
185,0,125831858
186,1,125971380
187,2,126359457
188,1,126558283
189,0,128942750
190,1,129731946
191,0,129880547
192,0,130421920
193,2,130798535
194,0,132856291
195,1,132922344
196,1,132986180
197,1,133135651
198,1,133241244
199,2,134405244
200,0,134449609
201,0,135579823
202,2,136659824
203,1,137484252
204,1,137484317
205,1,137729729
206,1,138300360
207,0,139285742
208,2,139817617
209,1,139915747
210,1,140070445
211,0,140438741
212,2,141212419
213,1,141766789
214,1,142465135
215,0,143900008
216,0,143945568
217,0,144484948
218,0,144617310
219,1,144714154
220,0,145906929
221,1,146754559
222,1,147619003
223,0,148011637
224,0,148885742
225,2,149733694
226,0,149843107
227,0,149883501
228,2,150915654
229,1,151192846
230,0,151872715
231,1,151971904
232,2,153399827
233,0,153725833
234,0,156148400
235,0,156724130
236,1,157409376
237,2,158155973
238,1,158321065
239,0,158925831
240,1,159599539
241,2,159875388
242,2,160098625
243,0,160466733
244,2,161995360
245,1,162681718
246,1,163130771
247,1,163554534
248,1,164230190
249,1,164781081
250,1,169416635
251,0,169552534
252,1,170015996
253,1,170408078
254,1,170456497
255,1,170628546
256,1,171091849
257,1,172415362
258,0,173772140
259,1,175302739
260,1,175340470
261,1,175843513
262,0,176526521
263,0,177017770
264,1,177368916
265,1,178552317
266,0,179527207
267,0,180222865
268,0,181338574
269,0,181688838
270,2,182654159
271,0,183125031
272,0,184246076
273,0,184931474
274,2,185120294
275,2,186708148
276,2,186885975
277,1,187236013
278,1,188672284
