,cat,id
0,2,689196
1,1,1400647
2,0,2406802
3,1,2619684
4,0,3807611
5,1,5023458
6,2,5596512
7,1,5623308
8,0,7427152
9,0,9413651
10,2,9645581
11,1,10876517
12,1,10982900
13,1,11879845
14,1,12321999
15,2,12491235
16,0,14016505
17,1,15636925
18,0,15741866
19,1,17804433
20,1,18389247
21,1,18520002
22,1,18520167
23,1,18550540
24,0,18647108
25,1,20539134
26,2,20887572
27,1,20953591
28,0,21923973
29,0,23173476
30,2,23238494
31,1,28405689
32,1,28486223
33,0,32168296
34,1,35712270
35,2,36575565
36,0,36749163
37,0,37811951
38,2,39091543
39,1,40669285
40,1,40987317
41,1,43088584
42,1,43163360
43,0,43728086
44,2,44048198
45,0,44979724
46,1,46813679
47,2,46976800
48,2,46976813
49,1,47267672
50,2,47931341
51,1,48825205
52,0,50012446
53,0,50129721
54,1,50850680
55,1,50982257
56,1,51470278
57,1,51944178
58,0,53099147
59,0,53112691
60,0,54563516
61,1,54986437
62,0,57793863
63,0,59536975
64,2,60707849
65,2,60707885
66,2,61133366
67,0,62278852
68,2,63394502
69,0,63394588
70,1,64163922
71,1,64165621
72,1,64165715
73,1,65157933
74,0,66939170
75,1,68031012
76,0,69632042
77,1,69877081
78,2,70872405
79,1,72472233
80,0,74778009
81,0,74782168
82,2,74987835
83,1,75453782
84,1,76250677
85,1,76252833
86,1,76627657
87,1,76634704
88,1,77831293
89,1,78614464
90,1,78879563
91,0,78944250
92,2,80281751
93,1,80356267
94,0,80457941
95,1,81166011
96,2,81266090
97,1,81371304
98,1,81386109
99,0,81650536
100,2,82893947
101,2,83744004
102,0,84591270
103,2,84829867
104,0,85088548
105,1,85817221
106,0,86275820
107,0,87043264
108,1,88806016
109,1,88806026
110,0,89987702
111,1,90526093
112,0,90679325
113,0,93733368
114,1,93885597
115,1,95947933
116,1,96104427
117,0,96374706
118,0,98069009
119,0,100339952
120,1,103914590
121,0,106677202
122,2,106834308
123,1,107848399
124,2,109480465
125,1,109582973
126,2,110013197
127,0,110062475
128,0,110865270
129,0,111093735
130,2,111796904
