,cat,id
0,2,195109
1,1,380093
2,1,705571
3,2,790556
4,1,1261763
5,0,1499825
6,1,1520823
7,2,1662830
8,2,1851695
9,0,2021909
10,0,2180395
11,2,2451564
12,2,2451863
13,2,3434187
14,2,5513843
15,2,5544841
16,1,5618425
17,1,6041887
18,0,6240450
19,2,6244873
20,2,9069867
21,1,9298408
22,2,9938225
23,1,10923439
24,1,11157113
25,2,11218371
26,0,11841691
27,2,11931428
28,2,12098460
29,2,12944672
30,1,14353281
31,2,14778673
32,1,14839963
33,2,14843752
34,2,15365600
35,0,18594191
36,2,18742521
37,1,20213081
38,1,20498421
39,2,20582538
40,0,21465422
41,1,21983285
42,2,22241056
43,2,22248204
44,1,22502548
45,1,24041948
46,1,24381344
47,2,26081559
48,0,26818212
49,2,27354677
50,2,27681615
51,0,28139060
52,1,28283546
53,1,28438271
54,0,29675877
55,1,30963125
56,2,33497544
57,0,33497586
58,2,33558190
59,0,33802261
60,2,34107137
61,1,34108303
62,1,34204946
63,2,34630946
64,2,34719473
65,2,36190162
66,1,37335256
67,2,37722280
68,1,38225161
69,2,38543394
70,0,39331781
71,1,39684352
72,1,39962476
73,0,40387506
74,2,41772313
75,0,43003704
76,2,43569587
77,2,44420283
78,2,44429187
79,2,44633600
80,2,44862097
81,0,45513580
82,2,47587999
83,2,49047905
84,2,50356209
85,1,50520257
86,0,50791741
87,0,53075409
88,1,53124129
89,2,53248739
90,2,54509025
91,0,54742916
92,2,56793752
93,1,57234971
94,1,58726964
95,2,59238613
96,1,59309765
97,1,59309779
98,2,61642913
99,2,62383872
100,0,64582932
101,1,64650433
102,2,66322705
103,1,66361363
104,2,66572165
105,1,67788387
106,2,68032542
107,2,71194054
108,2,72690064
109,2,73118709
110,1,73411293
111,1,73659252
112,2,73710034
113,2,76225184
114,2,76732319
115,0,77530025
116,1,77779120
117,2,78176587
118,1,78606741
119,2,78775224
120,1,79286878
121,1,79286948
122,2,79378004
123,2,79855979
124,1,79924258
125,1,80607024
126,2,80613818
127,0,80881402
128,1,81588895
129,2,81976434
130,0,82116545
131,0,82534139
132,2,82910127
133,2,83465808
134,2,84545946
135,0,84748238
136,2,84912445
137,1,85334482
138,1,85690208
139,0,86093776
140,1,86142362
141,2,86762747
142,2,86983690
143,2,87409582
144,2,88316615
145,2,88472960
146,2,89211314
147,2,89458369
148,2,89614233
149,1,91860266
150,2,91942009
151,0,92096861
152,1,93386163
153,2,93478275
154,2,95324792
155,2,95749761
156,2,96308274
157,0,99522824
158,2,99878195
159,2,99904202
160,1,100720973
161,0,101266042
162,1,101623815
163,2,101960858
164,1,101975999
165,1,101976008
166,0,103727818
167,1,104837698
168,2,106765009
169,1,107315173
170,2,107329527
171,0,107507916
172,2,108154153
173,1,108182476
174,0,108539916
175,0,108752387
176,1,108864245
177,1,109459159
178,1,110485202
179,1,111783909
180,1,111866869
181,1,111870749
182,1,111871768
183,1,111880999
184,1,111881609
185,1,111883496
186,2,111905768
187,2,111906764
188,0,114255626
189,2,115699063
190,1,116449558
191,0,116750153
192,2,117214469
193,2,118287371
194,1,118309384
195,2,118442301
196,2,118941797
197,1,122222734
198,2,122487878
199,2,122872092
200,2,125509149
201,1,125529424
202,2,125986025
203,1,127778522
204,1,127778877
205,2,128038888
206,2,129199207
207,2,129324111
208,2,130081204
209,2,130082289
210,1,130916136
211,1,130916304
212,0,131217854
213,2,131354403
214,2,131746124
215,0,132697123
216,2,132793521
217,1,136118915
218,0,136183935
219,1,136511068
220,1,136590900
221,2,136679002
222,2,136943533
223,2,138158553
224,1,138158574
225,2,138442945
226,2,138856972
227,2,139218238
228,2,139362611
229,1,139708741
230,1,139708800
231,1,139709002
232,2,139709206
233,2,140383670
234,2,140913791
235,2,141460508
236,2,142778521
237,2,144046959
238,1,144186715
239,0,147353332
240,0,148032688
241,1,148595579
242,2,148739056
243,1,148797927
244,0,150289468
245,2,150693143
246,0,150721867
247,0,151449386
248,2,151766107
249,2,151768460
250,1,152784139
251,2,153382981
252,0,153594743
253,2,153724524
254,2,153725904
255,2,154223608
256,1,154617046
257,2,156665627
258,1,156795224
259,1,157211263
260,2,160798113
261,1,161770530
262,0,163475908
263,2,164525655
264,2,164982538
265,1,165471183
266,2,165996106
267,2,168257584
268,0,169945395
269,2,170993226
270,2,172114058
271,2,172339410
272,2,172534470
273,2,172641889
274,2,172641956
275,0,172823946
276,2,174947323
277,0,175754062
278,2,176289507
279,2,176731563
280,2,177114863
281,2,177241043
282,1,177996463
283,2,178115786
284,2,179507139
285,2,179507996
286,2,180905574
287,2,182528563
288,0,184616081
289,2,185118016
290,1,185142665
291,1,185491345
292,2,185525487
293,2,187387765
294,1,187744313
295,2,188001775
296,2,192626704
297,1,197811125
298,2,197941728
299,2,199231454
300,2,199841066
301,2,199941751
302,2,201151814
303,2,201378549
304,0,201964851
305,1,204852401
306,1,205704913
307,2,207321491
308,2,207362493
309,2,208009533
310,2,208109024
311,2,208585488
312,1,209695438
313,1,209697594
314,2,209753887
315,1,210584642
316,0,210828623
317,0,211432098
318,2,211934894
319,1,211993256
320,1,212252910
321,2,212602134
322,2,214043350
323,1,215059450
324,1,215822694
325,2,216118620
326,2,216118657
327,1,216119695
328,2,216304970
329,2,216571129
330,1,216763328
331,2,217332150
332,2,218081272
333,2,218684606
334,0,219102839
335,0,219446395
336,1,219835080
337,1,220429224
338,2,220545737
339,2,221692813
340,2,223455672
341,2,224055528
342,2,226008522
343,1,226346335
344,2,227733572
345,2,228159423
346,0,228232946
347,2,228261441
348,1,228584007
349,1,229830718
350,2,230230854
351,1,230315412
352,2,230320352
353,0,230510509
354,1,233050785
355,2,233459002
356,0,234533261
357,0,235817616
358,0,235841048
359,0,235923797
360,1,236562396
361,2,237011027
362,1,237251220
363,1,238459761
364,2,239430039
365,1,239954179
366,1,240051395
367,1,240619774
368,2,240932923
369,0,241176777
370,1,242249713
371,2,242680945
372,0,243532205
373,2,243921181
374,1,244465333
375,2,245048686
376,2,245284663
377,1,247297923
378,2,247355636
379,0,247911806
380,2,250893814
381,2,250895073
382,2,251560368
383,0,252840794
384,2,252916352
385,2,253450971
386,0,253450975
387,1,253450981
388,1,253515510
389,2,253810367
390,2,255109562
391,0,255367045
392,0,256612292
393,2,257132052
394,2,257162071
395,1,261785899
396,1,262340064
397,1,263580041
398,2,263580829
399,1,263703240
400,2,263777344
401,0,263778710
402,2,264394286
403,1,264758947
404,2,265196048
405,2,268031169
406,2,268206275
407,1,268307398
408,0,268328209
409,0,268345043
410,0,268347904
411,1,268418628
412,2,268449205
413,2,268595788
414,0,269901449
415,2,270388611
416,1,270962306
417,2,271219197
418,2,273008308
419,2,273377289
420,2,275870857
421,0,276484523
422,2,276514266
423,2,276640117
424,2,276920621
425,0,277216555
426,1,278953537
427,0,279159737
428,2,279316261
429,2,279376252
430,2,279619809
431,0,279894260
432,1,280134154
433,2,281324861
434,2,282022518
435,2,282316876
436,0,283036572
437,0,283036630
438,0,283375927
439,2,285144262
440,1,285871099
441,2,285884117
442,2,286250665
443,1,286747751
444,0,288798968
445,2,288799223
446,0,289267606
447,0,291825340
448,2,292319053
449,1,292766363
450,0,294093025
451,1,294921837
452,2,294963184
453,1,294965217
454,1,294965304
455,2,294965647
456,0,295822412
457,1,296408523
458,2,297161383
459,0,297799187
460,2,298039871
461,1,299023189
462,2,299380868
463,0,300043586
464,0,300044846
465,2,300350944
466,2,302251347
467,0,302285455
468,1,302695167
469,0,303021139
470,1,303540829
471,2,304110118
472,2,304562633
473,2,304658706
474,1,305548131
475,0,305689010
476,2,306773351
477,2,306958623
478,1,308567802
479,2,310049076
480,1,311677679
481,2,313565961
482,1,314468972
483,2,314882668
484,1,315134532
485,2,315432276
486,2,316269430
487,2,316761976
488,2,318814574
489,0,319417009
490,2,319689567
491,0,319939029
492,2,320155322
493,0,321865981
494,2,321866406
495,2,322064849
496,1,322302613
497,1,322565016
498,1,322643669
499,2,323178496
500,2,323634174
501,2,324932024
502,2,325074834
503,1,325737375
504,1,326406576
505,2,328378180
506,2,329762380
507,2,330422194
508,2,331496090
509,2,332971952
510,1,332972104
511,1,333140546
512,2,334450007
513,1,335044153
514,2,336231891
515,2,336600577
516,0,336953860
517,2,337399464
518,2,337693065
519,1,337972786
520,2,338727817
521,0,338844454
522,0,339933817
523,1,340362032
524,1,341009549
525,0,341545704
526,0,341950312
527,1,342025776
528,2,342369831
529,1,345976257
530,2,346398229
531,2,346442589
532,1,346478224
533,1,348076087
534,2,349391314
535,2,349392731
536,2,350475649
537,0,351666053
538,2,355399564
539,2,355911352
540,1,356508653
541,2,357284184
542,2,358093079
543,1,358425019
544,2,358736693
545,2,359397253
546,1,359457313
547,0,360784063
548,1,361151627
549,2,361156452
550,2,361232994
551,2,361258887
552,2,361571881
553,0,362607474
554,1,363010454
555,0,363204231
556,0,363483668
557,2,364390458
558,1,365116741
559,2,365496278
560,0,366303174
561,1,367251554
562,1,367252714
563,2,367282071
564,1,367587378
565,2,368888143
566,2,369036540
567,2,369610839
568,0,369632146
569,2,370938784
570,1,371225382
571,2,371483301
572,2,373276824
573,2,373386871
574,2,373687251
575,2,374941561
576,1,375106386
577,2,375163751
578,1,375763401
579,2,376458243
580,1,376859607
581,1,377175488
582,2,378651860
583,2,378896862
584,1,379637176
585,2,380543534
586,2,381498072
587,2,382068352
588,2,382068508
589,2,382068524
590,1,382635998
591,2,382650136
592,0,383955847
593,2,384414954
594,2,387192790
595,2,387329255
596,2,388053089
597,1,388163017
598,2,388230788
599,2,389927196
600,2,392206355
601,2,392228503
602,2,393114569
603,1,393401436
604,0,393928473
605,2,395421090
606,0,395462211
607,2,395538880
608,2,395556649
609,1,395565779
610,0,396357335
611,2,397029601
612,0,397029623
613,2,397030280
614,0,397030734
615,1,397121554
616,1,397121584
617,2,397990918
618,2,398593755
619,1,400880098
620,1,400975046
621,2,401744120
622,2,402115466
623,2,402132583
624,1,403882336
625,2,404780633
626,2,405143376
627,2,406862848
628,2,407321056
629,2,407988433
630,2,408823965
631,0,411909665
632,2,412611486
633,2,413457159
634,2,413655560
635,2,413720239
636,1,413834674
637,1,413834829
638,1,413835196
639,1,413835203
640,2,415020764
641,2,415829262
642,1,416452305
643,2,417179954
644,2,418006718
645,2,418298767
646,2,418698320
647,1,419571114
648,1,420718557
649,1,421188009
650,2,421188466
651,1,421823476
652,2,423426591
653,2,429006559
654,2,430657171
655,2,436038703
656,2,439035762
657,2,441324313
658,2,441353222
659,2,443279398
660,2,445479513
661,2,446282033
662,2,448274131
663,2,448691302
664,2,453107025
665,1,453395818
666,2,453701821
667,2,454077374
668,2,454168679
669,1,459588954
670,0,459601653
671,2,461571103
672,2,466783270
673,1,467411193
674,0,467757151
675,1,468273937
676,0,468686181
677,1,468894566
678,2,468894900
679,1,468896499
680,2,468897928
681,0,469179948
682,1,472947544
683,0,474734184
684,0,475979557
685,0,487707618
686,1,492165497
687,2,492597665
688,2,493691971
689,2,493830657
690,1,500370591
691,2,502164921
692,2,507939435
693,2,510345487
694,1,510935546
695,0,514532968
696,2,516088277
697,2,516876184
698,2,516985339
699,2,516999307
700,2,518083888
701,2,518674510
702,2,519155469
703,2,520539808
704,2,521026096
705,2,523651780
706,0,525285302
707,2,533644028
708,1,534898814
709,2,537279879
710,1,538796068
711,2,541524316
712,1,542228621
713,2,542652237
714,2,543109188
715,2,544643460
716,2,545435717
717,2,549172421
718,2,550246836
719,2,550248149
720,2,550256019
721,2,550267651
722,2,550268777
723,2,550276793
724,2,550282405
725,2,550283215
726,2,551010448
727,1,551749440
728,2,551822140
729,2,552993543
730,2,555594621
731,1,557545079
732,2,558770707
733,0,559083970
734,2,559310441
735,2,560288203
736,2,562431026
737,1,564625917
738,1,565814259
739,2,567888635
740,2,569061087
741,2,569438687
742,1,569554505
743,1,569595691
744,1,570333788
745,2,570346038
746,2,572289269
747,2,572387747
748,2,572878208
749,2,573215396
750,2,573558870
751,1,573559281
752,2,573819810
753,2,574129885
754,2,575030641
755,1,575936674
756,1,575936693
757,0,575938022
758,0,575938406
759,1,575938663
760,0,575941321
761,1,575944964
762,2,577629575
763,2,582670987
764,2,583076294
765,2,589601099
766,2,590246601
767,2,591645639
768,2,591651040
769,0,592729170
770,2,592852892
771,1,595864628
772,2,595864689
773,2,598196179
774,0,601306037
775,1,601500889
776,1,602736254
777,2,602844616
778,0,603053456
779,2,604772361
780,0,606960804
781,1,611536105
782,2,612363367
783,2,613334219
784,0,614650680
785,2,617709551
786,0,620575019
787,2,620803252
788,1,620958293
789,2,621312460
790,2,623401919
791,2,623401974
792,2,623402192
793,2,625956619
794,2,626699294
795,2,627778225
796,1,627806159
797,1,627867315
798,2,627888764
799,1,628113454
