,cat,id
0,3,1451913
1,2,1848131
2,2,2618103
3,1,4850136
4,0,5016754
5,3,6892964
6,0,7511009
7,0,7692936
8,0,7695812
9,1,7770500
10,0,7979163
11,0,9068175
12,0,9173661
13,1,9602543
14,1,11008516
15,3,12104723
16,0,13125554
17,0,13977852
18,0,14677764
19,2,14858902
20,3,15391115
21,0,15391486
22,3,15595956
23,0,16282955
24,0,16449113
25,3,16724492
26,1,18250276
27,0,20145089
28,0,20404164
29,0,21536584
30,1,22601654
31,1,23302804
32,3,24129234
33,0,24500372
34,0,24518053
35,0,24608182
36,0,24608220
37,2,25172642
38,3,25880011
39,2,26167026
40,1,26380617
41,0,27235378
42,2,28473957
43,1,28597058
44,3,29530632
45,1,32810415
46,3,32953273
47,2,38920513
48,0,40762564
49,1,41534565
50,0,41618908
51,0,41625784
52,2,42541652
53,0,43395689
54,1,44748240
55,3,45240286
56,2,45386185
57,3,48298335
58,2,48386237
59,2,49043648
60,2,49464751
61,0,51309254
62,3,51434246
63,1,52140370
64,0,53552724
65,2,54062774
66,2,54064458
67,0,54509139
68,3,54977837
69,0,55590382
70,1,55720319
71,2,56490720
72,0,56513241
73,1,57350651
74,0,57420415
75,0,57476152
76,0,58326223
77,1,58938278
78,0,59635891
79,3,60948392
80,0,61819366
81,3,62468511
82,1,64153725
83,3,65218196
84,0,67077906
85,1,67752780
86,0,68211048
87,0,68273981
88,0,68943836
89,2,69426682
90,0,69426729
91,1,70031703
92,0,70094208
93,2,70095347
94,1,72565050
95,0,73572442
96,3,75192366
97,0,76067478
98,3,77313402
99,0,77694697
100,0,78874754
101,3,79572730
102,3,81867716
103,2,81969559
104,3,82562462
105,0,83135934
106,0,84019962
107,1,84123592
108,3,84124782
109,0,84205936
110,2,85710295
111,2,86642111
112,0,87111503
113,0,87111512
114,3,87587124
115,0,88129304
116,3,88307765
117,2,89080863
118,1,89204146
119,0,89240604
120,2,89349662
121,0,89613839
122,1,89776716
123,1,90661389
124,2,91108198
125,0,91590095
126,3,91987448
127,1,92867055
128,2,92867344
129,0,93016934
130,2,93659729
131,1,94086333
132,2,96335501
133,0,96590371
134,3,97054750
135,0,97820741
136,1,97891557
137,3,100064857
138,1,100399424
139,1,100818958
140,1,102944649
141,0,103563670
142,0,104500272
143,0,106536239
144,0,106603152
145,3,106650172
146,2,109080717
147,2,111632809
148,0,115741027
149,2,118349124
150,3,118996073
151,0,119143964
152,0,119528963
153,0,120938428
154,2,121112128
155,0,121238803
156,2,121277290
157,3,122775488
158,3,122854792
159,0,122895363
160,0,124049082
161,2,124676038
162,3,124774766
163,3,125829327
164,0,125871471
165,2,126659987
166,3,128106464
167,3,128115786
168,0,128793590
169,1,129095553
170,0,129148851
171,0,129519926
172,0,129600328
173,1,130239038
174,1,131859030
175,0,132003903
176,0,132255309
177,1,132295512
178,0,132434250
179,0,132731782
180,2,133298701
181,0,133629088
182,2,133712312
183,3,135407118
184,3,135959754
185,0,136209323
186,0,136559520
187,1,136815191
188,0,137402204
189,3,138493268
190,0,139313938
191,0,139420720
192,2,139493529
193,1,139701719
194,2,139807150
195,3,144541575
196,0,146223951
197,1,146227902
198,2,147120468
199,0,147269936
200,0,149915898
201,0,149934233
202,0,150280380
203,1,150387205
204,0,150525093
205,0,151723052
206,1,151771526
207,1,152913141
208,2,153868268
209,0,154191048
210,0,154463705
211,0,154810246
212,1,155010931
213,3,156470138
214,3,157506252
215,0,157810299
216,0,157942299
217,3,158418602
218,3,159415630
219,1,159794079
220,1,160054460
221,0,161532352
222,0,163592341
223,1,163910207
224,1,164406150
225,2,164630589
226,0,164814792
227,0,165052550
228,3,166191316
229,3,167128105
230,3,168078742
231,2,168181767
232,1,169219400
233,0,170001111
234,0,170074447
235,3,170221553
236,2,172010262
237,1,172257534
238,2,172494112
239,0,172716055
240,0,173201481
241,2,174389446
242,3,177142973
243,3,177143250
244,1,178157515
245,2,178900087
246,2,179006844
247,0,180303434
248,3,180707505
249,0,180746065
250,3,181282071
251,0,181386550
252,3,182550639
253,1,183159161
254,3,184235057
255,2,184436475
256,0,184808190
257,1,185135791
258,3,190194787
259,3,190328930
260,1,191103694
261,0,191111872
262,1,191883753
263,1,192131618
264,1,193349657
265,0,195120977
266,0,196690369
267,1,196923635
268,2,199569933
269,1,199713913
270,0,200493060
271,1,201395012
272,3,202087782
273,2,202402484
274,3,203127778
275,2,203996827
276,2,204180860
277,2,205965490
278,0,206175239
279,0,207149074
280,0,207926369
281,0,208384477
282,0,209471982
283,2,210191561
284,2,211705541
285,1,211767173
286,1,212953231
287,2,215388396
288,0,216252657
289,3,216493500
290,0,217281581
291,0,219446552
292,0,219537213
293,2,219780905
294,2,219783364
295,3,221786216
296,0,221880208
297,1,222321486
298,0,224318209
299,1,224366704
300,2,224404349
301,0,224430576
302,0,225046760
303,0,225225863
304,3,225324656
305,3,225339546
306,1,226322679
307,0,227123770
308,2,227418946
309,3,229480852
310,1,229766403
311,3,231128097
312,2,231853313
313,2,231853347
314,3,232108487
315,3,232439686
316,0,233250279
317,3,233491797
