,cat,id
0,1,368718
1,1,1700424
2,0,1843711
3,2,2149201
4,3,4552421
5,0,5007794
6,1,6164797
7,1,7345464
8,1,7351301
9,2,7749306
10,1,8591679
11,1,8713261
12,2,9629910
13,0,10418803
14,1,10483938
15,2,10660345
16,2,11635747
17,3,14256601
18,0,15259513
19,0,16202630
20,0,16261665
21,2,16268067
22,1,16591678
23,2,16945562
24,2,17079166
25,0,17084818
26,0,18342620
27,3,19198227
28,1,19535239
29,0,23416080
30,1,23630391
31,3,23676944
32,0,23948069
33,2,24035627
34,1,25010554
35,2,25045310
36,0,25087409
37,1,28654633
38,1,28654900
39,1,30125303
40,1,31315341
41,2,31323868
42,2,32115978
43,1,32470228
44,0,32691271
45,1,32984250
46,0,34284841
47,0,34324873
48,1,34848995
49,2,35042933
50,1,35112782
51,1,35778821
52,0,36285653
53,1,36360050
54,1,37508254
55,0,37910774
56,0,38054412
57,1,39872992
58,2,39942865
59,0,40203425
60,1,41698756
61,1,42655514
62,2,42985702
63,2,43313882
64,1,44378055
65,2,44520424
66,0,44727801
67,2,44913884
68,1,45061682
69,3,45061749
70,3,45347988
71,3,46505237
72,1,47342901
73,1,47442787
74,0,47503710
75,2,47982201
76,1,48038485
77,3,48193225
78,2,48340937
79,1,49065054
80,0,49109932
81,1,50702816
82,1,50923028
83,0,51763027
84,0,52299182
85,0,52555386
86,3,55361907
87,0,55753311
88,3,57391195
89,3,57572504
90,3,57622089
91,3,57749424
92,0,58045381
93,0,58401534
94,0,58665271
95,0,59825856
96,1,61027436
97,0,61574043
98,0,62005205
99,0,62223620
100,0,62228843
101,0,62285387
102,0,63495477
103,0,64336073
104,1,64365189
105,1,64445362
106,1,65041128
107,1,66539202
108,0,68108792
109,1,68498927
110,1,69194413
111,0,69233067
112,1,69539585
113,1,70582210
114,1,70643575
115,1,71083055
116,2,71244498
117,2,71331014
118,0,71510438
119,1,72519490
120,0,72614624
121,1,72799387
122,1,73685989
123,0,74419171
124,0,74782399
125,0,76565054
126,2,77130513
127,3,77808116
128,1,78309288
129,3,79633105
130,0,80752315
131,2,80789320
132,1,82468016
133,0,82661177
134,0,83006692
135,2,83203970
136,2,83364031
137,1,83384670
138,1,83975896
139,1,87191396
140,1,88132143
141,1,89275164
142,2,90536475
143,1,91600259
144,1,91996660
145,2,92847849
146,1,94928746
147,0,95053503
148,2,95085769
149,2,95109108
150,2,96198590
151,1,97303389
152,3,98235947
153,0,100209102
154,0,100964977
155,1,102633552
156,1,104086839
157,0,104282883
158,3,104642730
159,2,104828346
160,0,105499234
161,0,105589245
162,1,106113468
163,0,106230567
164,1,107650702
165,2,108230904
166,2,110007743
167,1,110171751
168,1,110763994
169,1,110764701
170,0,111816415
171,1,112347148
172,1,112423510
173,0,112655185
174,0,112822146
175,1,113069756
176,0,113530706
177,0,113847755
178,0,113972640
179,0,114240953
180,2,114511724
181,2,114997608
182,0,116281507
183,1,118038883
184,2,119054898
185,3,121155635
186,0,121422349
187,3,121735543
188,2,122201523
189,2,122783377
190,0,123274077
191,1,123314060
192,0,123897278
