,cat,id
0,2,542006
1,1,908695
2,2,1311834
3,1,1933644
4,0,2582220
5,1,3125486
6,2,4403838
7,0,4547537
8,1,5824493
9,2,6436861
10,1,7537116
11,1,7670830
12,0,8322405
13,2,8487119
14,2,8603309
15,1,8645428
16,0,8673916
17,2,9019191
18,1,9414542
19,1,9720781
20,0,10247957
21,1,11710033
22,1,13222423
23,1,14244671
24,1,14300100
25,2,14931045
26,1,15534061
27,0,15626065
28,2,16353141
29,0,16364795
30,2,16434221
31,0,16510714
32,0,18377119
33,2,18494681
34,0,19003915
35,1,19615266
36,0,19677758
37,0,20217135
38,2,20470688
39,2,20724807
40,1,20919961
41,1,22423748
42,0,22993084
43,0,23949866
44,1,25376455
45,0,26221768
46,1,27022545
47,0,27818883
48,0,28633735
49,1,28753300
50,2,29061872
51,0,29268471
52,2,29286809
53,2,29293122
54,0,29802699
55,0,31450522
56,0,31567656
57,2,31659604
58,1,31835126
59,0,31976709
60,0,32275076
61,1,32354569
62,1,32786401
63,0,33165756
64,1,33411994
65,1,34424360
66,0,34536098
67,0,35001603
68,0,36055109
69,1,37119958
70,0,37176268
71,0,37630862
72,1,38602042
73,2,41156149
74,2,42252523
75,0,42426519
76,0,43021586
77,0,43289784
78,0,43889547
79,1,43905880
80,0,44125243
81,1,44608942
82,2,45082650
83,0,45242199
84,0,45436826
85,1,45583420
86,0,45973890
87,0,46721696
88,2,46961999
89,0,47849540
90,1,48101388
91,1,48168050
92,0,48787840
93,1,50141275
94,2,50466011
95,0,50565442
96,0,51837301
97,1,52413757
98,0,53444354
99,0,53560348
100,0,53606567
101,0,54648615
102,1,54840571
103,0,54922547
104,1,55905123
105,2,56668586
106,1,57094927
107,1,57616858
108,1,58267504
109,0,58502533
110,0,58684577
111,0,59400262
112,1,59983216
113,0,60044524
114,0,60298393
115,1,60969157
116,0,61664567
117,0,61955494
118,0,63029031
119,0,63807195
120,1,63915870
121,0,64191586
122,1,64558408
123,1,64745141
124,0,65752638
125,0,65940810
126,1,66968287
127,2,69646927
128,1,69845404
129,1,70032168
130,0,73084515
131,0,73207042
132,2,73748266
133,1,74026675
134,1,74688829
135,1,75355214
136,0,75738209
137,1,76171462
138,0,76975371
139,1,79410082
140,1,79623121
141,0,80283134
142,1,80323858
143,0,81268500
144,0,81268791
145,0,81383672
146,2,82071503
147,1,82090997
148,0,82412587
149,0,82455284
150,0,83046299
151,0,84283376
152,0,84822761
153,0,85116317
154,2,85157978
155,2,85363467
156,0,85820509
157,0,86461977
158,2,86578254
159,1,87350314
160,0,87597990
161,1,87978463
162,0,91316802
163,0,91331716
164,0,92374256
165,0,93722946
166,1,93891060
167,2,94231392
168,1,94747433
169,1,95662321
170,0,97705162
171,0,98041839
172,1,98432723
173,0,100573077
174,0,101003797
175,0,101992018
176,1,102577009
177,0,103380078
178,1,103777451
179,1,103916982
180,1,103961338
181,2,105283179
182,0,105412328
183,0,105614786
184,2,106434419
185,2,107512883
186,0,107579643
187,1,107980914
