,cat,id
0,0,655793
1,2,1009164
2,0,1018509
3,1,1021586
4,0,2891221
5,1,4620990
6,1,5647608
7,2,6209967
8,0,6224198
9,1,6251040
10,0,8199554
11,0,8948501
12,0,9360259
13,0,9361988
14,0,9362868
15,1,9382553
16,0,9462634
17,0,9464027
18,0,9466332
19,1,9503385
20,2,9696926
21,0,10741212
22,0,11587054
23,2,12061221
24,2,12063841
25,0,13225339
26,0,13543678
27,1,13545562
28,1,13546050
29,0,13546133
30,1,13547037
31,1,13549795
32,0,13554268
33,0,13554667
34,0,14321415
35,1,16448827
36,1,18210456
37,1,18531958
38,1,19265929
39,2,20378244
40,0,20825356
41,2,21188137
42,0,21276851
43,1,21818924
44,1,21888608
45,0,21889616
46,1,23119329
47,1,24616561
48,1,25408336
49,0,26030121
50,0,26545120
51,1,26706363
52,1,28637248
53,2,28637322
54,1,29791165
55,2,30265119
56,0,30516534
57,1,34563772
58,1,35005886
59,0,38350487
60,2,38894550
61,1,43642134
62,2,46235984
63,0,46811443
64,2,47434477
65,0,47496978
66,1,47516666
67,1,47762649
68,2,49105960
69,1,49230445
70,0,50008441
71,1,50401936
72,0,50420441
73,1,51382165
74,0,54039249
75,1,54257290
76,2,54647598
77,1,55601484
78,2,56405483
79,2,56848234
80,0,57829124
81,0,58410743
82,2,59397574
83,0,61125841
84,1,61699007
85,1,62128103
86,0,62189774
87,1,62617255
88,0,63488598
89,1,64214807
90,2,64215062
91,1,65960544
92,1,66679987
93,0,67288051
94,0,67645421
95,2,67766844
96,0,68920406
97,0,68970870
98,0,69522251
99,1,69842766
100,1,69977046
101,0,70552239
102,0,72720055
103,1,73630107
104,0,73769857
105,2,74485073
106,1,74847634
107,2,75795464
108,1,77289302
109,1,77495054
110,1,79563888
111,2,79564097
112,1,80944896
113,0,81357879
114,0,81764120
115,2,81857043
116,1,82649766
117,2,83215481
118,0,83350401
119,0,83930727
120,1,87983097
121,2,88389440
122,0,89314368
123,0,90916581
124,0,91560671
125,0,92359113
126,0,93171635
127,1,93708171
128,0,94716132
129,1,95187819
130,1,96553063
131,1,97284965
132,0,99394290
133,0,99394545
134,0,100433968
135,0,101456076
136,0,101490713
137,0,102031966
138,1,102060072
139,2,102076833
140,0,102532801
141,1,103618262
142,1,104739375
143,1,105254438
144,0,105311437
145,1,108001036
146,1,109086807
147,0,109393352
148,0,110618379
149,0,111283526
150,0,111283807
151,1,111517371
152,0,111645974
153,0,112442140
154,1,112850086
155,1,112969242
156,0,113264906
157,0,114101075
158,1,114136553
159,1,114551727
160,0,115269143
161,0,116883861
162,1,117885041
163,2,118934667
164,1,119026688
165,0,119344898
166,0,120265528
167,2,122004667
168,1,124160630
169,0,124492534
170,0,124586114
171,0,125394132
172,0,125422349
173,0,125486130
174,1,127151810
175,2,127632651
176,1,127721092
177,1,128100796
178,1,128810443
179,1,128810576
180,0,129173999
181,1,131233407
182,1,131759382
183,0,132161890
184,0,132742813
185,1,134816490
186,1,135154546
187,1,135245177
188,2,138301322
189,2,140639249
190,0,144427242
191,0,147428587
192,0,150030389
193,0,150618925
194,1,151723034
195,0,152145914
196,1,153396429
197,0,153753799
198,0,153972678
199,2,154013846
200,2,156878051
201,1,157263595
202,1,157750148
203,2,157752141
204,1,160164927
205,1,160384114
206,1,160949022
207,0,161941099
208,2,162081110
209,0,162270706
210,1,162508406
211,2,162668815
212,1,162772441
213,0,164188601
214,0,164430274
215,2,165749164
216,1,166118171
217,0,166360282
218,0,166371522
219,0,166743738
220,1,167013756
221,0,167053155
222,0,167730755
223,0,168030805
224,1,169862950
225,1,169910232
226,2,170454373
227,1,170456428
228,1,170491577
229,1,170923454
230,1,172176112
231,1,172893414
232,1,173042046
233,1,173254176
234,1,175478517
235,0,175925213
236,0,176046388
237,0,176326840
238,0,176948545
239,0,177618128
240,0,179293977
241,1,180749037
242,2,182462645
243,1,183623800
244,2,183792211
245,1,184813893
246,1,185214784
247,0,185784331
248,1,186373180
249,0,189089455
250,1,190511225
251,1,190715912
252,0,191812331
253,2,191843138
254,0,191999467
255,1,194105860
256,1,194320055
257,0,194727628
258,0,194779229
259,1,194886816
260,0,194999553
261,0,195944368
262,2,196661966
263,0,197561163
264,0,197825442
265,0,199368143
266,1,199703068
267,0,199810411
268,1,200444418
269,0,200642371
270,0,201284468
271,0,201570389
272,0,201668760
273,1,202081925
274,1,202114408
275,0,202291879
276,2,202610860
277,2,203195806
278,1,203950107
279,0,204202809
280,1,204205579
281,1,204909830
282,2,204935916
283,0,205026385
284,1,205095924
285,0,206642911
286,2,206664352
287,0,208589688
288,0,208671904
289,1,209303784
290,1,209791890
291,1,210127814
292,1,210397448
293,0,210963821
294,0,213267962
295,1,213939463
296,0,214113828
297,1,215720616
298,0,216167105
299,0,216337175
300,2,216732330
301,0,217633262
302,2,217824788
303,0,218489270
304,1,218686588
305,1,220633231
306,1,220796001
307,0,221670894
308,1,222308864
309,2,224011594
310,0,224254413
311,0,225132051
312,2,227169084
313,1,227287572
314,0,227308100
315,1,228279944
316,0,228937726
317,1,229061335
318,0,229477917
319,0,230370623
320,1,231321182
321,2,231743764
322,0,232776447
323,0,232778093
324,0,232781102
325,2,233079647
326,0,233285169
327,2,234059325
328,0,234357283
329,0,235371555
330,0,236180445
331,0,237294088
332,1,237841449
333,0,238192514
334,0,238227803
335,1,240474219
336,0,241116385
337,1,243666024
338,1,243777377
339,1,244577550
340,1,245183541
341,1,245290554
342,2,245397988
343,1,245619010
344,1,248134378
345,2,249906342
346,2,250139090
347,1,254081823
348,0,254447823
349,1,255232749
350,1,255384095
351,1,255943132
352,1,256640441
353,0,256836970
354,0,256837038
355,0,256837065
356,0,256837694
357,0,256838097
358,0,256839831
359,0,256840576
360,0,256842765
361,0,256844205
362,0,256844431
363,1,256847065
364,0,256847679
365,0,256848012
366,0,256848038
367,0,256851206
368,0,256955019
369,2,257614549
370,0,257960530
371,0,257961885
372,0,257963961
373,0,257965808
374,0,257968597
375,0,258506110
376,0,259528692
377,1,259533780
378,1,259535157
379,0,259535619
380,0,259535741
381,0,259537608
382,0,259538224
383,1,259701786
384,1,259702006
385,0,260348650
386,0,260348679
387,0,262541178
388,0,263248646
389,1,263249706
390,1,264186263
391,1,265841293
392,0,268410516
393,0,268422429
394,1,268592017
395,2,268608866
396,1,268852243
397,0,269855996
398,1,270285775
399,2,270553706
400,1,270577204
401,1,271919317
402,1,273961202
403,0,274176575
404,1,275730970
405,1,276280093
406,1,277436055
407,0,277908552
408,0,278579639
409,2,278793880
410,2,278807402
411,0,280251129
412,0,281146108
413,0,281212960
414,0,282771163
415,0,282879722
416,1,283177821
417,1,284251708
418,2,287015843
419,1,287396594
420,1,287987876
421,0,288584424
422,0,289134878
423,0,293143483
424,0,294051821
425,2,294086595
426,1,294251764
427,1,294550768
428,1,295074306
429,1,295112716
430,1,297250341
431,2,297642702
432,2,298329513
433,0,300300483
434,1,302429743
435,0,304288570
436,0,304494262
437,0,304680297
438,1,305217777
439,1,305355243
440,0,305901679
441,2,306817667
442,0,307567847
443,1,308470983
444,0,309409887
445,0,310244213
446,0,310749256
447,1,313156747
448,0,315121552
449,2,315136763
450,0,316567993
451,2,317541266
452,1,317839310
453,1,317846396
454,0,318857729
455,1,319124034
456,0,319582603
457,0,320451186
458,2,320502323
459,1,321715567
460,2,322623389
461,0,323677820
462,0,323679030
463,2,323953873
464,1,325733132
465,1,325837054
466,1,327515372
467,0,327783764
468,2,329592079
469,0,331196476
470,2,331343466
471,2,333794076
472,2,333794217
473,0,337425254
474,0,338240273
475,0,338811984
476,0,339415620
477,0,339809213
478,1,340066261
479,0,341091769
480,1,341168526
481,1,342652706
482,0,343503472
483,1,345471635
484,0,345765476
485,1,345949407
486,0,346089397
487,1,346244489
488,1,347435143
489,2,350881581
490,0,350956502
491,0,350959522
492,0,351416629
493,0,351557911
494,0,352688277
495,1,353515179
496,0,353967604
497,0,354005752
498,1,354129437
499,2,355072765
500,0,355104055
501,0,356534630
502,2,356827817
503,2,356856902
504,1,357314389
505,2,357742447
506,1,358220866
507,1,359495498
508,1,359555659
509,0,360107820
510,0,360639877
511,1,361119444
512,1,361163005
513,2,361728039
514,2,361730027
515,0,362178142
516,2,363651293
517,0,364001172
518,1,364069816
519,1,364093397
520,1,364404104
521,1,364513226
522,2,364888053
523,0,366151773
524,0,366171042
525,1,367284344
526,0,368284169
527,0,368472602
528,0,369308433
529,1,370654668
530,2,370857753
531,0,372452162
532,1,372495424
533,0,372741668
534,1,373962067
535,2,375182439
536,1,375893885
537,1,376080387
538,2,376668743
539,1,376954866
540,2,377688582
541,2,379488692
542,1,380298185
543,1,380604589
