,cat,id
0,2,545959
1,1,706487
2,0,844509
3,2,1461047
4,0,1650391
5,0,1650428
6,1,1655493
7,1,1983007
8,2,2731148
9,0,3694884
10,0,5517681
11,1,5762504
12,2,5996731
13,2,6864174
14,1,7495166
15,0,7535210
16,1,9252574
17,1,9436115
18,2,9651661
19,2,10389110
20,1,10975450
21,1,10975556
22,0,11085501
23,1,11377955
24,2,11384043
25,2,11725846
26,0,12794124
27,0,12977256
28,2,14008688
29,0,14709284
30,1,16341832
31,0,18168168
32,1,18612732
33,1,18695564
34,2,19487384
35,0,20612250
36,2,21172992
37,0,21374440
38,2,21988460
39,1,22101323
40,1,22256675
41,0,22781909
42,0,23763429
43,2,24253073
44,0,24469305
45,0,24633459
46,2,25413297
47,1,27549324
48,2,28744627
49,1,28758928
50,1,28920638
51,2,29740329
52,1,29854933
53,2,30155879
54,0,30417787
55,1,31129040
56,2,31474614
57,0,32441295
58,1,32544155
59,0,32858494
60,2,33116633
61,0,33169894
62,1,33194946
63,1,33643382
64,1,33661898
65,1,34785277
66,1,36734587
67,0,37668823
68,1,37768722
69,2,38133959
70,2,38423340
71,2,38502812
72,2,38574413
73,1,38849231
74,2,38849338
75,2,39629962
76,1,39642687
77,2,40828071
78,2,40828088
79,0,41092590
80,1,41322607
81,1,41675723
82,0,43349225
83,2,44630357
84,1,44764504
85,1,46093949
86,0,46155402
87,1,47808476
88,0,49683454
89,1,50519263
90,0,51674027
91,1,52519575
92,0,56156768
93,1,56347653
94,0,57176314
95,1,57231826
96,1,57502505
97,2,59202851
98,2,60331395
99,1,61090343
100,0,61357245
101,1,62464537
102,2,63432590
103,2,64037884
104,1,64048352
105,0,64055712
106,1,64069312
107,0,65109946
108,0,67144908
109,0,67433281
110,0,67942891
111,0,68997272
112,2,69518819
113,2,69699728
114,2,69850412
115,0,69932183
116,2,71185520
117,2,72184015
118,1,72645688
119,2,72787268
120,0,73385603
121,0,73388670
122,2,74082819
123,1,76047712
124,1,76335092
125,0,77216465
126,0,77489427
127,1,77810185
128,1,78048131
129,0,79914781
130,0,79941393
131,0,80666873
132,2,81378608
133,2,81679107
134,0,82033520
135,2,82673889
136,1,82764517
137,1,82764528
138,1,84179206
139,0,84521877
140,2,85404694
141,0,86160347
142,1,87014739
143,1,87142763
144,0,89013480
145,1,90514430
146,1,90803692
147,1,90853286
148,0,91410699
149,1,91856664
150,1,92441286
151,2,93881482
152,2,94999878
153,0,95864423
154,0,95962223
155,2,96222931
156,1,97334736
157,1,97771847
158,2,98355777
159,1,98475254
160,1,99033271
161,2,99872136
162,0,99985114
163,0,100614048
164,2,101056974
165,2,101643973
166,0,102378685
167,0,102492338
168,2,102963022
169,0,104271895
170,1,105217284
171,2,106206743
172,1,106915299
173,2,108513516
174,1,108994664
175,0,110305485
176,2,110890463
177,2,112685521
178,0,113316322
179,0,114500272
180,0,114858846
181,2,115632597
182,2,115734427
183,2,117642202
184,2,118688488
185,1,118888715
186,0,118977002
187,1,120876903
188,1,121137731
189,2,121307126
190,0,121549410
191,0,121549455
192,1,122113866
193,1,122357512
194,2,122442285
195,0,124366518
196,2,124373501
197,2,124470017
198,0,125405491
199,2,126254695
200,0,128240753
201,1,129153434
202,2,129222263
203,0,131952762
204,1,132250466
205,0,132747021
206,2,132837277
207,1,133321662
208,2,134831580
209,0,135068898
210,0,135196290
211,2,135584564
212,1,136042162
213,0,136492713
214,0,137355435
215,2,137641824
216,0,137702955
217,1,137975615
218,2,138094604
219,2,138382108
220,2,138382800
221,1,138384501
222,1,138384712
223,0,140960371
224,2,142143964
225,0,143290328
226,1,143839899
227,1,144292896
228,1,145125121
229,2,145656010
230,1,147490187
231,2,148129830
232,2,148132382
233,0,149101255
234,2,149340014
235,1,149340790
236,2,151270846
237,1,152316109
238,0,152372356
239,2,152635699
240,0,153241314
241,1,153926881
242,0,153970025
243,0,154778955
244,1,157223028
245,0,158042342
246,0,158154230
247,0,158923587
248,2,159269191
249,2,159357074
250,2,161000798
251,0,161357140
252,2,161357573
253,1,166308605
254,2,169288404
255,1,169560795
256,0,171766346
257,0,171891329
258,1,174845954
259,1,175907753
260,1,176789762
261,1,176873199
262,0,178684281
263,2,179066297
264,1,179066346
265,2,179066511
266,0,179990513
267,2,180415828
268,2,181729741
269,0,183343635
270,1,183637426
271,0,184564491
272,2,185089658
273,2,185925709
274,0,186179756
275,0,187752662
276,2,188528070
277,1,188530852
278,0,188595132
279,1,188606935
280,1,189864761
281,0,190243273
282,2,190384393
283,2,191078336
284,1,191079455
285,1,193052656
286,2,193205085
287,1,193407810
288,1,194552454
289,1,194818463
290,1,194822091
291,2,196413572
292,1,196723241
293,2,197966365
294,0,198719368
295,1,199015727
296,2,199028872
297,2,199690046
298,0,199813353
299,2,199964404
300,2,200859834
301,1,201213723
302,1,201240664
303,0,201748033
304,1,203283851
305,1,203895985
306,0,203934245
307,2,204304844
308,0,204310253
309,1,204881944
310,2,205624431
311,2,206793404
312,2,208380214
313,1,209420657
314,0,209421815
315,1,209422098
316,2,212044348
317,2,212975706
318,2,213480025
319,0,214199143
320,0,214541851
321,1,215486576
322,0,216014783
323,0,216827029
324,2,219676304
325,2,219720128
326,1,220687397
327,1,221389389
328,1,221762694
329,2,222041075
330,0,222151802
331,1,222367509
332,0,222492317
333,0,223577333
334,0,223869009
335,1,224556896
336,0,224722986
337,2,227591973
338,0,229543641
339,0,230018130
340,2,230594230
341,2,231501638
342,1,232163355
343,2,232300881
344,0,234379841
345,1,234844069
346,2,235348796
347,2,235538875
348,0,235959372
349,1,236333908
350,2,237028048
351,0,239349541
352,2,239368152
353,1,239653371
354,2,239948811
355,0,240883168
356,0,241713858
357,2,243120570
358,0,243125592
359,1,243200237
360,0,243422490
361,0,243599745
362,0,245599006
363,2,245864704
364,2,245874138
365,1,246111510
366,0,246788711
367,0,247071280
368,0,247433431
369,0,247562479
370,2,247922166
371,2,248128026
372,1,248313164
373,0,248769421
374,1,249211727
375,1,250001470
376,1,250425974
377,0,250588978
378,0,251511431
379,0,251891156
380,1,251920515
381,1,252803985
382,1,253037162
383,0,253374574
384,1,254016817
385,1,254834684
386,0,254837790
387,2,254863045
388,1,255223978
389,0,256801543
390,1,257029812
391,0,257031155
392,1,257335156
393,0,258070689
394,2,258475720
395,2,258847206
396,2,259807352
397,0,261642939
398,1,261693709
399,1,261701318
400,0,261701598
401,2,262475367
402,2,263157936
403,2,263392584
404,0,263717383
405,2,264402718
406,2,264773377
407,0,264929574
408,2,266724209
409,2,267278296
410,2,268082856
411,1,268976086
412,1,269282714
413,0,269706825
414,2,269996552
415,2,270604611
416,1,270829940
417,2,271785875
418,1,271786056
419,2,271812332
420,0,271868756
421,2,271960061
422,0,273046504
423,1,273250786
424,0,273832239
425,0,274090874
426,1,274338564
427,1,274347380
428,1,274679953
429,1,275663855
430,2,275797362
431,1,276267417
432,2,277117987
433,2,278201603
434,2,279807321
435,0,280409102
436,0,280637680
437,2,281335717
438,2,281345894
439,2,281681613
440,0,282411683
441,1,283021370
442,2,284077043
443,2,284436679
444,1,286219098
445,1,286852054
446,1,286852609
447,2,287819585
448,0,288327225
449,2,289154994
450,1,289220510
451,0,289528556
452,1,290547584
453,1,292808577
454,0,292808604
455,0,293831334
456,2,294340331
457,1,294351222
458,1,294402616
459,1,295409594
460,0,296817008
461,1,297284620
462,2,297643209
463,1,298322559
464,2,298711980
465,0,298806293
466,1,299401627
467,0,301714440
468,2,302738771
469,0,302916828
470,1,302916985
471,1,303766012
472,2,303920266
473,1,304023262
474,0,304615108
475,0,305043394
476,1,305340604
477,1,306810503
478,1,308347320
479,0,308392813
480,1,308639559
481,2,311064879
482,1,311100836
483,0,311129776
484,2,311348213
485,1,311788358
486,0,312244593
487,2,312697305
488,1,312751802
489,2,314119686
490,0,315352067
491,1,316873728
492,1,317042079
493,0,317201801
494,2,319348161
495,0,319512930
496,0,320419953
497,0,320494316
498,0,323049981
499,1,323602289
500,0,324191927
501,2,324844607
502,1,326029920
503,0,326722552
504,0,330043272
505,0,330288163
506,0,330511558
507,2,330731913
508,2,330815615
509,2,331439295
510,1,332689865
511,1,332852743
512,2,333739815
513,2,334063075
514,2,334589760
515,2,335633467
516,1,335634431
517,0,335800753
518,1,335892765
519,0,336088171
520,0,337352464
521,1,338263461
522,1,338268344
523,0,338270493
524,1,339439969
525,1,339486965
526,2,339968893
527,0,340536258
528,1,341939664
529,1,342416433
530,2,342712384
531,2,343305162
532,1,344195339
533,2,345062023
534,2,345088206
535,1,345165778
536,2,345550407
537,2,346486896
538,2,346847318
539,0,347594506
540,2,347638577
541,2,347847047
542,2,348549289
543,2,348549405
544,0,349169535
545,1,350645436
546,1,354235856
547,2,354968527
548,1,355183784
549,1,356008973
550,2,356841023
551,0,357338835
552,0,360245652
553,2,361619367
554,1,363276318
555,2,364674330
556,0,364976495
557,2,365642354
558,2,366422882
559,0,367804833
560,0,368023265
561,2,371193754
562,0,371322729
563,0,371522234
564,1,371544704
565,1,374347655
566,2,374894447
567,2,378012450
568,0,379823682
569,0,380121424
570,2,380349672
571,2,381801002
572,2,381846420
573,2,381978906
574,0,382225803
575,0,382804260
576,1,384288101
577,2,385368735
578,2,386232366
579,2,386359388
580,1,389843260
581,2,390662758
582,0,392083270
583,2,392083334
584,2,393607541
585,0,395479379
586,0,395610684
587,0,396432607
588,1,397006737
589,1,397014350
590,2,397506279
591,2,397733228
592,2,397859961
593,2,398493677
594,0,399187357
595,2,399541189
596,1,400042814
597,2,400867414
598,1,401759540
599,2,402519111
600,1,403923954
601,0,404240453
602,0,404837604
603,2,405487414
604,2,406771183
605,2,408205792
606,1,409767154
607,1,409897339
608,0,411854294
609,0,413325186
610,0,413884527
611,2,416518558
612,2,416518981
613,1,417866553
614,1,417883107
615,2,417901183
616,2,418601325
617,0,420807878
618,1,421013263
619,2,421493330
620,2,421688186
621,0,421949892
622,1,422536697
623,0,429039806
624,2,429043620
625,0,429056103
626,1,430158693
627,1,430520163
628,1,435235375
629,0,439236600
630,1,449241830
631,0,449863708
632,1,449944785
633,2,450018262
634,0,450369864
635,2,450493293
636,1,451570304
637,2,456961792
638,0,458399952
639,1,459742182
640,0,459758967
641,2,460152207
642,1,460423377
643,2,460496715
644,0,460610061
645,1,460618755
646,0,460620826
647,1,460622149
648,0,460626736
649,1,460654721
650,0,460654779
651,0,460686073
652,1,460742683
653,2,460745665
654,0,460747132
655,1,460752321
656,2,460759089
657,1,461622059
658,0,461631839
659,2,462144028
660,1,462507418
661,0,463158785
662,1,463374145
663,0,463882523
664,1,464781714
665,1,464900638
666,2,465582358
667,1,465679684
668,2,466337064
669,0,469382187
670,0,470753244
671,2,470915854
672,2,471010254
673,2,471436666
674,0,471537406
675,1,471873642
676,0,474819965
677,0,474853175
678,2,475476213
679,2,478205372
680,2,478839189
681,1,479938204
682,1,481201161
683,0,481491874
684,1,481559484
685,2,482157674
686,2,482448150
687,2,487032371
688,1,487621180
689,1,487800962
690,1,487838828
691,2,487894219
692,0,489095451
693,1,489540077
694,0,490929100
695,0,492148730
696,2,492870740
697,0,493312142
698,1,494104234
699,2,495717653
700,2,497417227
701,0,497448859
702,1,497879904
703,1,497931999
704,1,498943294
705,1,499520673
706,0,499551353
707,1,499557994
708,2,499614147
709,2,499669913
710,1,499682683
711,1,499749479
712,1,499761446
713,0,499809403
714,0,506576357
715,2,506941075
716,0,507799927
717,2,508339604
718,1,509687892
719,0,510229648
720,0,510229962
721,0,510316306
722,1,510323701
723,0,510390212
724,2,510470193
725,2,510817756
726,1,511952560
727,1,512106998
728,2,513010744
729,1,513765517
730,1,515100234
731,1,517734319
732,2,518197471
733,1,519562010
734,2,519611906
735,1,519616129
736,1,519617896
737,0,520559088
738,0,521556804
739,1,521589394
740,2,521600551
741,1,521602296
742,0,522645734
743,1,525696344
744,2,525700405
745,1,525735092
746,2,525762609
747,2,525763880
748,2,529815597
749,0,529895659
750,1,532374636
751,2,532821204
752,0,532825834
753,2,532916358
754,0,532962559
755,2,533031187
756,1,535126192
757,0,536970840
758,0,539582642
759,1,540431586
760,1,542481985
761,1,542535898
762,1,544747993
763,0,545035471
764,1,547421425
765,0,548510885
766,1,548924022
767,0,551030372
768,2,552098199
769,1,552180007
770,0,554181083
771,0,554181490
772,1,554702577
773,2,556786791
774,1,557902773
775,1,558788798
776,1,560383166
777,1,561748829
778,0,563482512
779,1,564152335
780,1,564394323
781,1,565132074
782,2,566434737
783,2,566445160
784,0,566628977
785,2,567301164
786,2,567574262
787,1,568043483
788,1,568309296
789,2,573471399
790,1,575863335
791,0,576155860
792,1,576798436
793,1,578507229
794,0,581933469
795,1,583694769
796,2,583697261
797,1,586810073
798,1,588974976
799,1,591846953
800,2,591943024
801,1,591973390
802,2,592917025
803,1,594652447
804,2,594807522
805,2,598546608
806,1,598742230
807,1,598747671
808,2,598763473
809,0,598767342
810,1,598810120
811,0,601361483
812,2,601997573
813,1,602256764
814,0,602400035
815,2,602467539
816,2,602856315
817,1,602900443
818,1,603545026
819,0,603630167
820,2,603752044
821,2,606790139
822,0,609029784
823,2,611404827
824,2,611443859
825,0,612244857
826,0,612383450
827,0,612384183
828,2,613612033
829,2,614959119
830,0,615080671
831,2,616528871
832,0,617333815
833,0,617739261
834,2,619700173
835,1,619703906
836,2,620272875
837,2,620768760
838,0,621490005
839,2,621585397
840,2,621592631
841,0,621776150
842,2,623029417
843,1,623175812
844,1,623300428
845,2,623302602
846,0,623517067
847,2,623885686
848,1,624461520
849,1,625969629
850,0,626249167
851,2,626999268
852,1,628054338
853,2,629179298
854,1,633623964
855,0,633777182
856,0,633789364
857,0,635011289
858,2,635013729
859,0,635013760
860,1,635091040
861,1,635116632
862,1,635259047
