,cat,id
0,0,340342
1,2,356604
2,0,1089942
3,1,1212860
4,1,1670777
5,2,2106799
6,0,2261174
7,2,2411460
8,1,2476788
9,1,2695228
10,0,2885571
11,1,3487559
12,1,3750898
13,2,5219426
14,1,5475042
15,1,6552543
16,0,6575008
17,1,6645882
18,1,6650178
19,0,6733735
20,0,6833101
21,1,6838849
22,2,8107677
23,2,8330590
24,1,9425589
25,1,9954600
26,2,10509437
27,1,11415784
28,2,11518849
29,0,11792668
30,0,12346269
31,1,12737423
32,1,13183708
33,1,13876973
34,1,14990112
35,1,15248037
36,0,15828782
37,2,15884310
38,1,15925268
39,1,16619408
40,0,18896749
41,1,18962707
42,1,21005385
43,1,21217455
44,0,21227414
45,1,21345775
46,0,21792223
47,1,22471394
48,1,22487249
49,0,22667797
50,1,23567405
51,1,24481136
52,0,24695105
53,1,24881396
54,1,26048330
55,1,26397688
56,1,26538206
57,1,27855098
58,1,28354390
59,1,28354398
60,0,28996851
61,1,30631972
62,1,31731738
63,1,32210041
64,2,32377917
65,2,32679109
66,1,32943631
67,1,32943665
68,0,32986856
69,0,32989783
70,1,33049423
71,0,34460279
72,1,35228923
73,1,35229145
74,1,35631078
75,2,37269955
76,0,37414314
77,0,38617666
78,2,39040476
79,2,39260419
80,2,39260804
81,1,39416581
82,2,39939712
83,2,42729973
84,0,43964774
85,1,44698559
86,1,45182182
87,0,46085808
88,2,46611214
89,1,46982074
90,2,47233013
91,0,47559414
92,0,48733533
93,1,49297397
94,1,50806554
95,1,51300746
96,0,51378722
97,1,52037791
98,1,52940063
99,2,53478451
100,1,53495558
101,1,54101860
102,2,54273678
103,2,56585104
104,1,56608398
105,0,58265306
106,0,59839937
107,2,60790261
108,1,61333083
109,1,61389753
110,1,61661882
111,0,63109063
112,1,63205084
113,2,63210964
114,1,66072492
115,2,66240306
116,2,68081516
117,2,68779922
118,1,69046769
119,1,69371766
120,2,70496719
121,1,71571558
122,1,73649842
123,1,74574627
124,1,74778214
125,1,75997894
126,1,75997932
127,2,76580336
128,2,78558183
129,0,79200283
130,1,80448170
131,2,80535037
132,1,80740942
133,0,81124443
134,2,82048106
135,0,82048677
136,0,82125183
137,1,82235829
138,2,84655167
139,2,84805785
140,1,86913947
141,0,87458688
142,2,88581378
143,1,89056673
144,1,89293333
145,1,90117061
146,1,90160831
147,1,90385485
148,1,90564365
149,1,90751818
150,1,91519629
151,2,91938978
152,0,92341001
153,0,92491309
154,1,92948031
155,2,93102803
156,1,93379945
157,1,93960637
158,2,94301766
159,2,95696811
160,1,97057331
161,0,97311917
162,1,97471944
163,0,97476083
164,0,98326714
165,2,98592377
166,1,99178513
167,2,99663495
168,2,99728910
169,2,100102818
170,1,100294657
171,2,100303109
172,0,100653493
173,1,100754322
174,1,100754373
175,2,101134734
176,0,101687608
177,0,102576833
178,0,103908066
179,1,104296444
180,2,104708544
181,0,105886886
182,1,106155100
183,2,107181996
184,1,107834380
185,1,107859620
186,1,107859771
187,1,108481073
188,2,108505926
189,1,112461851
190,1,112896784
191,0,113331441
192,1,113451698
193,2,113544081
194,0,113644552
195,2,113867045
196,1,114560070
197,0,114848682
198,2,115018659
199,1,115122955
200,0,115247211
201,0,115247869
202,1,115328481
203,2,115844459
204,1,115890902
205,2,116432639
206,1,116683854
207,1,116723755
208,2,117426623
209,1,117738093
210,1,118365118
211,1,119089736
212,1,119089746
213,2,119291277
214,2,121153410
215,1,121816675
216,0,122116254
217,1,122214543
218,2,122448395
219,1,123095118
220,2,123111500
221,0,123111540
222,1,123317097
223,1,125196261
224,1,125371826
225,2,125573150
226,0,125801730
227,2,128340630
228,0,128375897
229,2,128609468
230,1,129039486
231,1,130090488
232,1,130592836
233,2,131188061
234,2,133210106
235,1,133283005
236,0,134841489
237,0,134880380
238,1,135548042
239,2,135604586
240,1,135685913
241,2,135825224
242,1,136380240
243,1,136969801
244,0,137391786
245,0,137695647
246,0,140721055
247,1,141435576
248,1,142091113
249,1,142211124
250,1,142300840
251,2,142772047
252,2,143971551
253,1,144332317
254,2,144350485
255,0,144809241
256,0,145098630
257,1,145429900
258,1,145483751
259,2,146040840
260,2,146413936
261,0,146655292
262,0,146858306
263,0,146984193
264,2,148457532
265,1,149053883
266,1,150157319
267,1,150504738
268,2,151437755
269,1,153135508
270,0,153444499
271,1,153759546
272,1,153760446
273,1,153762617
