,cat,id
0,1,447174
1,2,903819
2,0,1109910
3,0,1726536
4,1,1787551
5,1,2318533
6,0,2707976
7,1,3007193
8,1,3864563
9,0,4433995
10,1,5485732
11,1,5781280
12,1,5781341
13,1,6390381
14,1,6848675
15,0,7041511
16,1,8344250
17,0,8562170
18,1,8656168
19,0,9407118
20,2,9612634
21,2,9612651
22,2,9614042
23,1,9687391
24,2,10389592
25,1,10522127
26,1,12642653
27,2,13794034
28,2,13945419
29,2,14325450
30,2,15002358
31,0,16674622
32,0,17160439
33,0,17697876
34,0,18053154
35,2,18722672
36,0,19008737
37,2,19212875
38,2,19864265
39,1,20132378
40,2,20222431
41,2,20609108
42,1,21761688
43,1,21986758
44,0,22185804
45,0,22344720
46,1,23814447
47,1,25065586
48,1,26232063
49,0,26280259
50,0,26481239
51,1,27709814
52,0,27899111
53,2,27925776
54,0,28416310
55,1,29553867
56,1,30186388
57,0,31749373
58,2,31917672
59,1,32942641
60,0,33332509
61,1,33576866
62,0,33620450
63,0,34153012
64,2,34400919
65,1,37429505
66,0,38625937
67,1,39289886
68,1,39531039
69,1,39565024
70,0,39885013
71,0,40316275
72,0,40495923
73,2,40780508
74,0,40949563
75,1,42123044
76,1,42645751
77,1,43525126
78,1,43561663
79,2,43809500
80,2,44107321
81,0,44298204
82,0,46617899
83,2,50192990
84,2,50486554
85,2,52047209
86,2,52204083
87,2,53428078
88,0,55430023
89,1,55892236
90,1,57251871
91,1,57310518
92,1,60415711
93,0,60814900
94,1,61095109
95,0,61152360
96,1,61395472
97,0,61973987
98,1,62786059
99,1,63597055
100,0,63609183
101,1,63978564
102,1,65773127
103,0,66068962
104,2,66340199
105,2,66538558
106,1,67032255
107,0,67713585
108,1,70615959
109,2,70858236
110,0,71038005
111,2,71384193
112,2,71728095
113,2,71733711
114,2,71737068
115,1,71934847
116,1,72390755
117,0,72537734
118,2,72717758
119,2,72850623
120,0,73055285
121,0,73110233
122,1,73752781
123,0,75319462
124,2,75599195
125,1,75614728
126,1,75688626
127,0,76406506
128,2,77420800
129,2,78491191
130,0,78654190
131,1,79195806
132,1,79326350
133,0,80079682
134,2,80127325
135,1,80664926
136,0,80748667
137,2,80872542
138,1,81980695
139,2,82053983
140,1,82259803
141,1,82395289
142,2,83133157
143,2,83340509
144,0,85203942
145,0,85505983
146,2,85584147
147,2,85600488
148,0,86112035
149,2,86237174
150,1,87012116
151,0,89045830
152,2,89266176
153,1,89906316
154,1,90071597
155,1,90533428
156,1,92272078
157,1,93030363
158,1,93678712
159,2,93756683
160,1,94880742
161,2,95452193
162,0,96076706
163,0,96288154
164,0,96594061
165,1,98360690
166,1,98711691
167,2,99145639
168,0,99237924
169,2,99943953
170,1,100847372
171,0,103176948
172,1,103636479
173,1,104581638
174,1,105075351
175,0,106003109
176,0,106186216
177,1,107259517
178,2,109153753
179,0,109716759
180,1,109986161
181,2,112073051
182,2,112490006
183,0,116114330
184,1,116562295
185,0,116600046
186,0,116613460
187,1,118369838
188,0,118465859
189,1,118474935
190,1,118513000
191,0,118608099
192,1,118768942
193,1,119418045
194,1,119584910
195,0,119849685
196,0,119872526
197,2,120152899
198,2,120311181
199,1,120493986
200,1,122062410
201,2,122266106
202,1,122536579
203,2,123742908
204,0,123960814
205,0,123960846
206,0,123962610
207,0,123962805
208,0,123979629
209,2,124274278
210,2,124274492
211,1,124770255
212,0,125008321
213,1,125269375
214,0,125422959
215,1,126027676
216,1,126042367
217,2,126123728
218,0,126947257
219,2,127227302
220,2,127796585
221,1,127884173
222,1,129097967
223,1,130703028
224,0,131739723
225,1,132541550
226,1,132541692
227,2,132591728
228,0,132804422
229,2,134533831
230,0,136231846
231,0,137087279
232,2,137210358
233,1,139481281
234,0,139538876
235,0,139575967
236,0,140378274
237,0,141246786
238,2,141464583
239,1,141524276
240,0,141764645
241,1,142000015
242,0,142289516
243,0,142884400
244,0,144085549
245,0,144109088
246,0,144311233
247,0,144354621
248,1,144523335
249,1,144721204
250,0,146057219
251,2,146214736
252,0,146215959
253,1,149014687
254,1,152804454
255,0,153336029
256,0,154543613
257,0,154543727
258,2,155407558
259,0,157566365
260,2,158707952
261,0,158752590
262,1,159681030
263,0,159691431
264,0,159834877
265,1,160213135
266,1,161418854
267,2,161903147
268,2,162065041
269,0,163086318
270,0,163664473
271,0,164355256
272,1,164955334
273,0,164985953
274,1,165042664
275,0,166650354
276,0,166810357
277,1,166951609
278,0,167240365
279,0,167310003
280,0,167996571
281,2,168939394
282,1,169049934
283,1,169453150
284,2,170428366
285,0,171381702
286,2,171680822
287,1,171841508
288,0,172892313
289,0,173649421
290,1,173721586
291,1,175295571
292,1,176065039
293,2,177094508
294,0,177232350
295,0,177680236
296,0,177696018
297,2,178052020
298,1,178318489
299,1,178322188
300,2,179333121
301,1,179380308
302,0,179735065
303,0,179989202
304,0,182162807
305,1,182987376
306,1,183028293
307,0,183284116
308,0,183411291
309,0,183812196
310,1,183875217
311,2,184109035
312,0,185083904
313,0,185417159
314,2,185460234
315,0,185791222
316,1,187495133
317,2,188300453
318,2,188576452
319,0,188774128
320,0,189815131
321,2,190539929
322,0,191357876
323,0,192096278
324,1,193636734
325,0,195850735
326,0,196516054
327,2,197620000
328,0,199029859
329,1,199051977
330,1,199161840
331,2,199195074
332,2,199288384
333,2,200394254
334,2,200394355
335,0,200897562
336,0,202504028
337,1,206521633
338,1,207259662
339,1,207632394
340,0,208270703
341,0,208758259
342,1,209429373
343,1,209484784
344,1,212180066
345,0,212321293
346,0,212947295
347,0,212947502
348,1,213233191
349,1,213543284
350,0,214101624
351,1,214644202
352,0,214866415
353,2,215623535
354,0,215847378
355,0,216577106
356,2,217358285
357,1,218294029
358,2,218294045
359,0,218631082
360,1,219329305
361,1,219396250
362,0,220478960
363,0,220572989
364,0,220846731
365,2,221513759
366,0,222158997
367,0,222179082
368,0,222460001
369,0,222561529
370,0,222601192
371,0,222882898
372,1,222967983
373,0,223258259
374,0,225249554
375,2,225655078
376,0,225755421
377,1,225761045
378,1,225992707
379,0,227268526
380,1,227322004
381,0,228589390
382,0,228720216
383,2,228797377
384,0,229523941
385,1,229553882
386,0,229697184
387,0,230184091
388,2,230494016
389,1,231322925
390,1,232458417
391,1,232643453
392,2,232720603
393,2,233382089
394,0,233408778
395,0,233767541
396,1,234018596
397,0,234267021
398,0,236432039
399,0,237066299
400,0,237158465
401,2,237278639
402,1,237643940
403,1,238572399
404,0,238745370
405,1,238809306
406,2,238904261
407,0,239259556
408,0,239260939
409,0,241222548
410,0,241948420
411,1,242427103
412,2,243693265
413,0,244938617
414,1,246224380
415,2,246363761
416,2,246393732
417,1,247322455
418,1,247858301
419,0,248688752
420,1,249332295
421,0,250037760
422,0,250498821
423,0,250553186
424,0,253315197
425,2,253672754
426,2,254335246
427,0,254522010
428,1,255392438
429,1,255527977
430,2,255926224
431,1,256446284
432,1,257223271
433,1,258782999
434,1,259110012
435,1,260897270
436,1,262620289
437,0,262751074
438,1,263197315
439,1,264637762
440,2,264784841
441,0,264937346
442,0,265780933
443,1,267114741
444,2,267729647
445,0,268047953
446,2,269527003
447,0,271076529
448,2,271081552
449,2,272704491
450,0,272937720
451,0,274140446
452,0,274908685
453,1,275332487
454,0,275986659
455,2,278814545
456,1,278820958
457,1,279806046
458,2,281206266
459,2,281548205
460,1,281796579
461,1,283275723
462,1,285859680
463,1,286848279
464,1,287022610
465,0,287917234
466,0,288201267
467,1,288578684
468,2,290036854
469,2,291093762
470,1,291615654
471,2,291615672
472,1,291615740
473,1,292847762
474,0,292897888
475,1,292936305
476,1,293039682
477,1,294138728
478,0,294565848
479,1,296375051
480,1,297017397
481,1,297041083
482,2,297041110
483,0,298184366
484,2,298649359
485,0,298668012
486,0,298668026
487,0,299074778
488,0,299079372
489,0,299099221
490,0,299126014
491,2,299208756
492,1,299595020
493,2,300311934
494,1,301503414
495,1,301628720
496,0,301628993
497,0,302307048
498,0,302318681
499,1,303210895
500,2,303314344
501,2,304159422
502,0,304678415
503,1,304690854
504,1,304891026
505,2,306065360
506,0,306150706
507,0,308474614
508,1,308568365
509,2,308751321
510,2,308837085
511,1,309044619
512,2,310394090
513,1,311697476
514,0,311697516
515,0,311946840
516,0,312715627
517,0,313436790
518,0,314273072
519,1,314504327
520,1,314681604
521,0,314837303
522,2,314880574
523,2,315005303
524,1,315606855
525,1,316076916
526,2,316518651
527,1,317092961
528,2,317101790
529,1,317429630
530,1,318453234
531,1,320502032
532,2,320611465
533,0,321205281
534,0,322166837
535,0,322787770
536,2,324123566
537,0,324254176
538,1,324305045
539,0,325308091
540,1,325712841
541,0,325805191
542,1,326263950
543,0,326363498
544,1,326438006
545,0,327819512
546,0,327978839
547,1,328653866
548,2,329710078
549,1,332913326
550,0,333312499
551,1,334121861
552,0,334626149
553,0,334842625
554,1,335294907
555,1,338606351
556,2,339621946
557,0,340180865
558,2,341530430
559,0,341530823
560,1,341733169
561,0,342439885
562,1,343380217
563,2,343507241
564,1,345431390
565,0,345490741
566,0,345494398
567,0,345496405
568,0,345526460
569,0,346893053
570,1,348882475
571,0,350948054
572,0,351489295
573,0,351770126
574,2,352203822
575,1,352203862
576,1,352390152
577,2,352529599
578,0,353712421
579,0,354563431
580,2,355062243
581,0,355258189
582,0,355704841
583,1,357819935
584,0,358237026
585,0,359067983
586,0,359403403
587,0,361459393
588,0,362670348
589,2,363333806
590,2,364339520
591,0,364938302
592,0,365392197
593,2,365654146
594,1,365656116
595,1,365669700
596,0,366160028
597,0,367109407
598,1,367207166
599,1,368175193
600,1,368357773
601,2,369065860
602,0,369293712
603,1,371219376
604,1,371632250
605,1,372045099
606,1,372142255
607,0,372631255
608,0,373817227
609,2,375026455
610,0,375065099
611,2,377781973
612,1,380271222
613,0,380710690
614,0,383240994
615,1,383306700
616,1,384784544
617,0,384949416
618,0,385186928
619,1,385605688
620,0,387501418
621,0,387854990
622,1,388295553
623,2,388367167
624,0,388463768
625,0,388671626
626,0,389219308
627,0,389419053
628,0,389917273
629,0,391076710
630,0,391977927
631,2,392432536
632,1,393124463
633,0,393551225
634,0,395600302
635,0,396035446
636,2,396191913
637,2,396193647
638,1,396246754
639,1,396416986
640,0,397189729
641,1,399297221
642,1,399631107
643,0,399795227
644,0,399902480
645,2,400921578
646,1,401251082
647,1,402645236
648,2,404663863
649,1,404772081
650,2,404810829
651,2,405342936
652,0,405382235
653,2,406824121
654,0,407090002
655,0,409877195
656,1,410604569
657,0,410617368
658,0,411343000
659,2,411450336
660,1,411734529
661,0,413295115
