,cat,id
0,1,367321
1,0,802014
2,0,1497789
3,3,2806158
4,2,3686919
5,2,4435736
6,1,5945874
7,0,6244060
8,0,7538081
9,1,8398733
10,3,9878985
11,1,9951906
12,1,11150157
13,2,11675760
14,0,11738063
15,0,11738125
16,0,11738248
17,0,11738777
18,0,12064887
19,2,13812720
20,1,14752088
21,2,17519574
22,1,19271713
23,2,19324245
24,2,20105526
25,1,20447027
26,2,20486469
27,0,22514821
28,0,22524558
29,1,22743224
30,1,25224013
31,2,25453788
32,1,25984187
33,0,26678751
34,1,26771131
35,1,27065424
36,0,27307897
37,2,27827153
38,3,28325838
39,0,31682484
40,2,32977599
41,0,34663742
42,3,35632902
43,0,36923463
44,1,38248344
45,0,39960203
46,2,40249792
47,0,40437363
48,2,40723070
49,1,40868712
50,0,40970326
51,0,41895879
52,1,43403398
53,2,43725584
54,1,43913509
55,1,44394604
56,0,45033707
57,2,45166465
58,0,45630748
59,0,46390566
60,0,46862006
61,3,47292585
62,2,49196562
63,1,49626235
64,0,50204557
65,2,51285395
66,2,51923257
67,0,52241109
68,2,53054556
69,0,54339885
70,0,58349974
71,2,59857683
72,2,59858180
73,0,60139955
74,0,60151478
75,0,60829865
76,0,60829904
77,2,61085740
78,0,61456355
79,1,61536757
80,0,61698143
81,1,61824966
82,1,61826054
83,0,62028558
84,0,62038027
85,0,62153712
86,2,62970977
87,0,63243507
88,0,63320148
89,0,64360131
90,1,66154082
91,0,66396881
92,1,66409217
93,0,68735327
94,2,69431668
95,0,70502876
96,1,70853518
97,1,71047067
98,0,72882179
99,2,73062017
100,2,73062049
101,2,74234554
102,1,74683193
103,0,74986932
104,2,76268894
105,1,76967397
106,1,77668698
107,1,78142147
108,1,78547769
109,0,78571673
110,2,78688026
111,2,79171579
112,0,80080564
113,0,80581313
114,1,81002865
115,0,81942492
116,1,81995143
117,0,82495374
118,0,82708924
119,1,82814542
120,3,83459314
121,2,83695790
122,2,85097827
123,0,89652702
124,2,90084995
125,1,92378086
126,2,92530003
127,1,92821915
128,0,93397343
129,1,93695659
130,2,93917966
131,0,94343582
132,3,95416741
133,1,96759095
134,0,98701885
135,2,99169191
136,0,100180086
137,2,100297289
138,1,101578739
139,2,101589630
140,0,101659495
141,1,101726823
142,0,101727122
143,2,102060664
144,0,102425201
145,1,102875775
146,0,103665887
147,2,103887457
148,0,103976051
149,2,103996863
150,1,104118270
151,2,104408802
152,1,104838824
153,2,104968561
154,0,105311025
155,0,105312275
156,0,110107930
157,1,110207484
158,2,111768154
159,1,112652533
160,1,112854677
161,0,113186062
162,2,113237947
163,2,114195324
164,2,115283402
165,2,115683934
166,0,116084840
167,0,118042732
168,0,119238632
169,2,120584890
170,2,122368983
171,0,123216288
172,0,123467167
173,2,123907857
174,1,124023547
175,0,125814594
176,2,126016593
177,1,126122220
178,0,126570512
179,2,127275277
180,2,127308483
181,0,128192655
182,2,129510428
183,2,129678318
184,2,129761706
185,1,130454928
186,2,130734391
187,0,130931578
188,2,131471787
189,0,131676805
190,2,131866297
191,0,132212725
192,2,132219571
193,0,132765211
194,1,135679600
195,2,137013909
196,3,137247813
197,1,137670028
198,1,138571849
199,0,140683107
200,0,142353906
201,0,143680276
202,2,143960395
203,2,144063867
204,2,145946200
205,2,145978567
206,0,147158300
207,0,147286063
208,1,150706707
209,0,150737825
210,2,150847912
211,1,152907959
212,0,154382654
213,2,154719761
214,0,155287078
215,0,155932867
216,0,156295696
217,1,156297760
218,1,156767230
219,0,157421365
220,0,160040371
221,0,161989873
222,2,162472481
223,2,162472671
224,2,162472889
225,0,162883234
226,0,164994223
227,0,165395764
228,2,166132472
229,3,167742294
230,2,168046473
231,1,168813425
232,0,169322553
233,0,169705321
234,2,170515489
235,1,170679187
236,1,170900177
237,1,170958313
238,0,171260942
239,2,172201879
240,2,172768436
241,2,172962760
242,0,174855769
243,0,174857882
244,2,175562316
245,0,175679616
246,0,175775313
247,2,177147341
248,1,178369092
249,0,178707182
250,1,178753981
251,0,179137727
252,0,180497160
253,1,182930275
254,2,182930308
255,0,183503600
256,1,183903097
257,3,184467041
258,0,185284082
259,1,185357390
260,0,186787127
261,2,187505969
262,1,189566280
263,0,190020489
264,2,190273180
265,1,190300154
266,2,190526207
267,1,190781064
268,1,190781639
269,1,190784768
270,0,191128816
271,2,191301837
272,0,192420254
273,1,192447581
274,0,192830552
275,2,192942942
276,0,196823148
277,0,196824125
278,0,197164622
279,0,197168810
280,0,197364220
281,1,197642868
282,1,199486617
283,0,201419083
284,2,201486190
285,2,203308065
286,2,204578335
287,1,204733064
288,0,210291974
289,2,210873373
290,2,212001685
291,0,213080217
292,0,213371675
293,0,214611745
294,0,215641023
295,0,215803056
296,0,215892073
297,0,216038453
298,0,216705332
299,2,217288594
300,0,217548582
301,1,218589062
302,0,219246375
303,1,219447086
304,2,219685212
305,0,219710559
306,0,220827939
307,2,220834777
308,1,221196424
309,3,221445254
310,2,221462636
311,2,222492718
312,0,223654990
313,0,223655046
314,0,223864304
315,0,224262615
316,0,226851273
317,0,227737052
318,1,227836296
319,0,228083253
320,1,228790918
321,0,230031276
322,2,231735093
323,0,231935809
324,2,233511729
325,0,233530091
326,1,233685592
327,0,234484847
328,3,235417224
329,0,235499179
330,0,238146510
331,0,238913714
332,0,239206735
333,1,239222925
334,0,240061588
335,0,240197178
336,1,241292952
337,2,241646726
338,0,242469792
339,1,243719854
340,3,243916544
341,3,244206784
342,3,244275381
343,1,244903727
344,2,245595595
345,0,246439141
346,3,248797947
347,1,249306872
348,3,249821397
349,3,249821678
350,0,251015706
351,0,251422590
352,1,252773722
353,0,252812304
354,1,253535758
355,1,253566341
356,1,254401633
357,2,254574058
358,1,255482062
359,0,255837320
360,0,256233586
361,3,257108658
362,0,257705080
363,0,257983693
364,0,258609873
365,2,258820929
366,1,258855733
367,1,259378553
368,1,259421946
369,0,259422040
370,2,259612444
371,2,259903620
372,2,260358350
373,1,260508769
374,2,261688940
375,2,261854217
376,1,262113615
377,2,262121413
378,2,262472922
379,2,262664786
380,1,262959464
381,1,264347255
382,1,264360330
383,0,265265172
384,2,265520450
385,0,265588702
386,1,265825013
387,2,267603461
388,1,267934572
389,0,269983057
390,1,270820023
391,2,272492842
392,1,274582295
393,0,274976491
394,2,275962015
395,0,277233458
396,0,277665091
397,1,278384068
398,1,279041364
399,0,280930175
400,0,281196936
401,1,281304739
402,2,281361872
403,3,281927646
404,1,282176472
405,1,282250492
406,2,283159035
407,0,283826062
408,0,283951814
409,3,284099130
410,3,284188041
411,2,284300269
412,1,284417127
413,3,285007439
414,0,285906793
415,2,286907024
416,1,287225370
417,0,287397297
418,0,287578518
419,0,287646026
420,0,289029537
421,0,289258139
422,0,290284159
423,0,291735027
424,0,292037898
425,1,292088505
426,0,292447065
427,1,292533215
428,1,292792330
429,2,294956900
430,2,296192452
431,3,296407945
432,0,297620475
433,1,298546038
434,2,299296448
435,1,299433251
436,2,300504384
