,cat,id
0,2,785401
1,1,1328786
2,3,2499968
3,1,3903263
4,1,4736793
5,1,4987789
6,0,6749769
7,0,6981787
8,0,7468640
9,3,7515525
10,0,8098159
11,1,8220836
12,0,9082591
13,0,9978413
14,3,9990081
15,1,10593309
16,3,11049893
17,1,11306428
18,3,11352487
19,1,11605524
20,0,11613117
21,1,12025049
22,3,12488323
23,0,13433342
24,2,14766335
25,0,16357692
26,0,19018261
27,0,19728057
28,3,19870504
29,0,19870721
30,2,20345867
31,3,21055294
32,0,21630716
33,3,22240176
34,3,23690364
35,0,23902863
36,1,24134716
37,0,24509559
38,2,27650433
39,0,28053003
40,0,28217788
41,2,29075667
42,0,29779177
43,2,29942442
44,3,30465467
45,3,30992941
46,0,31842543
47,1,32472983
48,3,34088427
49,0,35118632
50,3,35842162
51,3,35856597
52,2,36182875
53,1,36508029
54,0,36881083
55,3,37222392
56,1,37940248
57,0,38273888
58,3,38275778
59,3,40299508
60,0,41407947
61,2,42146438
62,0,42589885
63,1,42928804
64,1,44002551
65,3,45879568
66,1,46257012
67,0,46480532
68,2,46613480
69,2,46762867
70,1,46801356
71,2,46869274
72,2,47922670
73,3,48984844
74,0,50294792
75,2,50511750
76,0,50973584
77,3,51314549
78,3,51464193
79,3,51624834
80,0,51972005
81,3,52578419
82,0,53041033
83,2,53446255
84,2,53691682
85,3,55360496
86,3,55523581
87,1,55962122
88,0,56056157
89,1,57196552
90,2,57905237
91,0,59796350
92,2,59817567
93,1,60997066
94,0,61059924
95,2,63110942
96,2,64067534
97,3,66847446
98,0,67401587
99,3,68502273
100,3,68502523
101,0,68578469
102,2,68664732
103,2,70191035
104,0,70424353
105,3,71089461
106,3,71393875
107,0,71402669
108,2,72307549
109,2,73331670
110,3,73417138
111,3,73676339
112,2,73842855
113,1,74019705
114,2,74067257
115,1,74164721
116,0,74537490
117,3,75107137
118,0,75408398
119,1,75439908
120,1,75529069
121,0,76499886
122,3,77338111
123,3,78266137
124,1,78641256
125,2,78868283
126,3,79453599
127,3,80716995
128,0,81421269
129,0,81959028
130,2,82260249
131,0,82414799
132,1,82749964
133,1,83506952
134,0,83803748
135,0,83967974
136,0,85740910
137,2,86039596
138,3,86146648
139,1,86258354
140,3,86829887
141,0,87634318
142,2,88089759
143,1,88460256
144,0,88554829
145,2,88708400
146,1,89323784
147,1,89633607
148,2,90045842
149,3,90483979
150,0,90993455
151,1,91648140
152,0,92565683
153,1,92875819
154,1,93022390
155,2,93159062
156,3,93964410
157,3,94365122
158,3,94993037
159,2,95075869
160,0,95303727
161,2,95683342
162,0,95803939
163,1,96269602
164,3,96339439
165,1,96859485
166,0,97486333
167,0,99133648
168,1,99497482
169,3,99878242
170,2,100104107
171,0,100165290
172,3,100926017
173,3,101358939
174,0,102195939
175,0,103020855
176,0,105956736
177,0,106071351
178,3,106775596
179,1,107187546
180,0,107237469
181,1,107387310
182,1,107690554
183,0,108899381
184,3,109527708
185,0,111462449
186,2,111528807
187,1,111721819
188,1,112256378
189,2,113071540
190,1,113691482
191,2,114043892
192,1,115559635
193,0,116332017
194,1,116654700
195,1,116734639
196,1,119522059
197,0,119524308
198,3,120599055
199,0,121285849
200,2,121357642
201,0,121450434
202,1,122891911
203,0,122896578
204,0,123284708
205,1,124437760
206,3,124723825
207,1,124788493
208,2,124995496
209,1,125024219
210,3,125228607
211,3,125512309
212,1,125758265
213,3,127501480
214,3,127968279
215,0,128146203
216,2,128289417
217,3,128361786
218,2,128739082
219,0,128748525
220,3,129379405
221,1,129923952
222,0,130270462
223,0,130780807
224,0,131132293
225,0,134269567
226,1,135982254
227,2,136334543
228,1,136416062
229,0,137790838
230,0,138270707
231,3,138868132
232,2,138922470
233,1,139271166
234,1,139350100
235,1,139550196
236,1,140138240
237,0,140911880
238,0,141955982
239,2,142637751
240,3,142639268
241,3,143684574
242,3,143971032
243,0,143973969
244,3,144626327
245,1,144757798
246,2,145198414
247,1,145665002
248,3,147743873
249,0,147896833
250,1,148459521
251,1,149969339
252,0,150749252
253,2,151023782
254,0,151904174
255,3,152350812
256,3,152691859
257,1,152937053
258,1,154502256
259,3,154571116
260,2,154723731
261,1,155427273
262,1,156229129
263,0,156972444
264,2,157009764
265,3,157590122
266,0,157805667
267,0,160172321
268,0,160514293
269,1,160690190
270,3,160983166
271,0,161238828
272,2,161839035
273,1,161901075
274,0,162078178
275,2,162467087
276,3,163092644
277,2,163497948
