,cat,id
0,1,561311
1,2,675653
2,2,1654730
3,2,2330142
4,2,2531456
5,2,2793276
6,0,3054910
7,2,3793128
8,1,5028055
9,1,5221874
10,0,5623467
11,2,6134766
12,1,6469714
13,0,6599823
14,1,7751025
15,2,9247864
16,2,9524963
17,0,9829063
18,2,10176335
19,2,10645614
20,2,10958538
21,2,11263662
22,2,11829581
23,0,12439549
24,0,12844366
25,0,13139003
26,0,13711627
27,2,13835786
28,0,14389519
29,0,14932807
30,0,15019196
31,2,15360062
32,2,15388846
33,2,15883973
34,0,17541027
35,1,18138999
36,0,18141494
37,2,18227882
38,2,18296288
39,1,18319260
40,0,19538561
41,2,19647514
42,2,19681101
43,0,20100714
44,0,21288024
45,2,22983318
46,0,23136794
47,0,23299584
48,2,23326025
49,2,23947672
50,2,25702728
51,1,27005051
52,0,27762344
53,2,27837536
54,2,28009253
55,2,29765525
56,2,30277444
57,0,30600467
58,0,32059752
59,2,32888660
60,2,34102295
61,2,34371152
62,0,34812352
63,0,35517900
64,2,35907096
65,0,35941836
66,2,36998622
67,2,37200873
68,0,38152439
69,1,38803988
70,0,38874399
71,0,39470693
72,2,39644308
73,2,40586918
74,1,41888819
75,2,42066059
76,2,42374573
77,1,42648762
78,0,43063610
79,1,43096672
80,2,43568050
81,2,44870610
82,0,45983715
83,2,46956632
84,2,47462677
85,1,47884157
86,1,47965652
87,2,48952354
88,2,49472570
89,2,50120549
90,1,50502826
91,0,50629110
92,0,50936856
93,2,51356645
94,2,52499796
95,2,53720301
96,1,53959524
97,0,55757845
98,0,56895821
99,1,57406586
100,1,57593994
101,2,57595092
102,0,58011627
103,2,59557587
104,2,59705789
105,1,60346296
106,2,61021650
107,2,61616347
108,2,62359899
109,2,62605114
110,2,62846155
111,2,63068434
112,0,64266843
113,2,64283080
114,2,65414831
115,0,67663142
116,0,67760120
117,1,68716202
118,2,70573391
119,2,70938355
120,0,71016275
121,2,71072872
122,0,71080441
123,0,71156083
124,2,71225247
125,2,71567730
126,2,72440461
127,1,72771412
128,2,73323138
129,0,73584843
130,2,73881072
131,2,73992018
132,2,74421943
133,0,75251106
134,2,75684673
135,2,75816261
136,0,76041709
137,0,77050852
138,1,77077112
139,2,77709625
140,0,77727655
141,2,80326818
142,1,80490176
143,0,80767812
144,1,80993598
145,0,81691314
146,0,82337500
147,2,82708779
148,0,83369517
149,2,83382671
150,2,83923855
151,0,83971605
152,1,84080847
153,0,84095768
154,2,84307433
155,0,85524786
156,0,87504276
157,2,88017146
158,0,88535237
159,0,90545030
160,2,90834424
161,1,91001262
162,1,91541990
163,2,91620857
164,0,91637919
165,2,93867753
166,1,93918430
167,0,94011228
168,1,94132445
169,2,94316918
170,1,94893064
171,0,95098354
172,0,95138179
173,2,97002929
174,0,97030230
175,2,97761194
176,0,98800362
177,2,99312825
178,2,99420705
179,2,99872187
180,0,101518706
181,0,101807525
182,0,101825817
183,1,102089734
184,2,103473150
185,1,104389760
186,2,105097359
187,1,106014824
188,2,106166962
189,1,108230320
190,0,108231567
191,2,108300175
192,0,108348935
193,0,109039239
194,0,109242739
195,1,110343083
196,0,110472782
197,1,110992541
198,1,111263151
199,1,111837901
200,0,112029853
201,0,112271987
202,2,113073894
203,2,115065351
204,2,116334143
205,1,116522738
206,0,117904773
207,2,118013771
208,0,118509085
209,2,119130190
210,0,121061347
211,2,121323367
212,2,121678409
213,2,122032474
214,2,122089525
215,1,122323568
216,2,122671035
217,0,122988811
218,0,123289762
219,2,123474417
220,0,123721569
221,0,124948343
222,1,125651422
223,2,126702438
224,1,127146955
225,2,127390549
226,0,128026227
227,2,129707514
228,0,130504294
229,2,130747667
230,0,130853706
231,0,130855832
232,0,131962507
233,0,132269330
234,0,132498042
235,0,132826111
236,2,133403528
237,2,133537175
238,0,134742167
239,0,134780348
240,2,135179932
241,2,136206693
242,0,136976149
243,2,138174608
244,0,138577856
245,2,138737054
246,1,139036771
247,2,139165578
248,2,139563773
249,2,140042900
250,2,141131157
251,2,141520562
252,2,141827226
253,0,142266903
254,1,142385016
255,1,142553128
256,2,143300160
257,1,143518311
258,2,144031669
259,2,144966782
260,1,145588285
261,1,146366552
262,2,146817644
263,2,147765102
264,2,148512106
265,0,148512122
266,0,149500921
267,0,150512190
268,2,151130681
269,0,151495648
270,1,151566085
271,0,151637634
272,2,151638312
273,1,152726329
274,1,153230933
275,2,153319293
276,1,154395532
277,0,154771095
278,0,156048072
279,2,158286687
280,1,158401315
281,2,158461350
282,2,158639740
283,0,159093679
284,2,159436294
285,2,159497217
286,2,160324710
287,0,160550002
288,1,160719904
289,2,161511001
290,0,162051687
291,2,163766018
292,0,164038963
293,0,164078351
294,1,164335901
295,1,165573430
296,2,165701276
297,0,166258596
298,0,166487342
299,2,166561245
300,0,167691106
301,0,167898322
302,0,168740438
303,1,168856047
304,2,170057261
