,cat,id
0,2,1114746
1,1,1963434
2,0,2946373
3,0,5610011
4,3,6842447
5,2,8146015
6,0,11249899
7,1,11798412
8,0,12617560
9,0,12853871
10,3,14146251
11,0,14239848
12,2,15091196
13,2,17153560
14,0,17237281
15,2,18500520
16,2,19684207
17,0,19915884
18,3,20322971
19,1,20421020
20,3,20483996
21,2,20967347
22,0,22158208
23,0,23105852
24,3,23580636
25,1,26820601
26,3,30424884
27,0,34240825
28,1,34579578
29,0,35069876
30,2,36247129
31,3,37490911
32,3,38149624
33,2,38572515
34,2,40626020
35,1,40626543
36,1,40639688
37,0,40913801
38,0,43902461
39,0,44121655
40,2,44392556
41,0,45678770
42,1,46897203
43,0,47097016
44,0,47687881
45,1,48272002
46,2,48817097
47,2,49735776
48,0,52113824
49,0,53232937
50,1,53948794
51,0,53960036
52,0,54085771
53,1,54607421
54,1,55421661
55,0,55620451
56,0,55793768
57,0,56071867
58,0,56357371
59,0,58632355
60,0,59613590
61,1,60513847
62,0,61075368
63,0,61787414
64,0,63719723
65,1,65340123
66,2,65486563
67,2,65822107
68,0,66326872
69,0,66326910
70,1,66401987
71,1,66639293
72,0,67573311
73,0,68425747
74,0,69419711
75,1,69689060
76,0,69721429
77,3,70418959
78,1,70728015
79,0,70852918
80,2,71536648
81,0,72491720
82,3,73011570
83,0,73652359
84,1,74556067
85,0,76425622
86,0,76819425
87,3,77433834
88,0,77582276
89,0,78719508
90,1,79160802
91,3,81582460
92,1,81668994
93,2,83101900
94,2,83191906
95,1,84853266
96,1,85552060
97,3,91072125
98,2,91606046
99,3,92575996
100,2,92600704
101,0,92818027
102,0,92828033
103,1,94050811
104,0,94682214
105,2,94969053
106,0,95525073
107,1,95706167
108,0,96565881
109,1,97415890
110,2,97429979
111,2,98323177
112,3,98647652
113,1,98912058
114,0,99132962
115,1,99329772
116,2,99544046
117,3,101179692
118,0,101323002
119,3,101466529
120,0,101568609
121,0,102472897
122,1,103350094
123,0,103905944
124,1,104383744
125,0,104703177
126,0,105366924
127,2,106894696
128,3,107655840
129,1,108106614
130,3,108666402
131,3,108731110
132,2,109878413
133,0,111803256
134,1,112290015
135,0,112703863
136,0,113781488
137,0,113919793
138,1,114176002
139,3,114342591
140,3,114845490
141,0,115309557
142,0,115863504
143,0,116340703
144,2,116524733
145,0,116615261
146,0,117398422
147,2,118168769
148,3,118814487
149,0,119486491
150,0,120376669
151,1,121127571
152,2,122014012
