,cat,id
0,1,538729
1,0,607680
2,1,1497247
3,1,1614607
4,1,2491218
5,1,2605392
6,0,2691880
7,0,2878654
8,0,3260263
9,1,3426713
10,0,4369529
11,1,5041714
12,1,5042967
13,1,7670866
14,1,9662458
15,0,9889600
16,0,9981688
17,0,10942267
18,1,11179524
19,1,11238701
20,0,11381162
21,1,11509049
22,0,12218516
23,0,13301169
24,0,13327628
25,1,13704806
26,0,13720457
27,0,13756859
28,0,14097751
29,1,15521812
30,0,16260287
31,1,16545394
32,1,17349274
33,1,17350029
34,1,18323508
35,1,19755458
36,1,19808875
37,1,21049809
38,1,21475209
39,1,22239835
40,1,23351499
41,1,23548515
42,0,23576284
43,1,23818893
44,0,24147527
45,1,25202239
46,0,25206422
47,1,25475059
48,1,25991329
49,0,26216670
50,1,26381791
51,0,27375096
52,0,27763376
53,0,27920413
54,0,29251909
55,0,31358962
56,1,33060536
57,1,33488503
58,1,33814570
59,1,35677143
60,0,35982120
61,0,35982138
62,1,36846944
63,1,37287272
64,1,37327909
65,0,38251492
66,1,39670961
67,0,40032407
68,1,40541335
69,1,41411269
70,1,42012039
71,1,42523769
72,1,42649504
73,0,42660261
74,1,44507413
75,1,45307968
76,0,45507853
77,0,45663216
78,0,45761457
79,1,46051778
80,1,46201910
81,0,46371672
82,0,46876145
83,1,47218206
84,0,48545030
85,1,49140677
86,0,49140750
87,0,49362302
88,1,49486372
89,0,49831777
90,1,50423042
91,1,50575894
92,1,50604242
93,0,52278372
94,1,52964146
95,1,54607942
96,0,54608971
97,0,54690728
98,0,54732794
99,0,56145549
100,1,56152693
101,0,56608696
102,0,57774061
103,0,57784928
104,0,59179380
105,0,59409908
106,1,60531643
107,0,61612414
108,0,62231865
109,0,64254542
110,0,65089749
111,0,65803535
112,0,65915344
113,0,65946544
114,0,66006944
115,1,67314825
116,1,67584665
117,1,68402859
118,0,68453667
119,0,69256358
120,1,70778244
121,1,71546397
122,1,71805148
123,1,71817172
124,0,71941086
125,1,72523114
126,0,72927592
127,0,75163505
128,1,75647253
129,0,76034523
130,1,76763156
131,0,77156103
132,1,77600612
133,1,77769447
134,1,77821593
135,1,77822599
136,0,78493455
137,0,79989197
138,0,80848304
139,0,80986442
140,0,81010742
141,0,81010831
142,0,81259553
143,1,81313961
144,1,82512589
145,0,83040901
146,0,83075606
147,0,83101558
148,0,84041266
149,1,84271373
150,0,84669475
151,0,85080207
152,0,85303521
153,1,86358977
154,1,86358999
155,1,86359026
156,0,86762808
157,0,87174871
158,0,87454942
159,0,87816724
160,1,88451238
161,0,90063640
162,0,90142603
163,0,90424837
164,1,92035511
165,1,92121735
166,0,93023702
167,0,93404489
168,1,93408864
169,1,93441127
170,1,94462988
171,0,94787791
172,0,96260698
173,1,97869601
174,0,97873504
175,0,97878796
176,1,97911188
177,1,98120095
178,1,98276092
179,1,98683669
180,1,98997340
181,1,99252045
182,1,99409612
183,0,99793278
184,0,100300975
185,1,100843738
186,0,100894415
187,0,103363980
188,1,103400348
189,1,104088289
190,0,104139495
191,1,104167102
192,1,105593468
193,0,106491685
194,0,106880332
195,1,107074930
196,0,107184306
197,1,107693308
198,0,107797925
199,1,108036523
200,0,108346155
201,0,108748328
202,0,108938850
203,1,109091902
204,1,109415561
205,0,111663896
206,1,111677008
207,0,112025155
208,1,113281105
209,1,114348792
210,0,114513709
211,0,116200232
212,1,116733116
213,0,117513433
214,0,117674456
215,1,118362347
216,1,118434682
217,0,118788547
218,0,118825985
219,0,118862648
220,0,118991838
221,0,119670714
222,0,119894455
223,1,121929150
