,cat,id
0,0,402513
1,2,730616
2,1,1098093
3,2,3108899
4,1,3110441
5,1,6301446
6,0,6933785
7,0,7740590
8,1,9365456
9,1,9365643
10,0,9365711
11,1,10204864
12,2,10822543
13,0,13140595
14,1,18342371
15,1,19547136
16,1,19735393
17,1,21342555
18,0,21586142
19,1,21778683
20,3,21778826
21,1,21779241
22,0,22486479
23,1,22728250
24,1,23103721
25,1,23856711
26,0,24176860
27,1,24793600
28,1,25315300
29,1,31894903
30,2,33403243
31,0,34534637
32,3,35833890
33,1,36546863
34,1,36584794
35,1,37302068
36,2,39069592
37,0,39472014
38,0,39773428
39,1,39886765
40,0,40312162
41,1,40417454
42,0,41615155
43,1,41918627
44,1,42101554
45,0,43594782
46,1,43785056
47,1,44689297
48,1,45197691
49,1,45200988
50,1,45201360
51,1,45202907
52,1,45205610
53,1,45212552
54,1,45215876
55,1,45674584
56,3,46652623
57,0,47116595
58,2,48170999
59,0,48891879
60,2,48908336
61,1,50245108
62,1,50950698
63,2,52377829
64,1,52882503
65,1,55819642
66,1,58517798
67,2,58558282
68,1,58576058
69,3,61127794
70,0,62653998
71,0,64149048
72,2,65366492
73,1,65931931
74,1,66631906
75,1,67496143
76,1,67556870
77,1,68046984
78,2,68412885
79,1,68749491
80,0,68885850
81,0,68887198
82,0,68889279
83,0,68889984
84,0,68891208
85,0,68891407
86,1,69127713
87,3,69717840
88,1,70539843
89,3,72932524
90,1,76445395
91,1,76714888
92,1,77104701
93,1,78815076
94,1,81029901
95,1,82104213
96,0,84058106
97,1,85450421
98,2,85452291
99,3,85544971
100,1,85720259
101,1,85853631
102,1,86900628
103,1,87345898
104,0,87671105
105,1,87906646
106,1,88603189
107,0,88620166
108,3,88855647
109,0,89104414
110,0,89926516
111,2,91199070
112,1,94641324
113,1,96922806
114,0,98218203
115,0,98387268
116,1,99002324
117,2,99618798
118,3,103275833
119,0,108138266
120,1,109474059
121,1,109474843
122,1,111022044
123,1,111375254
124,0,111391867
125,1,111957852
126,2,113427942
127,0,113659452
128,1,114144737
129,1,115477805
130,1,115960117
131,2,116392677
132,1,116740616
133,1,117061851
134,3,117274933
135,2,117703698
136,1,117874962
137,3,117875323
138,1,118397137
139,3,121782751
140,0,122159248
141,1,125879027
142,1,127845955
143,1,128916972
144,1,129606787
145,1,132163792
146,1,132231340
147,1,133449027
148,1,137337430
149,0,137558269
150,1,137818611
151,1,140167479
152,1,141912590
153,1,142351907
154,0,142934578
155,1,143505167
156,1,143899625
157,1,144549092
158,0,146695660
159,3,149034488
160,1,149835581
161,3,149836450
162,0,149862142
163,0,150239647
164,1,152801283
165,1,152844624
166,0,153332566
167,0,155618855
168,1,156032365
169,1,156035628
170,1,156075689
171,0,157220090
172,1,157852668
173,3,157895515
174,1,158175761
175,1,158902343
176,1,159551720
177,1,159552015
178,2,160984955
179,1,162519915
180,2,162674196
181,1,166648701
182,2,167126446
183,1,167175712
184,3,168615659
185,0,171109749
186,0,171110746
187,0,171111164
188,0,171112257
189,1,171472163
190,1,172105231
191,1,172192918
192,0,173612814
193,0,175026220
194,3,175279934
195,1,175522617
196,1,175554242
197,0,176282996
198,3,176937022
199,1,177012343
200,1,178293745
201,0,179759048
202,1,180143328
203,0,180241400
204,1,183799502
205,1,184219663
206,1,184632922
207,1,184739252
208,3,186172540
209,1,187972454
210,1,188027445
211,1,189933324
212,1,191383629
213,3,191995058
214,3,195843121
215,1,197303267
216,1,197905575
217,3,198519672
218,1,198694458
219,2,199037307
220,0,199783764
221,0,200359653
222,1,201222193
223,0,202471436
224,1,202722608
225,1,202947423
226,3,203320355
227,0,203688937
228,1,205479946
229,2,207969472
230,0,208823278
231,3,208849962
232,1,209010946
233,2,209582717
234,0,211947735
235,2,212751420
236,1,213240187
237,0,214148871
238,1,215146848
239,1,215311471
240,1,215317988
241,1,218178235
242,0,218502790
243,0,218582691
244,1,221554183
245,1,221846281
246,1,223468956
247,1,224182210
248,0,225035211
249,1,225137588
250,1,225516231
251,1,226039173
252,2,226715105
253,3,227042867
254,1,227500355
255,3,227515095
256,1,228950285
257,1,229418016
258,2,233339098
259,1,234750765
260,1,235425812
261,1,236365340
262,1,236635226
263,1,237946518
264,1,238567359
265,1,239983470
266,1,241768952
267,3,242549978
268,1,243170894
269,3,243175809
270,1,243944373
271,1,245268246
272,1,245274319
273,1,245462006
274,1,245781480
275,1,246629409
276,0,246708622
277,1,246803348
278,2,246851995
279,1,247276513
280,0,248452876
281,1,248661230
282,1,249667463
283,0,250028858
284,1,250079414
285,1,250335843
286,1,252531420
287,0,255551264
288,0,256584042
289,1,258299845
290,1,261111063
291,1,261515202
292,1,262686567
293,1,263087427
294,0,263873493
295,3,264855108
296,1,265824142
297,0,267670885
298,0,268201809
299,1,268860492
300,0,270528185
301,3,270932615
302,1,271357228
303,1,271558300
304,2,272448056
305,0,272653516
306,0,273056371
307,1,273763457
308,1,274690958
309,1,275051326
310,1,276800447
311,1,277087429
312,1,277942980
313,1,279830190
314,1,279831777
315,2,280643752
316,3,280706934
317,2,282890127
318,3,283745338
319,1,284601363
320,1,286506294
321,1,287967536
322,2,288440976
323,1,289991585
324,1,291349365
325,1,291459743
326,0,293956990
327,2,294207719
328,1,295926043
329,2,296071378
330,1,296248027
331,1,297509170
332,1,297544481
333,1,299049256
334,2,299173606
335,0,299173685
336,2,299174024
337,0,300236383
338,1,300360930
339,1,301002519
340,3,301539490
341,0,301539569
342,1,301727860
343,1,301935208
344,0,302852573
345,0,303192199
346,1,303569382
347,0,304276853
348,3,306536469
349,0,307733293
350,1,308111922
351,2,308157358
352,1,310285833
353,1,312669289
354,1,312802947
355,0,313264468
356,1,315697521
357,2,317642685
358,0,317781999
359,1,318512957
360,0,319588918
361,1,320605823
362,1,321757589
363,1,323568098
364,1,323785456
365,1,324242697
366,1,327459633
367,2,327553846
368,1,328168945
369,1,328250499
370,1,328465408
371,2,329424389
372,0,329973742
373,2,334076259
374,0,338765377
375,1,338814350
376,1,340516919
377,1,340882540
378,0,341414883
379,1,344965593
380,0,345711624
381,1,345923551
382,2,346110909
383,1,346121343
384,0,346701850
385,0,347542817
386,1,348190405
387,0,348243319
388,0,348413274
389,1,348492143
390,3,349495695
391,1,350229329
392,1,351087463
393,1,351916690
394,1,355169545
395,2,357263183
396,2,358670574
397,1,362352552
398,0,366144606
399,1,366721966
400,0,367661593
401,1,367908237
402,1,368690406
403,1,368709879
404,2,369306999
405,1,369399184
406,1,370251132
407,1,371633435
408,0,372872252
409,1,374405866
410,3,374496237
411,0,375023678
412,0,375023925
413,1,376386666
414,1,376755913
415,1,377528118
416,1,378243498
417,0,380064779
418,0,380191126
419,3,380334752
420,1,381159456
421,1,381288803
422,0,381684209
423,1,381995021
424,2,382024071
425,3,383604684
426,1,384844001
427,1,385838579
428,1,385931962
429,3,386624681
430,1,387210223
431,1,388614893
432,0,389152342
433,1,389372948
434,1,389558922
435,2,389559209
436,0,391867994
437,0,392058608
438,1,392904955
439,1,393561338
440,1,395890722
441,0,396613292
442,0,397264491
443,0,397448249
444,3,398527588
445,1,398753483
446,2,400067560
447,2,401091640
448,1,403092680
449,0,403985876
450,1,404083142
451,3,404185932
452,3,404186173
453,1,404588403
454,1,405037952
455,0,407226404
456,1,408745505
457,1,408767895
458,2,410265669
459,0,412861588
460,3,413244079
461,2,414853153
462,1,415356784
463,1,415661464
464,1,418121789
465,2,418824745
466,0,419285753
467,1,421266081
468,1,425196593
469,1,428839682
470,3,431401816
471,3,432108292
472,0,432454405
473,3,433116970
474,0,433475139
475,0,433664233
476,0,433692411
477,0,433735445
478,0,433766423
479,0,433856189
480,0,433972814
481,0,434001978
482,0,434154020
483,0,434171031
484,0,434281344
485,0,434325948
486,1,434340870
487,0,434388994
488,0,434410145
489,3,434496030
490,0,434583318
491,0,434723749
492,0,434723857
493,0,434779954
494,0,434817692
495,0,434858272
496,0,434858474
497,0,434859450
498,0,434920282
499,0,434938946
500,0,434939009
501,0,434959067
502,0,435391148
503,0,435436568
504,0,435477766
505,0,435562188
506,0,435596453
507,0,435650885
508,0,435739156
509,0,435878177
510,0,435878788
511,0,435981401
512,0,436433643
513,0,436650991
514,0,437148872
515,0,438841418
516,2,438912090
517,3,438974860
518,0,439759097
519,0,439935184
520,1,440238450
521,1,440516618
522,0,440733753
523,3,441371930
524,0,442146125
525,0,443227000
526,0,443724833
527,0,444685198
528,2,446629210
529,3,448323352
530,0,450569881
