,cat,id
0,0,852425
1,0,1932950
2,0,2732855
3,0,2735961
4,1,3874772
5,1,5064208
6,2,5742792
7,2,6639916
8,0,6918976
9,0,7565032
10,0,7893734
11,2,8764879
12,2,8988993
13,0,9351102
14,0,10790581
15,2,11859931
16,0,12128125
17,2,13020446
18,0,13319447
19,0,13440529
20,0,13466792
21,2,13608597
22,1,13644602
23,0,14170868
24,0,14756993
25,0,15718605
26,0,16541612
27,0,17960027
28,0,20187585
29,0,21956484
30,2,21987794
31,2,21987823
32,2,22377374
33,0,23053350
34,0,24174662
35,2,24296589
36,0,26579758
37,0,26582393
38,2,26859717
39,2,27307486
40,2,29870698
41,2,30100594
42,0,30188437
43,0,30938605
44,0,31094533
45,0,31107965
46,1,31278219
47,0,31698679
48,0,31845852
49,2,32350075
50,1,33114568
51,1,33317221
52,0,34049836
53,1,34262077
54,0,34562368
55,1,34728990
56,0,35247617
57,1,35265506
58,0,35527105
59,0,35913309
60,0,35913377
61,0,37110086
62,2,38119941
63,1,38540608
64,0,39564561
65,0,39683995
66,1,40625629
67,2,42141545
68,0,42436583
69,0,42514009
70,2,42965301
71,2,43046601
72,1,43046632
73,1,43076753
74,1,44087449
75,2,44449135
76,1,45024652
77,2,45025196
78,2,45025499
79,2,45026327
80,2,45027248
81,2,45061964
82,0,45359617
83,2,45861272
84,1,45877543
85,1,46502662
86,0,47045950
87,0,48320069
88,0,49000823
89,0,49545987
90,0,49548859
91,1,50273307
92,2,50439689
93,0,50748144
94,2,52123172
95,1,52123660
96,1,53145950
97,0,53148313
98,0,53642245
99,2,54636427
100,0,56082462
101,1,57115550
102,0,57448698
103,2,58004798
104,0,58081901
105,2,58149087
106,2,58149138
107,1,58787943
108,2,58812944
109,2,59201326
110,1,59640199
111,2,59654133
112,0,60490996
113,2,61309552
114,0,61359175
115,1,61637452
116,0,61785897
117,1,61843606
118,0,61858798
119,1,62056355
120,2,62342843
121,0,63297109
122,0,63368013
123,1,63515773
124,2,63721240
125,1,64606514
126,2,64723048
127,0,65854540
128,1,66463722
129,0,66495995
130,0,66989793
131,0,67684696
132,0,68904025
133,0,69944370
134,0,70320030
135,2,70406452
136,1,70471130
137,1,72067327
138,0,72936550
139,0,73639267
140,0,73678489
141,1,74685888
142,0,74713762
143,2,75014691
144,0,75105076
145,1,75436319
146,1,76297634
147,0,76783181
148,1,77335583
149,0,77335702
150,2,77408080
151,0,77767005
152,2,78447166
153,1,78646154
154,0,78927702
155,0,79738118
156,0,80399090
157,1,81400604
158,0,81925945
159,1,82038221
160,0,82170146
161,2,82672989
162,0,83149951
163,2,83241654
164,2,83242045
165,0,83474760
166,1,84463228
167,0,84512960
168,0,85839657
169,0,86117139
170,0,86734837
171,1,87329665
172,0,88253333
173,0,88442188
174,1,88980269
175,0,89500638
176,0,89539626
177,1,90940678
178,1,91641791
179,0,92127290
180,0,92848232
181,0,92853027
182,1,93618389
183,2,96702663
184,0,96729401
185,0,97054107
186,1,97077776
187,1,97180756
188,0,97181696
189,1,97484980
190,2,99026028
191,1,99665533
192,2,100697028
193,0,100951101
194,2,101077234
195,0,101530336
196,1,101796136
197,0,102763072
198,2,103343768
199,0,104081461
200,0,104396749
201,0,104774242
202,1,105356671
203,1,105839621
204,0,106589426
205,1,107193341
206,2,107193842
207,1,107197505
208,0,107706936
209,0,107706971
210,0,107708925
211,0,107709013
212,0,108599749
213,0,108638385
214,1,108658566
215,1,109827804
216,1,109892400
217,0,109945711
218,1,110764301
219,2,110835805
220,0,111015804
221,0,111566837
222,1,112105466
223,0,113142584
224,1,115408141
225,2,116581256
226,0,116877911
227,0,117099612
228,1,117404173
229,0,118121418
230,0,118132978
231,1,118529967
232,0,118674362
233,0,119564182
234,0,119564250
235,2,119619349
236,0,119739594
237,1,121916726
238,0,122481893
239,2,123946907
240,0,123951737
241,0,124270816
242,2,125688945
243,1,127022394
244,1,128248725
245,2,128273983
246,0,128373066
247,0,128478875
248,0,128590161
249,0,129105981
250,1,129403428
251,1,130807546
252,1,131167938
253,1,131168219
254,0,131886741
255,2,132404013
256,2,132404724
257,2,132404759
258,0,133029509
259,1,133385187
260,0,133775931
261,0,134316447
262,0,138121193
263,1,138505644
264,1,139817409
265,0,141451376
266,2,142471404
267,2,142471438
268,0,142927735
269,0,143588808
270,1,144165915
271,2,144318195
272,2,144388271
273,0,146581287
274,0,146813910
275,1,147067956
276,2,147358496
277,0,148233765
278,1,149461692
279,1,149461781
280,0,150118908
281,1,150515819
282,2,152424126
283,0,152582432
284,0,152692189
285,2,152990352
286,0,153117127
287,1,153370576
288,1,153679509
289,1,153679707
290,2,153863157
291,2,154408917
292,0,155035894
293,0,155368490
294,0,155653504
295,1,156400677
296,0,156746662
297,2,160210649
298,0,160808597
299,2,161265374
300,0,161619663
301,0,161650312
302,1,161953179
303,1,163174462
