,cat,id
0,0,609904
1,0,1134442
2,0,2377861
3,2,2756917
4,0,3028773
5,0,3473987
6,2,3586257
7,1,3668419
8,0,6225845
9,0,6575604
10,2,6758055
11,2,8134834
12,1,10864861
13,0,11281529
14,0,11624356
15,2,12411847
16,0,13454292
17,0,13804563
18,0,14917864
19,0,15742127
20,1,17062051
21,0,17173672
22,0,17461092
23,0,17977249
24,0,18207919
25,0,19589292
26,0,20654225
27,0,23464840
28,0,24342562
29,0,25756209
30,0,25920078
31,0,25976951
32,2,26343416
33,0,26887753
34,0,28718467
35,0,28721674
36,0,29326910
37,0,31588159
38,0,31866134
39,0,31878337
40,2,32426887
41,0,32747740
42,0,32950525
43,0,33613596
44,1,36857318
45,1,40531693
46,1,40755190
47,0,40874598
48,0,41338024
49,0,41390861
50,0,41443887
51,0,41490210
52,2,42785908
53,1,42828422
54,0,43225472
55,0,44423875
56,1,44453067
57,0,46727672
58,1,47551676
59,0,47791401
60,0,49302712
61,0,49419508
62,1,50496077
63,2,50943321
64,0,51318540
65,0,52844944
66,0,52882618
67,0,54412523
68,1,54850012
69,0,55017892
70,2,55573815
71,1,56025504
72,1,56636025
73,2,57192443
74,0,58483872
75,2,58556892
76,2,58556970
77,0,59328869
78,1,59795094
79,0,60037964
80,0,60285477
81,1,60571516
82,0,61364573
83,1,62258221
84,0,62294378
85,0,62472722
86,1,62527968
87,0,64269980
88,0,64298728
89,2,64674609
90,1,64890907
91,1,64955661
92,2,68448850
93,0,68540025
94,0,68688873
95,0,69024751
96,0,71403129
97,0,72991365
98,2,73581862
99,1,74187582
100,0,74252740
101,2,75490516
102,2,75568166
103,0,75852312
104,0,76137253
105,2,76257196
106,1,76576252
107,1,76721128
108,0,77175884
109,2,79235357
110,0,80559097
111,0,80731616
112,1,80941627
113,0,81010948
114,0,81964140
115,2,82076230
116,2,82257293
117,0,82297925
118,0,82480773
119,1,83597906
120,1,83699950
121,0,84429667
122,2,84881281
123,0,85796109
124,0,85863007
125,1,85997506
126,2,86255876
127,0,87211438
128,1,88282619
129,1,88444722
130,0,89562906
131,2,90562486
132,0,92518104
133,0,93784193
134,1,94393693
135,1,94771312
136,2,94913978
137,1,95759028
138,2,96875434
139,1,97492038
140,0,97716705
141,1,97718902
142,2,97789793
143,1,98144857
144,0,98422612
145,0,98773437
146,0,100234770
147,0,101480014
148,0,101556946
149,0,103191119
150,2,104191043
151,0,104889383
152,2,105628061
153,2,105653080
154,0,105679988
155,0,107376445
156,0,108100500
157,1,108571632
158,0,108734135
159,0,109024008
160,0,110216077
161,1,111248351
162,0,112336202
163,1,113565108
164,2,115161447
165,0,116225780
166,1,117784824
167,0,118701314
168,1,118813112
169,2,118852081
170,0,120068644
171,0,120469854
172,0,120573825
173,1,120710562
174,0,120758626
175,2,121473780
176,0,121718275
177,1,122561316
178,1,122564278
179,2,122564937
180,1,122588603
181,0,122785592
182,2,122902703
183,2,122902717
184,1,122973064
185,1,123162994
186,0,123908796
187,1,125029483
188,0,125880860
189,0,126323166
190,1,126850497
191,0,127297695
192,1,128326052
193,0,128473861
194,0,129265702
195,0,129693572
196,0,130339493
197,2,132987371
198,1,133891705
199,2,134158826
200,2,135466369
201,0,135506894
202,0,136273217
203,0,137089790
204,2,137937051
205,1,138901211
206,0,139806392
207,0,140649406
208,1,140662651
209,1,140667987
210,1,140788580
211,2,143908114
212,1,145064051
213,1,145536582
214,2,145748582
215,2,146599299
216,0,146635292
217,2,147481375
218,0,148028684
219,1,152281381
220,0,153389992
221,0,153867854
222,2,154291598
223,0,154749827
224,2,154867065
225,2,155179920
226,2,155492983
227,0,155663850
228,0,156917979
229,2,157074486
230,0,158175745
231,0,159007991
232,1,159079832
233,2,160670489
234,0,163729736
235,0,164145793
236,2,164191875
237,0,164226145
238,0,164384256
239,0,164763856
240,0,165301447
241,1,165970037
242,1,167776545
243,2,168405451
244,0,169133612
245,0,169282230
246,0,171888884
247,0,173156416
248,2,174769066
249,2,177025632
250,0,177269384
251,1,178266256
252,2,178267123
253,2,179238462
254,1,179806540
255,0,179882358
256,1,180152342
257,1,180726888
258,2,180937829
259,0,181948109
260,2,183306283
261,1,184046285
262,0,184832231
263,2,185350298
264,0,185661243
265,0,186295016
266,0,186505722
267,2,187173118
268,0,187198975
269,0,189310994
270,0,190327474
271,0,190666390
272,0,190964319
273,2,191008117
274,1,191160296
275,0,191582045
276,0,192231130
277,0,192250768
278,1,192881966
279,0,193128919
280,0,193821877
281,0,193952808
282,0,194500225
283,2,196502115
284,2,198692975
285,1,198881974
286,0,199768604
287,0,200623311
288,0,202867129
289,1,203120459
290,0,203207133
291,2,203301741
292,0,203853606
293,0,204403394
294,1,205089905
295,0,206353465
296,0,206383218
297,2,207357755
298,0,207475605
299,2,207691859
300,0,207758189
301,0,208305859
302,0,210225956
303,0,210344852
304,2,211176354
305,0,211645993
306,0,212608227
307,1,212923051
308,2,213735777
309,2,214100463
310,1,214220854
311,0,214927306
312,2,215292167
313,0,217234040
314,2,218218638
315,0,218433211
316,0,224538411
317,2,224636159
318,2,225015173
319,2,225085849
320,2,225565399
321,0,226623021
322,1,227534667
323,2,227927825
324,0,228548702
325,2,229046022
326,0,229677251
327,0,230710984
328,1,230791117
329,1,231081155
330,2,231127651
331,0,231698206
332,2,232862260
333,2,232879543
334,1,233135037
335,1,234094941
336,0,235561336
337,1,237479334
338,2,238075308
339,0,238464317
340,1,238886889
341,2,240263564
342,0,240819773
343,0,241663737
344,2,243748342
345,0,244515023
346,0,244675612
347,0,246581988
348,0,246934630
349,0,247953517
350,2,248431469
351,2,249360444
352,2,250107932
353,2,250534340
354,2,250534429
355,1,250534617
356,0,250599899
357,0,251083850
358,1,252441399
359,0,252550224
360,1,253245595
361,0,255053078
362,1,255087890
363,2,255691406
364,0,257168460
365,0,257559233
366,2,258236632
367,0,258824610
368,0,260715072
369,1,260854452
370,0,260871381
371,1,261070379
372,0,261265509
373,0,262373065
374,0,263236824
375,2,263971312
376,0,264236735
377,2,264899725
378,0,265387775
379,0,265586878
380,0,268742548
381,2,269737192
382,2,271033422
383,0,271600451
384,1,272230343
385,0,272465683
386,1,273427261
387,0,274306398
388,0,274330514
389,0,274825874
390,1,275543463
391,2,275605699
392,0,276069543
393,2,279159814
394,1,279322175
395,1,279372904
396,0,279375520
397,0,279539870
398,2,279648440
399,0,279919769
400,0,280561740
401,1,281459226
402,0,282177615
403,0,282207021
404,0,283458414
405,0,283476132
406,1,283782472
407,0,284599736
408,2,284614036
409,2,285593066
410,0,287940750
411,0,288646190
412,0,290244252
413,0,291238604
414,2,291902291
415,0,292437445
416,0,292490077
417,2,292832763
418,0,294127133
419,0,294743507
420,0,294883910
421,0,294968636
422,0,296411399
423,2,296796633
424,0,296897583
425,0,297103684
426,2,297336807
427,0,297899063
428,1,298016235
429,0,298984093
430,0,299902505
431,1,300010416
432,0,300538374
433,0,301749152
434,0,301869949
435,1,303484493
436,0,303573925
437,0,304202978
438,0,304786697
439,0,304932251
440,0,304972835
441,2,307361958
442,0,308088667
443,2,308129143
444,2,309306971
445,0,310410836
446,2,311571750
447,0,312492363
448,0,312822337
449,0,313873698
450,1,316925841
451,0,317038139
452,0,317732800
453,1,317875133
454,1,317877141
455,0,319492655
456,1,321942186
457,0,322344973
458,0,323074305
459,0,324925878
460,0,325664046
461,0,325844008
462,0,328015742
463,0,329249872
464,0,330224786
465,0,330275085
466,0,330767422
467,0,330811056
468,0,331241051
469,0,331761158
470,0,332216573
471,0,332627392
472,0,333953363
473,1,334410189
474,2,334987654
475,2,335097286
476,0,335364986
477,0,337853813
478,2,338624799
479,0,340162515
480,0,340294937
481,2,342583250
482,0,342927632
483,0,343183106
484,0,343419870
485,0,343598723
486,0,343901423
487,0,344910993
488,2,345622726
489,0,345859909
490,0,345959394
491,0,346224053
492,1,347150001
493,2,347328415
494,2,347714937
495,1,348035788
496,1,348241119
497,1,348302509
498,0,348598154
499,0,348598164
500,1,348691780
501,0,349138651
502,0,349217591
503,0,350328892
504,1,350507016
505,1,350691133
506,0,350860173
507,2,351019696
508,2,351108805
509,0,351823201
510,0,355871164
511,0,355891194
512,2,355967218
513,1,356774439
514,0,357404452
515,0,359286507
516,2,360738476
517,1,361107901
518,0,361207065
519,0,361266783
520,1,362344572
521,1,362753248
522,0,362811530
523,0,363110595
524,2,364096631
525,1,364227303
526,0,365748093
527,0,367028902
528,0,367954929
529,2,368546618
530,2,370176973
531,0,370885061
532,0,371613598
533,2,372537536
534,0,372541374
535,1,372906706
536,0,373094821
537,0,374081898
538,0,374157956
539,0,374586145
540,1,374906306
541,2,375605810
542,0,375682444
543,1,375793809
544,1,376382069
545,0,377143203
546,0,377188106
547,0,377742593
548,0,377834355
549,1,379534152
550,2,379809839
551,1,379813587
552,2,380345977
553,2,380583008
554,0,381436898
555,2,381452995
556,1,381566048
557,0,382252717
558,2,383883716
559,0,384295863
560,2,384525222
561,0,385750319
562,1,385989320
563,0,386077780
564,2,386467019
565,1,386986648
566,2,388981795
567,0,390335194
568,0,391093106
569,0,391243943
570,0,391816385
571,0,391914148
572,0,391999549
573,0,392726050
574,2,392817102
575,0,393742978
576,2,394460849
577,2,394744868
578,2,395081606
579,2,395096096
580,0,395152726
581,0,395201587
582,0,395207116
583,0,395355565
584,1,395754509
585,2,395774266
586,0,396049682
587,1,396192492
588,0,396698972
589,2,396719795
590,1,396800391
591,2,397023412
592,0,397469804
593,1,397943586
594,2,398930504
595,1,399053638
596,1,399785279
597,1,400574285
598,0,401225123
599,0,401548120
600,0,401930583
601,1,403016412
602,2,403305430
603,0,403310607
604,2,403331014
605,1,403410212
606,1,403474200
607,0,403980862
608,1,406134227
609,0,406430536
610,0,406785787
611,2,406811602
612,1,407420734
613,0,407450300
614,1,407450458
615,1,407498390
616,2,407760877
617,0,408005910
618,0,408230411
619,2,408694118
620,0,409517441
621,0,409618087
622,0,409700559
623,1,413896947
624,0,414462130
625,1,415121310
626,0,415342209
627,1,416005676
628,1,416570637
629,2,417247002
630,2,419236678
631,1,422034173
632,0,422108928
633,0,422268784
