,cat,id
0,0,1972034
1,0,2992703
2,0,3087784
3,0,3260144
4,0,4959342
5,0,6277349
6,0,7289027
7,1,7531324
8,0,7785572
9,0,8410272
10,0,8530285
11,0,10000020
12,0,10001971
13,0,10003978
14,0,10005179
15,0,10005223
16,0,10005357
17,0,10006657
18,0,10009470
19,1,10687260
20,0,10869081
21,0,11176684
22,0,12308514
23,0,13404454
24,0,13777348
25,0,14213248
26,1,14949271
27,0,16006447
28,0,16204857
29,0,16424437
30,0,17295542
31,1,17380809
32,1,17804053
33,0,18366701
34,0,18783729
35,0,19421008
36,0,20212390
37,1,21211052
38,0,22670634
39,1,24653078
40,0,26262922
41,0,26341803
42,0,28757950
43,0,30502058
44,1,31574793
45,0,31811758
46,0,31964951
47,0,31969526
48,0,32333456
49,1,32643836
50,0,33902503
51,1,35125834
52,0,36009930
53,1,36910965
54,1,37613143
55,0,37928001
56,1,38084713
57,0,38223625
58,0,39451254
59,0,39757516
60,0,40619441
61,1,40959313
62,0,41415542
63,0,41429804
64,0,44094775
65,0,44514883
66,0,46911374
67,0,46962527
68,0,51370863
69,1,54630026
70,0,55700168
71,0,55883359
72,1,56234211
73,0,57158203
74,0,58124834
75,0,59092385
76,0,59713214
77,0,60926719
78,0,61087561
79,0,61104833
80,0,61837470
81,1,62362888
82,0,64759068
83,1,64759379
84,0,65387049
85,0,65489227
86,0,66207848
87,0,66442753
88,0,67090397
89,0,68505529
90,0,69262724
91,0,69490290
92,1,70003799
93,0,71472632
94,0,71769841
95,0,72567077
96,0,72603831
97,0,72764416
98,1,73018264
99,1,73699463
100,0,73769155
101,0,74537435
102,0,75225765
103,0,75374600
104,0,75675145
105,0,76298810
106,0,76298819
107,0,76366397
108,0,77318397
109,1,77469311
110,0,79042624
111,0,79450091
112,0,79788610
113,0,80031266
114,0,81822336
115,0,82496501
116,1,83051863
117,0,84276324
118,0,84331810
119,1,85732291
120,0,86352553
121,0,86907388
122,0,87718558
123,0,87849425
124,0,89011342
125,0,89012170
126,1,90081964
127,1,90772378
128,0,91243660
129,0,91333889
130,0,91339308
131,0,91698488
132,1,91836744
133,1,91874207
134,0,92294440
135,0,93891919
136,0,96476529
137,1,96591343
138,0,98067257
139,0,98469708
140,0,100375072
141,0,100568852
142,0,101170952
143,0,102118363
144,1,102423528
145,0,102647737
146,0,103698101
147,1,103991382
148,0,106676901
149,0,107340089
150,0,107454244
151,0,111557994
152,0,111609368
153,1,111999605
154,0,112235212
155,0,112701727
156,0,112785945
157,0,113595454
158,0,113679683
159,0,113772193
160,1,114129243
161,0,115180157
162,0,116005771
163,0,116131715
164,0,116651870
165,0,117854787
166,0,119067955
167,0,119535482
168,0,119537831
169,1,120121722
170,1,120324002
171,0,120334375
172,0,120444674
173,0,120486719
174,0,120827818
175,0,121032430
176,1,121236544
177,0,121376840
178,0,121686536
179,0,122124841
180,0,122467857
181,0,123519050
182,0,125048602
183,0,126412208
184,1,126883549
185,0,126903746
186,0,127053721
187,0,127625699
188,0,128378296
189,0,130227697
190,0,130691224
191,0,131099740
192,0,131329502
193,1,131495594
194,0,131645780
195,0,132994417
196,0,133137031
197,0,133261498
198,0,133627664
199,0,133737248
200,0,133737389
201,1,134892582
202,0,136515463
203,0,137256305
204,1,137846877
205,0,138036378
206,0,139486653
207,1,139639952
208,0,139689528
209,0,142607328
210,0,144818478
211,0,145440989
212,0,148441037
213,0,150170347
214,0,150399880
215,0,152142048
216,0,152420485
217,0,152980598
218,0,153805436
219,0,155933010
220,0,156299845
221,0,156434258
222,0,156441535
223,0,158237355
224,0,158337473
225,0,158443931
226,1,158615808
227,0,159994857
228,0,160129671
229,0,160524460
230,0,160975735
231,1,161573454
232,0,161595341
233,0,162335262
234,0,162545827
235,0,162704204
236,0,162826733
237,0,163828519
