,cat,id
0,3,1318703
1,0,1341894
2,0,3076135
3,0,5161640
4,1,5597668
5,2,6959402
6,1,7613820
7,1,7613845
8,1,7779397
9,0,7944874
10,1,8968783
11,1,9135841
12,2,9624833
13,0,11746234
14,2,12682901
15,1,13346509
16,1,13590081
17,0,14148221
18,1,14643648
19,3,14830471
20,3,15349536
21,3,15651143
22,3,15761520
23,1,16948410
24,1,17845283
25,1,18239098
26,3,19652306
27,1,20349389
28,1,20516186
29,2,20750117
30,1,20847405
31,3,20961392
32,1,20961548
33,2,20977180
34,1,21524190
35,3,22090410
36,0,22390095
37,2,22998805
38,1,24662679
39,0,24702248
40,0,25070301
41,0,27606561
42,0,27723687
43,0,33144876
44,1,36193861
45,1,36766056
46,1,37010531
47,3,37179376
48,2,37608556
49,0,39389896
50,0,40313166
51,1,40749727
52,1,40987906
53,0,42030076
54,3,42207919
55,3,42766338
56,0,43011992
57,0,44225288
58,1,44635437
59,3,45052322
60,0,46628450
61,3,46951627
62,3,46951644
63,1,46977842
64,0,47367148
65,2,48030237
66,1,48154229
67,1,49727101
68,0,50227384
69,0,50617484
70,0,50906842
71,3,51433511
72,2,51673339
73,0,52323208
74,0,52718448
75,0,54295514
76,0,54515191
77,2,56041163
78,1,56488381
79,2,56807946
80,0,56987167
81,0,57412374
82,0,59339138
83,3,60024559
84,1,60033210
85,1,60345285
86,0,60517989
87,1,60568912
88,0,62534818
89,3,63180174
90,1,63825636
91,2,64498514
92,1,65387570
93,0,66017482
94,1,66562109
95,0,67597140
96,2,69183758
97,2,69183955
98,2,69184400
99,2,69203035
100,0,69997337
101,0,70015307
102,0,70015355
103,1,70146523
104,0,71137885
105,1,72518941
106,1,73885790
107,3,74123540
108,0,74892505
109,0,75389655
110,3,75734258
111,0,76402262
112,2,76567352
113,2,76742891
114,0,76919645
115,2,77432001
116,1,77561403
117,2,79606390
118,3,80098285
119,3,80397349
120,0,80852509
121,3,81364046
122,2,81983290
123,0,83054677
124,1,84391869
125,1,84606460
126,1,84735186
127,0,85465053
128,2,85786078
129,3,86770664
130,0,87326036
131,2,87556793
132,0,88675227
133,1,88862381
134,1,89328988
135,1,90318900
136,2,90496408
137,0,90524397
138,3,92149972
139,0,93951902
140,1,96426223
141,0,98603668
142,1,98736755
143,0,99460882
144,0,100468633
145,0,100749001
146,3,100849970
147,0,101000517
148,2,102168012
149,2,102168160
150,0,103507205
151,0,103895386
152,0,104417286
153,1,104929098
154,2,105115763
155,1,106434232
156,3,107143832
157,1,107395659
158,1,108389560
159,0,108469305
160,3,109090445
161,2,109103420
162,2,109163077
163,1,109966232
164,3,111263573
165,0,111516742
166,0,111520803
167,0,111726315
168,2,112644888
169,0,112652231
170,1,112652804
171,2,113533164
172,3,113709325
173,1,113850155
174,0,114016287
