,cat,id
0,1,1230427
1,3,1487918
2,0,2481016
3,1,2628989
4,1,3229322
5,1,4804530
6,1,4986119
7,3,5486339
8,0,6096050
9,0,6285663
10,0,6852121
11,1,7712554
12,0,7812904
13,1,8048731
14,0,8613316
15,1,10379445
16,0,10995953
17,1,11043057
18,3,11053119
19,0,11466127
20,1,12571716
21,3,14105650
22,3,14925225
23,1,15145518
24,3,17334059
25,3,17450871
26,1,17457175
27,1,17699632
28,1,17750312
29,1,18518406
30,3,18550190
31,3,18688858
32,1,20810638
33,3,20860988
34,3,21826469
35,1,22229512
36,0,22232718
37,0,22639123
38,1,22780484
39,1,23288780
40,0,24229989
41,1,24288437
42,3,24512935
43,3,24851448
44,0,24927473
45,3,25617243
46,1,25807694
47,0,25842539
48,1,26713860
49,0,26998348
50,1,27094107
51,3,28785301
52,3,28965130
53,0,30043309
54,3,30858515
55,1,31037189
56,3,31297378
57,3,32105497
58,0,32288183
59,1,32403270
60,0,32727449
61,1,32739605
62,1,33046413
63,1,33871028
64,0,34561672
65,1,34838528
66,1,35261044
67,0,35432997
68,0,35492137
69,3,36035244
70,3,36119831
71,3,37063399
72,1,37585102
73,1,37939965
74,1,38002692
75,3,39847783
76,1,40231289
77,0,41580215
78,1,41601948
79,1,41941365
80,3,42153282
81,1,42337852
82,1,44252552
83,1,44274723
84,3,44335660
85,0,44586236
86,3,44608512
87,3,44735787
88,0,45755455
89,3,46369298
90,1,46443894
91,0,46493925
92,3,46866817
93,0,48534932
94,3,50209678
95,1,50509418
96,1,51420052
97,1,52538388
98,3,52576305
99,1,52905197
100,3,53224852
101,3,53323135
102,0,54242571
103,3,54702599
104,0,54853395
105,1,55791480
106,3,56607823
107,0,56970534
108,1,57700644
109,0,58072451
110,3,58838895
111,0,59108235
112,3,59965900
113,3,60568567
114,1,60580330
115,1,62123342
116,1,62300396
117,1,62460858
118,0,62632383
119,1,62956010
120,0,62978549
121,1,65498065
122,0,66494569
123,0,67554256
124,1,68168252
125,0,69056250
126,1,69326499
127,3,71396599
128,0,71481475
129,1,71574556
130,1,71634798
131,1,72790956
132,1,73411799
133,3,75499756
134,1,75865207
135,0,76998679
136,1,77871233
137,1,77990915
138,1,78433046
139,3,78866915
140,1,79361857
141,3,79456716
142,1,80005436
143,1,80173013
144,3,81316239
145,0,81657162
146,1,83355181
147,1,83588255
148,1,83976846
149,0,83988831
150,1,85301097
151,0,85689780
152,1,85903272
153,3,86092701
154,0,86288532
155,3,86525135
156,0,86765099
157,1,87082262
158,0,87122460
159,3,87521996
160,1,87708191
161,3,88012025
162,0,88916222
163,3,90243107
164,1,90847699
165,0,92066418
166,1,92166701
167,0,92910151
